intera,.value,.lower,.upper,.width,.point,.interval,grp
Diptera.D - Coleoptera.C,0.326212838,-0.160011467,0.853733229,0.95,mode,hdi,
Diptera.D - Coleoptera.D,0.80320906,0.019023002,1.97811093,0.95,mode,hdi,1
Diptera.D - Coleoptera.E,1.514881442,0.652458357,2.661510188,0.95,mode,hdi,
Diptera.E - Bee.A,0.500439193,0.069885572,0.860911911,0.95,mode,hdi,
Diptera.E - Bee.B,0.656687911,0.181051477,1.132530142,0.95,mode,hdi,
Diptera.E - Bee.C,0.307317965,-0.097974742,0.665381208,0.95,mode,hdi,
Diptera.E - Bee.D,0.277703929,-0.30528042,0.728574961,0.95,mode,hdi,
Diptera.E - Bee.E,1.340800103,0.724902436,1.838324179,0.95,mode,hdi,1
Diptera.E - Coleoptera.A,1.690941241,1.226418555,2.072656233,0.95,mode,hdi,
Diptera.E - Coleoptera.B,1.437291726,0.88415587,1.948881814,0.95,mode,hdi,
Diptera.E - Coleoptera.C,1.193788252,0.799979533,1.631159683,0.95,mode,hdi,
Diptera.E - Coleoptera.D,1.735682596,0.966270455,2.789254257,0.95,mode,hdi,
Diptera.E - Coleoptera.E,2.399215751,1.467836061,3.437127032,0.95,mode,hdi,1
Hymenoptera.A - Bee.A,-1.064932333,-1.349634233,-0.848905787,0.95,mode,hdi,1
Hymenoptera.A - Bee.B,-0.905836227,-1.24812738,-0.471818227,0.95,mode,hdi,
Hymenoptera.A - Bee.C,-1.244022541,-1.549673286,-0.973069209,0.95,mode,hdi,
Hymenoptera.A - Bee.D,-1.410386336,-1.770741387,-0.880212678,0.95,mode,hdi,
Hymenoptera.A - Bee.E,-0.302679754,-0.768483295,0.253922537,0.95,mode,hdi,
Hymenoptera.A - Coleoptera.A,0.105298754,-0.193705305,0.386228563,0.95,mode,hdi,1
Hymenoptera.A - Coleoptera.B,-0.131637178,-0.55428951,0.323263147,0.95,mode,hdi,
Hymenoptera.A - Coleoptera.C,-0.347503069,-0.663296067,-0.014141961,0.95,mode,hdi,
Hymenoptera.A - Coleoptera.D,0.280280812,-0.540446951,1.248714755,0.95,mode,hdi,
Hymenoptera.A - Coleoptera.E,0.757261907,0.015660332,1.938738765,0.95,mode,hdi,
Hymenoptera.A - Diptera.A,-0.956119934,-1.206350646,-0.681355819,0.95,mode,hdi,1
Hymenoptera.A - Diptera.B,-1.005576325,-1.389401363,-0.606683768,0.95,mode,hdi,
Hymenoptera.A - Diptera.C,-0.482495695,-0.777356556,-0.164267636,0.95,mode,hdi,
Hymenoptera.A - Diptera.D,-0.681971552,-1.2176266,-0.183246441,0.95,mode,hdi,
Hymenoptera.A - Diptera.E,-1.580682124,-1.992681012,-1.118382218,0.95,mode,hdi,
Hymenoptera.B - Bee.A,-0.295904474,-0.696914515,0.050161638,0.95,mode,hdi,
Hymenoptera.B - Bee.B,-0.128523013,-0.524304402,0.348122415,0.95,mode,hdi,1
Hymenoptera.B - Bee.C,-0.51651143,-0.836978065,-0.09129142,0.95,mode,hdi,
Hymenoptera.B - Bee.D,-0.609022392,-1.105541509,-0.076867524,0.95,mode,hdi,
Hymenoptera.B - Bee.E,0.439010406,-0.022866717,1.092542923,0.95,mode,hdi,
Hymenoptera.B - Coleoptera.A,0.853616671,0.470784139,1.26557901,0.95,mode,hdi,
Hymenoptera.B - Coleoptera.B,0.689644851,0.115597784,1.123867947,0.95,mode,hdi,1
Hymenoptera.B - Coleoptera.C,0.444511497,0.011517964,0.820922127,0.95,mode,hdi,
Hymenoptera.B - Coleoptera.D,0.986973247,0.142860695,1.98959388,0.95,mode,hdi,
Hymenoptera.B - Coleoptera.E,1.592865797,0.709980277,2.643847058,0.95,mode,hdi,
Hymenoptera.B - Diptera.A,-0.151235348,-0.517729033,0.214528848,0.95,mode,hdi,
Hymenoptera.B - Diptera.B,-0.197353941,-0.667326091,0.199732102,0.95,mode,hdi,1
Hymenoptera.B - Diptera.C,0.289425834,-0.085637699,0.707676519,0.95,mode,hdi,
Hymenoptera.B - Diptera.D,0.024080268,-0.441352118,0.694529115,0.95,mode,hdi,
Hymenoptera.B - Diptera.E,-0.75588524,-1.274771324,-0.293322872,0.95,mode,hdi,
Hymenoptera.C - Bee.A,-1.261178531,-1.554260196,-0.958330994,0.95,mode,hdi,
Hymenoptera.C - Bee.B,-1.037540396,-1.457312592,-0.655243866,0.95,mode,hdi,
Hymenoptera.C - Bee.C,-1.428394135,-1.730514544,-1.14661685,0.95,mode,hdi,1
Hymenoptera.C - Bee.D,-1.498606328,-1.973595692,-1.08375438,0.95,mode,hdi,
Hymenoptera.C - Bee.E,-0.45719869,-0.975192479,0.066062494,0.95,mode,hdi,
Hymenoptera.C - Coleoptera.A,-0.075948107,-0.379228272,0.26220797,0.95,mode,hdi,
Hymenoptera.C - Coleoptera.B,-0.316185142,-0.763386053,0.135005411,0.95,mode,hdi,
Hymenoptera.C - Coleoptera.C,-0.504058777,-0.825369344,-0.180645953,0.95,mode,hdi,1
Hymenoptera.C - Coleoptera.D,-0.012945392,-0.713030896,1.098469381,0.95,mode,hdi,
Hymenoptera.C - Coleoptera.E,0.584383678,-0.234322139,1.669657583,0.95,mode,hdi,
Hymenoptera.C - Diptera.A,-1.096399613,-1.406818079,-0.806394676,0.95,mode,hdi,
Hymenoptera.C - Diptera.B,-1.147684771,-1.594120155,-0.773681014,0.95,mode,hdi,
Hymenoptera.C - Diptera.C,-0.660006317,-0.934009401,-0.309653341,0.95,mode,hdi,1
Hymenoptera.C - Diptera.D,-0.889772512,-1.338432571,-0.317464451,0.95,mode,hdi,
Hymenoptera.C - Diptera.E,-1.733716953,-2.165211116,-1.301343036,0.95,mode,hdi,
Hymenoptera.D - Bee.A,-1.617265139,-2.445095039,-0.951337435,0.95,mode,hdi,
Hymenoptera.D - Bee.B,-1.372238064,-2.298878008,-0.693093274,0.95,mode,hdi,
Hymenoptera.D - Bee.C,-1.866030648,-2.56766514,-1.094991488,0.95,mode,hdi,
Hymenoptera.D - Bee.D,-1.804467942,-2.78475062,-1.175637792,0.95,mode,hdi,1
