intera,.value,.lower,.upper,.width,.point,.interval,group1,group2,Clim_1,Clim_2,
Anthomyiidae.E - Andrenidae.D,-0.347097893,-0.972047134,0.239298263,0.95,mode,hdi,Anthomyiidae.E,Andrenidae.D,E,D,
Anthomyiidae.E - Andrenidae.E,-0.276220864,-0.873048155,0.346015677,0.95,mode,hdi,Anthomyiidae.E,Andrenidae.E,E,E,
Anthomyiidae.E - Anthomyiidae.A,0.093627023,-0.951663251,0.93448906,0.95,mode,hdi,Anthomyiidae.E,Anthomyiidae.A,E,A,
Anthomyiidae.E - Anthomyiidae.B,-0.507948594,-1.5601533,0.438134089,0.95,mode,hdi,Anthomyiidae.E,Anthomyiidae.B,E,B,
Anthomyiidae.E - Anthomyiidae.C,-0.44267908,-1.038024699,0.110504761,0.95,mode,hdi,Anthomyiidae.E,Anthomyiidae.C,E,C,
Anthomyiidae.E - Anthomyiidae.D,0.05335529,-0.729115537,0.657360081,0.95,mode,hdi,Anthomyiidae.E,Anthomyiidae.D,E,D,
Apidae.A - Andrenidae.A,0.882789255,0.589208077,1.173545414,0.95,mode,hdi,Apidae.A,Andrenidae.A,A,A,
Apidae.A - Andrenidae.B,0.485132317,-0.076233422,1.094522438,0.95,mode,hdi,Apidae.A,Andrenidae.B,A,B,
Apidae.A - Andrenidae.C,0.821013208,0.522236168,1.219636072,0.95,mode,hdi,Apidae.A,Andrenidae.C,A,C,
Apidae.A - Andrenidae.D,0.833472516,0.358300756,1.234397736,0.95,mode,hdi,Apidae.A,Andrenidae.D,A,D,
Apidae.A - Andrenidae.E,0.865050636,0.352024646,1.482887333,0.95,mode,hdi,Apidae.A,Andrenidae.E,A,E,
Apidae.A - Anthomyiidae.A,1.147364368,0.3508565,1.982335197,0.95,mode,hdi,Apidae.A,Anthomyiidae.A,A,A,
Apidae.A - Anthomyiidae.B,0.560631869,-0.272767699,1.649013557,0.95,mode,hdi,Apidae.A,Anthomyiidae.B,A,B,
Apidae.A - Anthomyiidae.C,0.680114663,0.331949034,1.076008782,0.95,mode,hdi,Apidae.A,Anthomyiidae.C,A,C,
Apidae.A - Anthomyiidae.D,1.12484732,0.641280641,1.729775725,0.95,mode,hdi,Apidae.A,Anthomyiidae.D,A,D,
Apidae.A - Anthomyiidae.E,1.151975238,0.547371516,1.735932273,0.95,mode,hdi,Apidae.A,Anthomyiidae.E,A,E,
Apidae.B - Andrenidae.A,1.006050862,0.420755504,1.541724576,0.95,mode,hdi,Apidae.B,Andrenidae.A,B,A,
Apidae.B - Andrenidae.B,0.593122131,0.157784465,1.050652114,0.95,mode,hdi,Apidae.B,Andrenidae.B,B,B,
Apidae.B - Andrenidae.C,0.952248706,0.474007492,1.432563588,0.95,mode,hdi,Apidae.B,Andrenidae.C,B,C,
Apidae.B - Andrenidae.D,0.943539109,0.374614195,1.447570514,0.95,mode,hdi,Apidae.B,Andrenidae.D,B,D,
Apidae.B - Andrenidae.E,1.04798247,0.415932592,1.628321029,0.95,mode,hdi,Apidae.B,Andrenidae.E,B,E,
Apidae.B - Anthomyiidae.A,1.263629185,0.343941358,2.212864538,0.95,mode,hdi,Apidae.B,Anthomyiidae.A,B,A,
Apidae.B - Anthomyiidae.B,0.795708765,-0.127202993,1.625793023,0.95,mode,hdi,Apidae.B,Anthomyiidae.B,B,B,
Apidae.B - Anthomyiidae.C,0.827196188,0.305029071,1.288458516,0.95,mode,hdi,Apidae.B,Anthomyiidae.C,B,C,
Apidae.B - Anthomyiidae.D,1.143858903,0.622483683,1.908038371,0.95,mode,hdi,Apidae.B,Anthomyiidae.D,B,D,
Apidae.B - Anthomyiidae.E,1.235479053,0.629609642,1.872819565,0.95,mode,hdi,Apidae.B,Anthomyiidae.E,B,E,
Apidae.B - Apidae.A,0.138247989,-0.381123939,0.621748516,0.95,mode,hdi,Apidae.B,Apidae.A,B,A,
Apidae.C - Andrenidae.A,0.636305049,0.242587225,1.072414565,0.95,mode,hdi,Apidae.C,Andrenidae.A,C,A,
Apidae.C - Andrenidae.B,0.24207204,-0.260051259,0.797535786,0.95,mode,hdi,Apidae.C,Andrenidae.B,C,B,
Apidae.C - Andrenidae.C,0.636152464,0.43043556,0.830011884,0.95,mode,hdi,Apidae.C,Andrenidae.C,C,C,
Apidae.C - Andrenidae.D,0.563614613,0.203386234,0.906151181,0.95,mode,hdi,Apidae.C,Andrenidae.D,C,D,
Apidae.C - Andrenidae.E,0.623102257,0.118651474,1.183476314,0.95,mode,hdi,Apidae.C,Andrenidae.E,C,E,
Apidae.C - Anthomyiidae.A,0.849331718,0.063063784,1.798956184,0.95,mode,hdi,Apidae.C,Anthomyiidae.A,C,A,
Apidae.C - Anthomyiidae.B,0.340138106,-0.593287071,1.259713457,0.95,mode,hdi,Apidae.C,Anthomyiidae.B,C,B,
Apidae.C - Anthomyiidae.C,0.467809179,0.240479135,0.703150982,0.95,mode,hdi,Apidae.C,Anthomyiidae.C,C,C,
Apidae.C - Anthomyiidae.D,0.942269945,0.397741284,1.359213879,0.95,mode,hdi,Apidae.C,Anthomyiidae.D,C,D,
Apidae.C - Anthomyiidae.E,0.938246922,0.335408408,1.42267653,0.95,mode,hdi,Apidae.C,Anthomyiidae.E,C,E,
Apidae.C - Apidae.A,-0.240542665,-0.55631289,0.107644427,0.95,mode,hdi,Apidae.C,Apidae.A,C,A,
Apidae.C - Apidae.B,-0.33419617,-0.785002385,0.139093115,0.95,mode,hdi,Apidae.C,Apidae.B,C,B,
Apidae.D - Andrenidae.A,0.704561835,0.223118776,1.185719068,0.95,mode,hdi,Apidae.D,Andrenidae.A,D,A,
Apidae.D - Andrenidae.B,0.317878331,-0.284056457,0.888639154,0.95,mode,hdi,Apidae.D,Andrenidae.B,D,B,
Apidae.D - Andrenidae.C,0.710264001,0.320909663,1.014958456,0.95,mode,hdi,Apidae.D,Andrenidae.C,D,C,
Apidae.D - Andrenidae.D,0.586745617,0.278754124,0.94339079,0.95,mode,hdi,Apidae.D,Andrenidae.D,D,D,
Apidae.D - Andrenidae.E,0.712429281,0.092827064,1.278441209,0.95,mode,hdi,Apidae.D,Andrenidae.E,D,E,
Apidae.D - Anthomyiidae.A,0.942388192,0.059546079,1.867028232,0.95,mode,hdi,Apidae.D,Anthomyiidae.A,D,A,
Apidae.D - Anthomyiidae.B,0.375336065,-0.549001072,1.397712074,0.95,mode,hdi,Apidae.D,Anthomyiidae.B,D,B,
Apidae.D - Anthomyiidae.C,0.521774228,0.141047651,0.872037396,0.95,mode,hdi,Apidae.D,Anthomyiidae.C,D,C,
Apidae.D - Anthomyiidae.D,0.997174618,0.450568672,1.417456158,0.95,mode,hdi,Apidae.D,Anthomyiidae.D,D,D,
Apidae.D - Anthomyiidae.E,0.987160982,0.355157811,1.551983009,0.95,mode,hdi,Apidae.D,Anthomyiidae.E,D,E,
Apidae.D - Apidae.A,-0.175462137,-0.582737213,0.263888533,0.95,mode,hdi,Apidae.D,Apidae.A,D,A,
Apidae.D - Apidae.B,-0.279931937,-0.780784884,0.253232371,0.95,mode,hdi,Apidae.D,Apidae.B,D,B,
Apidae.D - Apidae.C,0.085742572,-0.284186478,0.359267957,0.95,mode,hdi,Apidae.D,Apidae.C,D,C,
Apidae.E - Andrenidae.A,0.392709545,-0.131058516,0.982914671,0.95,mode,hdi,Apidae.E,Andrenidae.A,E,A,
Apidae.E - Andrenidae.B,0.089679706,-0.576461861,0.636955332,0.95,mode,hdi,Apidae.E,Andrenidae.B,E,B,
Apidae.E - Andrenidae.C,0.303141511,-0.066204725,0.889682625,0.95,mode,hdi,Apidae.E,Andrenidae.C,E,C,
Apidae.E - Andrenidae.D,0.268347428,-0.211965627,0.862243894,0.95,mode,hdi,Apidae.E,Andrenidae.D,E,D,
Apidae.E - Andrenidae.E,0.347773573,-0.098749834,0.928520197,0.95,mode,hdi,Apidae.E,Andrenidae.E,E,E,
Apidae.E - Anthomyiidae.A,0.67874511,-0.276593001,1.617791327,0.95,mode,hdi,Apidae.E,Anthomyiidae.A,E,A,
Apidae.E - Anthomyiidae.B,0.15823101,-0.865113467,1.084004103,0.95,mode,hdi,Apidae.E,Anthomyiidae.B,E,B,
Apidae.E - Anthomyiidae.C,0.207388277,-0.267264615,0.730956186,0.95,mode,hdi,Apidae.E,Anthomyiidae.C,E,C,
Apidae.E - Anthomyiidae.D,0.727899808,0.05822819,1.329715245,0.95,mode,hdi,Apidae.E,Anthomyiidae.D,E,D,
Apidae.E - Anthomyiidae.E,0.717677673,0.113007939,1.219698434,0.95,mode,hdi,Apidae.E,Anthomyiidae.E,E,E,
Apidae.E - Apidae.A,-0.483108551,-0.960605464,0.043587448,0.95,mode,hdi,Apidae.E,Apidae.A,E,A,
Apidae.E - Apidae.B,-0.583815867,-1.111834802,-0.007754815,0.95,mode,hdi,Apidae.E,Apidae.B,E,B,
Apidae.E - Apidae.C,-0.25205353,-0.678398532,0.250079108,0.95,mode,hdi,Apidae.E,Apidae.C,E,C,
Apidae.E - Apidae.D,-0.286964566,-0.825974319,0.231706462,0.95,mode,hdi,Apidae.E,Apidae.D,E,D,
Bombyliidae.A - Andrenidae.A,0.377611978,-0.003476707,0.753586345,0.95,mode,hdi,Bombyliidae.A,Andrenidae.A,A,A,
Bombyliidae.A - Andrenidae.B,-0.111939094,-0.659167518,0.612385304,0.95,mode,hdi,Bombyliidae.A,Andrenidae.B,A,B,
Bombyliidae.A - Andrenidae.C,0.334323253,-0.106210435,0.754867495,0.95,mode,hdi,Bombyliidae.A,Andrenidae.C,A,C,
Bombyliidae.A - Andrenidae.D,0.285232024,-0.231588789,0.771032777,0.95,mode,hdi,Bombyliidae.A,Andrenidae.D,A,D,
Bombyliidae.A - Andrenidae.E,0.251914848,-0.261131204,0.998645257,0.95,mode,hdi,Bombyliidae.A,Andrenidae.E,A,E,
Bombyliidae.A - Anthomyiidae.A,0.63669634,-0.22923486,1.480064474,0.95,mode,hdi,Bombyliidae.A,Anthomyiidae.A,A,A,
Bombyliidae.A - Anthomyiidae.B,0.149187423,-0.876311739,1.099886802,0.95,mode,hdi,Bombyliidae.A,Anthomyiidae.B,A,B,
Bombyliidae.A - Anthomyiidae.C,0.113283097,-0.275420031,0.621779868,0.95,mode,hdi,Bombyliidae.A,Anthomyiidae.C,A,C,
Bombyliidae.A - Anthomyiidae.D,0.603046609,0.054895422,1.249518672,0.95,mode,hdi,Bombyliidae.A,Anthomyiidae.D,A,D,
Bombyliidae.A - Anthomyiidae.E,0.690002654,-0.004188599,1.263329716,0.95,mode,hdi,Bombyliidae.A,Anthomyiidae.E,A,E,
Bombyliidae.A - Apidae.A,-0.542935328,-0.823440476,-0.255007892,0.95,mode,hdi,Bombyliidae.A,Apidae.A,A,A,
Bombyliidae.A - Apidae.B,-0.696981124,-1.194778454,-0.057183098,0.95,mode,hdi,Bombyliidae.A,Apidae.B,A,B,
Bombyliidae.A - Apidae.C,-0.285650225,-0.722881202,0.109408782,0.95,mode,hdi,Bombyliidae.A,Apidae.C,A,C,
Bombyliidae.A - Apidae.D,-0.335128453,-0.822810356,0.150655155,0.95,mode,hdi,Bombyliidae.A,Apidae.D,A,D,
Bombyliidae.A - Apidae.E,-0.022492168,-0.626441438,0.520055159,0.95,mode,hdi,Bombyliidae.A,Apidae.E,A,E,
Bombyliidae.B - Andrenidae.A,0.471729062,-0.110928327,1.071934308,0.95,mode,hdi,Bombyliidae.B,Andrenidae.A,B,A,
Bombyliidae.B - Andrenidae.B,0.032549851,-0.386050952,0.592693654,0.95,mode,hdi,Bombyliidae.B,Andrenidae.B,B,B,
Bombyliidae.B - Andrenidae.C,0.452786971,-0.057537986,0.95232989,0.95,mode,hdi,Bombyliidae.B,Andrenidae.C,B,C,
Bombyliidae.B - Andrenidae.D,0.405982208,-0.14135719,0.967030187,0.95,mode,hdi,Bombyliidae.B,Andrenidae.D,B,D,
Bombyliidae.B - Andrenidae.E,0.529293093,-0.158274342,1.110768475,0.95,mode,hdi,Bombyliidae.B,Andrenidae.E,B,E,
Bombyliidae.B - Anthomyiidae.A,0.7315249,-0.171123127,1.753624223,0.95,mode,hdi,Bombyliidae.B,Anthomyiidae.A,B,A,
Bombyliidae.B - Anthomyiidae.B,0.185750447,-0.64603364,1.115855038,0.95,mode,hdi,Bombyliidae.B,Anthomyiidae.B,B,B,
Bombyliidae.B - Anthomyiidae.C,0.2982909,-0.226597883,0.806170295,0.95,mode,hdi,Bombyliidae.B,Anthomyiidae.C,B,C,
Bombyliidae.B - Anthomyiidae.D,0.810670017,0.105688177,1.434827692,0.95,mode,hdi,Bombyliidae.B,Anthomyiidae.D,B,D,
Bombyliidae.B - Anthomyiidae.E,0.78006824,0.127360571,1.42156636,0.95,mode,hdi,Bombyliidae.B,Anthomyiidae.E,B,E,
Bombyliidae.B - Apidae.A,-0.448973726,-0.937025798,0.149985483,0.95,mode,hdi,Bombyliidae.B,Apidae.A,B,A,
Bombyliidae.B - Apidae.B,-0.543301215,-0.911480006,-0.158135643,0.95,mode,hdi,Bombyliidae.B,Apidae.B,B,B,
Bombyliidae.B - Apidae.C,-0.155034151,-0.706398824,0.287200565,0.95,mode,hdi,Bombyliidae.B,Apidae.C,B,C,
Bombyliidae.B - Apidae.D,-0.195382933,-0.805290562,0.309294244,0.95,mode,hdi,Bombyliidae.B,Apidae.D,B,D,
Bombyliidae.B - Apidae.E,0.097466983,-0.537619194,0.614713103,0.95,mode,hdi,Bombyliidae.B,Apidae.E,B,E,
Bombyliidae.B - Bombyliidae.A,0.183655512,-0.446751318,0.719699232,0.95,mode,hdi,Bombyliidae.B,Bombyliidae.A,B,A,
Bombyliidae.C - Andrenidae.A,0.069014484,-0.423164086,0.490535039,0.95,mode,hdi,Bombyliidae.C,Andrenidae.A,C,A,
Bombyliidae.C - Andrenidae.B,-0.39390337,-0.907719641,0.217720288,0.95,mode,hdi,Bombyliidae.C,Andrenidae.B,C,B,
Bombyliidae.C - Andrenidae.C,0.02382949,-0.224157965,0.306539996,0.95,mode,hdi,Bombyliidae.C,Andrenidae.C,C,C,
Bombyliidae.C - Andrenidae.D,0.005911387,-0.446831523,0.344427057,0.95,mode,hdi,Bombyliidae.C,Andrenidae.D,C,D,
Bombyliidae.C - Andrenidae.E,0.026320151,-0.492026323,0.651842358,0.95,mode,hdi,Bombyliidae.C,Andrenidae.E,C,E,
Bombyliidae.C - Anthomyiidae.A,0.232586894,-0.524943232,1.24677941,0.95,mode,hdi,Bombyliidae.C,Anthomyiidae.A,C,A,
Bombyliidae.C - Anthomyiidae.B,-0.258410406,-1.162923888,0.726725702,0.95,mode,hdi,Bombyliidae.C,Anthomyiidae.B,C,B,
Bombyliidae.C - Anthomyiidae.C,-0.107858156,-0.432787838,0.167275305,0.95,mode,hdi,Bombyliidae.C,Anthomyiidae.C,C,C,
Bombyliidae.C - Anthomyiidae.D,0.332243649,-0.236328073,0.805000816,0.95,mode,hdi,Bombyliidae.C,Anthomyiidae.D,C,D,
Bombyliidae.C - Anthomyiidae.E,0.331181525,-0.259658605,0.871240539,0.95,mode,hdi,Bombyliidae.C,Anthomyiidae.E,C,E,
Bombyliidae.C - Apidae.A,-0.809788759,-1.208943931,-0.463275745,0.95,mode,hdi,Bombyliidae.C,Apidae.A,C,A,
Bombyliidae.C - Apidae.B,-0.94226355,-1.450010315,-0.454549112,0.95,mode,hdi,Bombyliidae.C,Apidae.B,C,B,
Bombyliidae.C - Apidae.C,-0.631369687,-0.831181689,-0.35231651,0.95,mode,hdi,Bombyliidae.C,Apidae.C,C,C,
Bombyliidae.C - Apidae.D,-0.651602292,-1.030862003,-0.284870093,0.95,mode,hdi,Bombyliidae.C,Apidae.D,C,D,
Bombyliidae.C - Apidae.E,-0.337614731,-0.86923293,0.13212227,0.95,mode,hdi,Bombyliidae.C,Apidae.E,C,E,
Bombyliidae.C - Bombyliidae.A,-0.319088022,-0.776906118,0.147572325,0.95,mode,hdi,Bombyliidae.C,Bombyliidae.A,C,A,
Bombyliidae.C - Bombyliidae.B,-0.429091206,-0.941844373,0.103479388,0.95,mode,hdi,Bombyliidae.C,Bombyliidae.B,C,B,
Bombyliidae.D - Andrenidae.A,-0.134079087,-0.724469002,0.5366833,0.95,mode,hdi,Bombyliidae.D,Andrenidae.A,D,A,
Bombyliidae.D - Andrenidae.B,-0.384282914,-1.139274012,0.277353394,0.95,mode,hdi,Bombyliidae.D,Andrenidae.B,D,B,
Bombyliidae.D - Andrenidae.C,-0.117201467,-0.618955089,0.421792586,0.95,mode,hdi,Bombyliidae.D,Andrenidae.C,D,C,
Bombyliidae.D - Andrenidae.D,-0.218653433,-0.706370626,0.318885817,0.95,mode,hdi,Bombyliidae.D,Andrenidae.D,D,D,
Bombyliidae.D - Andrenidae.E,-0.116195624,-0.828432102,0.557053606,0.95,mode,hdi,Bombyliidae.D,Andrenidae.E,D,E,
Bombyliidae.D - Anthomyiidae.A,0.05055813,-0.736222241,1.180560785,0.95,mode,hdi,Bombyliidae.D,Anthomyiidae.A,D,A,
Bombyliidae.D - Anthomyiidae.B,-0.3009258,-1.41067682,0.672986445,0.95,mode,hdi,Bombyliidae.D,Anthomyiidae.B,D,B,
Bombyliidae.D - Anthomyiidae.C,-0.268563298,-0.811898869,0.263661116,0.95,mode,hdi,Bombyliidae.D,Anthomyiidae.C,D,C,
Bombyliidae.D - Anthomyiidae.D,0.18043565,-0.443029465,0.809041054,0.95,mode,hdi,Bombyliidae.D,Anthomyiidae.D,D,D,
Bombyliidae.D - Anthomyiidae.E,0.210141419,-0.486736764,0.879750166,0.95,mode,hdi,Bombyliidae.D,Anthomyiidae.E,D,E,
Bombyliidae.D - Apidae.A,-1.034304788,-1.508769641,-0.370345176,0.95,mode,hdi,Bombyliidae.D,Apidae.A,D,A,
Bombyliidae.D - Apidae.B,-1.071601142,-1.733721643,-0.444391238,0.95,mode,hdi,Bombyliidae.D,Apidae.B,D,B,
Bombyliidae.D - Apidae.C,-0.765860217,-1.233158122,-0.224321881,0.95,mode,hdi,Bombyliidae.D,Apidae.C,D,C,
Bombyliidae.D - Apidae.D,-0.831673526,-1.310943821,-0.308114954,0.95,mode,hdi,Bombyliidae.D,Apidae.D,D,D,
Bombyliidae.D - Apidae.E,-0.576922904,-1.12745797,0.162142893,0.95,mode,hdi,Bombyliidae.D,Apidae.E,D,E,
Bombyliidae.D - Bombyliidae.A,-0.4630367,-1.07165196,0.166072371,0.95,mode,hdi,Bombyliidae.D,Bombyliidae.A,D,A,
Bombyliidae.D - Bombyliidae.B,-0.599782324,-1.214767457,0.147886942,0.95,mode,hdi,Bombyliidae.D,Bombyliidae.B,D,B,
Bombyliidae.D - Bombyliidae.C,-0.171796178,-0.696979029,0.370311073,0.95,mode,hdi,Bombyliidae.D,Bombyliidae.C,D,C,
Bombyliidae.E - Andrenidae.A,-0.030142396,-0.633717765,0.596972738,0.95,mode,hdi,Bombyliidae.E,Andrenidae.A,E,A,
Bombyliidae.E - Andrenidae.B,-0.436013254,-1.060522219,0.275108364,0.95,mode,hdi,Bombyliidae.E,Andrenidae.B,E,B,
Bombyliidae.E - Andrenidae.C,-0.089457016,-0.592811687,0.509751356,0.95,mode,hdi,Bombyliidae.E,Andrenidae.C,E,C,
Bombyliidae.E - Andrenidae.D,-0.070968102,-0.735306789,0.49911521,0.95,mode,hdi,Bombyliidae.E,Andrenidae.D,E,D,
Bombyliidae.E - Andrenidae.E,-0.06766542,-0.588587032,0.53118426,0.95,mode,hdi,Bombyliidae.E,Andrenidae.E,E,E,
Bombyliidae.E - Anthomyiidae.A,0.286472462,-0.737865226,1.240353142,0.95,mode,hdi,Bombyliidae.E,Anthomyiidae.A,E,A,
Bombyliidae.E - Anthomyiidae.B,-0.357395541,-1.297352464,0.747260826,0.95,mode,hdi,Bombyliidae.E,Anthomyiidae.B,E,B,
Bombyliidae.E - Anthomyiidae.C,-0.117990489,-0.769695724,0.364161805,0.95,mode,hdi,Bombyliidae.E,Anthomyiidae.C,E,C,
Bombyliidae.E - Anthomyiidae.D,0.144142931,-0.415637387,0.981095672,0.95,mode,hdi,Bombyliidae.E,Anthomyiidae.D,E,D,
Bombyliidae.E - Anthomyiidae.E,0.232215295,-0.33192465,0.921438204,0.95,mode,hdi,Bombyliidae.E,Anthomyiidae.E,E,E,
Bombyliidae.E - Apidae.A,-0.791919904,-1.474420261,-0.321826057,0.95,mode,hdi,Bombyliidae.E,Apidae.A,E,A,
Bombyliidae.E - Apidae.B,-1.000711445,-1.636195472,-0.408364395,0.95,mode,hdi,Bombyliidae.E,Apidae.B,E,B,
Bombyliidae.E - Apidae.C,-0.645088361,-1.187826349,-0.118579395,0.95,mode,hdi,Bombyliidae.E,Apidae.C,E,C,
Bombyliidae.E - Apidae.D,-0.714845281,-1.278087525,-0.077640216,0.95,mode,hdi,Bombyliidae.E,Apidae.D,E,D,
Bombyliidae.E - Apidae.E,-0.364036334,-0.929284069,0.071795659,0.95,mode,hdi,Bombyliidae.E,Apidae.E,E,E,
Bombyliidae.E - Bombyliidae.A,-0.400690798,-0.944892482,0.2953191,0.95,mode,hdi,Bombyliidae.E,Bombyliidae.A,E,A,
Bombyliidae.E - Bombyliidae.B,-0.498834497,-1.130667138,0.142300041,0.95,mode,hdi,Bombyliidae.E,Bombyliidae.B,E,B,
Bombyliidae.E - Bombyliidae.C,-0.102183602,-0.624393549,0.510789223,0.95,mode,hdi,Bombyliidae.E,Bombyliidae.C,E,C,
Bombyliidae.E - Bombyliidae.D,0.108694863,-0.604678673,0.805515211,0.95,mode,hdi,Bombyliidae.E,Bombyliidae.D,E,D,
Calliphoridae.A - Andrenidae.A,0.134170522,-0.205836118,0.422480104,0.95,mode,hdi,Calliphoridae.A,Andrenidae.A,A,A,
Calliphoridae.A - Andrenidae.B,-0.264094401,-0.854284597,0.343793425,0.95,mode,hdi,Calliphoridae.A,Andrenidae.B,A,B,
