,andrena costillensis,andrena cyanophila,andrena sp 02,andrena transnigra,andrena vicinoides,anthidium emarginatum,anthophora terminalis,arctophila flagrans,bombus appositus,bombus balteatus,bombus bifarius,bombus californicus,bombus flavifrons,bombus frigidus,bombus mixtus,bombus nevadensis,bombus occidentalis,bombus sylvicola,callophrys affinis,cartosyrphus sp 02,cartosyrphus tarda,chrysis coerulans,chrysotoxum ventricosum,coelioxus funeraria,coenonympha ochracea,colias alexandra,colletes kincaidii,colletes nigrifrons,cryptopogon sp 01,eristalis latifrons,eupeodes lapponicus,eupeodes volucris,euphydras anicia,glaucopsyche lygdamus,halictidae green spp 1,halictidae spp 01,halictus confusus,halictus rubicundus,halictus virgatellus,hoplitus fulgida,hoplitus robusta,lasioglossum inconditum,lycaena cupreus,lycaena rubidus sirius,lycaenidae spp,megachile frigida,megachile melanophea,megachile pugnata,megachile relativa,melanostoma kelloggi,melanstoma caerulescens,melissodes confusa,mesebrina latreillei,muscidae sp 02,muscidae spp 01,nymphalidae spp,ochlodes sylvanoides,osmia bucephala,osmia coloradensis,osmia grindeliae,osmia iridis,osmia lignaria,osmia montana,osmia proxima,osmia sp sgo,osmia subaustralis,osmia tristela,panurginus ineptus,papilio gothica,phormia spp 1,pieridae spp,pieris mcdunnoughi,pieris rapa,polygonia zephyrus,psithyrus insularis,rhamphomyia sp 01,scathophagidae sp 01,selasphorus platycercus,speyeria mormonia,sphaerophoria robusta,sphecodes sp 01,sphex spp 1,syrphidae 02,syrphidae spp,syrphidae spp 1,syrphidae spp 2,syrphidae spp 3,syrphidae spp 4,systoechus sp,tachinidae sp 01,tephritidae 01,thricops septentrionalis,villa eumenes
draba aurea,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,35,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,7,0,14,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,7,0
erigeron flagellaris,0,0,0,0,0,0,0,5,0,0,3,0,1,0,0,0,0,0,0,0,13,0,7,0,3,0,0,3,4,23,23,12,15,13,0,0,13,18,3,3,1,127,3,1,0,0,0,0,23,8,0,0,1,0,24,0,19,1,10,0,0,0,21,4,14,2,0,15,0,0,0,0,2,0,0,0,0,0,1,62,3,0,5,0,0,0,0,0,14,2,0,33,11
erigeron speciosus,0,0,0,0,0,0,16,3,5,0,112,0,3,0,3,0,0,36,0,0,1,0,3,0,0,1,0,0,0,1,0,6,2,36,0,0,0,0,1,0,0,5,8,4,0,0,2,11,10,0,0,0,1,0,5,0,2,1,2,2,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,2,1,0,68,0
eriogonum subalpinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0
eriogonum umbellatum,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,5,0,1,0,1,0,8,0,0,0,17,0,3,0,8,0,1,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,13,0
erythronium grandiflorum,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fragaria virginiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
galium boreale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
gentiana parryi,0,0,0,0,0,0,0,0,59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helianthella quinquenervis,0,0,0,0,0,0,0,0,5,0,84,12,111,0,0,0,0,7,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,91,0
heliomeris multiflora,20,0,0,0,0,0,15,26,355,0,5326,31,1100,35,67,0,20,175,0,0,0,0,32,1,0,0,0,0,0,2,0,0,0,15,0,0,0,14,0,4,0,11,2,2,0,7,2,29,21,0,0,9,8,0,48,0,3,1,9,11,0,0,0,0,0,0,0,21,0,0,0,0,0,0,90,0,0,0,10,17,0,0,0,0,0,1,0,1,5,3,0,127,6
heterotheca villosa,20,0,0,0,7,0,4,23,424,4,5134,275,890,0,25,0,82,125,0,0,6,0,59,1,0,11,1,0,0,10,0,3,0,43,0,0,0,18,0,18,0,23,8,6,0,28,3,62,99,0,0,0,6,0,15,0,29,3,6,22,0,0,44,0,0,0,8,85,0,2,0,0,0,0,116,0,0,0,67,38,0,5,0,0,4,0,0,0,8,23,0,164,31
hydrophyllum capitatum,0,0,0,0,0,0,0,0,0,0,131,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrophyllum fendeleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipomopsis aggregata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lathyrus leucanthus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linum lewisii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lomatium dissectum,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mahonia repens,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mertensia ciliata,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mertensia fusiformis,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phacelia heterophylla,0,0,0,0,0,0,0,0,0,0,15,0,134,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
potentilla gracilis,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,4,0,1,2,1,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,34,0
potentilla hippiana,0,0,0,0,46,0,0,1,0,0,67,3,0,0,0,0,0,0,0,0,32,0,1,0,0,0,74,7,1,0,1,6,0,4,0,0,12,21,8,1,2,147,0,0,0,0,0,0,3,0,4,0,0,0,7,0,3,32,3,0,0,0,1,0,4,0,0,289,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,7,0,0,380,11
pseudocymopterus montanus,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0
ranunculus inamoenus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rosa woodsii,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sedum lanceolatum,0,0,0,0,11,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
senecio integerrimus,0,0,0,8,0,0,15,17,0,0,132,6,8,0,0,0,0,15,0,2,24,0,4,3,5,0,3,0,0,39,34,9,12,13,0,0,3,28,10,0,8,37,6,0,0,0,26,5,38,0,0,0,0,0,14,0,28,9,80,0,38,0,521,0,7,106,0,0,17,0,0,1,25,0,13,0,0,4,0,64,0,0,0,0,0,0,2,0,19,1,0,45,0
senecio serra,0,0,0,0,0,0,0,0,0,0,11,0,65,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
senecio tall int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
solidago multiradiata,0,0,0,0,0,0,0,2,24,0,82,0,9,2,0,7,0,16,0,0,0,0,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,1,0,19,2
taraxacum officinale,0,0,4,2,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,1,5,0,0,0,0,13,21,27,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,4,0,18,0,0,0,0,2,0,0,0,0,0,0,4,2,1,6,6,0,0,21,7,0,0,0,0,0,0,0,0,0,5,11,0
vicia americana,0,0,0,0,3,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viola praemorsa,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
