"","x"
"142","Castanopsis sieboldii"
"143","Ardisia quinquegona"
"144","Euscaphis japonica"
"145","Elaeocarpus japonicus"
"146","Litsea japonica"
"147","Dendropanax trifidus"
"148","Kandetia candel"
"149","Callicarpa japonica"
"150","Euodia meliifolia"
"151","Cirsium brevicaule"
"152","Youngia japonica"
"153","Ranunculus sieboldii"
"154","Glochidion zeylanicum"
"155","Lagerstroemia subcostata"
"156","Ampetopsis brevipedunculata"
"157","Clerodendrum trichotomum"
"158","Aster asa-grayi"
"159","Maesa tenera"
"160","Trema orientalis"
"161","Meliosma rigida"
"162","Wendtandia formosana"
"163","Deutzia naseana"
"164","Machitus thunbergii"
"165","Heritiera littoralis"
"166","Cinnamomum doederleinii"
"167","Alpinia intermedia"
"168","Crepidiastrum lanceolatum"
"169","Psychotria sepens"
"170","Elaeocarpus sylvestris"
"171","Peucedanum joponicum"
"172","Styrax japonica"
"173","Rhamnella franguloides"
"174","Symplocos microcalyx"
"175","Glochidion obovatum"
"176","Mosla dianthera"
"177","Brassica campestris"
"178","Scaevola frutescens"
"179","Aeginetia indica"
"180","Ligustrum joponicum"
"181","Rubus croceacanthus"
"182","Psychotria homalosperma"
"183","Antidesma joponicum"
"184","Ilex integra"
"185","Acer insulae"
"186","Persicaria chinensis"
"187","Rhaphiolepis indica"
"188","Schefflera octophylla"
"189","Bredia hirsuta"
"190","Croomia japonica"
"191","Premna microphylla"
"192","Rubus sieboldii"
"193","Clematis grata"
"194","Pandanus odoratissimus"
"195","Hibiscus maleinoi"
"196","Pinus luchuensis"
"197","Premna corymbosa"
"198","Lysimachia mauiriana"
"199","Ajuga dictyocarpa"
"200","Alpinia sp1 M PL 044"
"201","Diospyrus japonica"
"202","Sedum formosanum"
"203","Alocasia odora"
"204","Vigna marina"
"205","Pollia japonica"
"206","Farfugium joponicum"
"207","Rhododendron tashiroi"
"208","Viola pseudo-japonica"
"209","Ormocaipum cochinchinense"
"210","Myrsine segttinii"
"211","Cerbera manghas"
"212","Stauntonia hexaPhylla"
"213","Securinega suffruticosa"
"214","Piper kadzura"
"215","Ageratum houstonianum"
"216","Alpinia formosana"
"217","Metothria tiukiuensis"
"218","Rubus grayanus"
"219","Clematis terniflora"
"220","Bauhinia japonica"
"221","Maackia tashiroi"
"222","Hibiscus hamabo"
"223","Canavalia lineata"
"224","VVedelia biflora"
"225","Eurya japonica"
"226","Hibiscus tiliaceus"
"227","Ipomoea indica"
"228","Reynoutria japonica"
"229","Ardisia pusilla"
"230","Lasianthus japonicus"
"231","Actinidia rufa"
"232","Meliosma oldhamii"
"233","Morinda umbellata"
"234","Vaccinium wrightii"
"235","Salsola komarovii"
"236","Musa balbisiana"
"237","Barringtonia racemosa"
"238","Belamcanda chinensis"
"239","Blastus cochinchinensis"
"240","Litsea citriodora"
"241","Bidens pilosa"
"242","Rhynchotechum discolor"
"243","Diapensia lapponica"
"244","Viola biflora"
"245","Saxifraga oppositifolia"
"246","Dryas octopetala"
"247","Saxifraga aizoides"
"248","Trollius europaeus"
"249","Cerastium alpinum"
"250","Pinguicula alpina"
"251","Parnassia palustris"
"252","Silene acaulis"
"253","Potentilla crantzii"
"254","Polygonum viviparum"
"255","Salix reticulata"
"256","Rhodiola rosea"
"257","Rhododendron lapponicum"
"258","Antennaria alpina"
"259","Salix lanata"
"260","Taraxacum officinale"
"261","Cassiope hypnoides"
"262","Cassiope tetragona"
"263","Astragalus alpinus"
"264","Arabis alpina"
"265","Salix polaris"
"266","Bartsia alpina"
"267","Macleaya cordata"
"268","Viola verecunda"
"269","Kalimeris yomena"
"270","Angelica pubescens"
"271","Deutzia maximowicziana"
"272","Leucosceptrum stellipilum"
"273","Aralia cordata"
"274","Angelica polymorpha"
"275","Deutzia crenata"
"276","Cirsium microspicatum"
"277","Symplocos chinensis"
"278","Kerria japonica"
"279","Rhus javanica"
"280","Stachyurus praecox"
"281","Rubus palmatus"
"282","Lindera umbellata"
"283","Aster glehni"
"284","Carex curvicollis"
"285","Viburnum plicatum"
"286","Corydalis pallida"
"287","Hydrangea paniculata"
"288","Stenactis annuus"
"289","Persicaria thunbergii"
"290","Aster ageratoides amplexifolius"
"291","Cardiandra alternifolia"
"292","Rubus crataegifolius"
"293","Aralta elata"
"294","Cardamine tanakae"
"295","Lindera obtusiloba"
"296","Geum japonicum"
"297","Orixa japonica"
"298","Ligularia fischerii"
"299","Staphylea bumalda"
"300","Hydrangea hirta"
"301","Astilbe thunbergii"
"302","Duchesnea chrysantha"
"303","Glechoma hederacea"
"304","Stephanandra incisa"
"305","Codonopsis lanceolata"
"306","Hydrangea macrophylla"
"307","Agrimonia pilosa"
"308","Chelidonium majus"
"309","Desmodium podocarpum"
"310","Trifolium repens"
"311","Amphicarpaea bracteata"
"312","Ranunculus silerifolius"
"313","Youngia denticulata"
"314","Weigela hortensis"
"315","Acer carpinifolium"
"316","Cryptotaenia japonica"
"317","Omphalodes japonica"
"318","Rorippa indica"
"319","Bistorta tenuicaulis"
"320","Cardamine regeliana"
"321","Kalimeris pinnatifida"
"322","Rubus buergeri"
"323","Trigonotis brevipes"
"324","Viburnum phlebotricum"
"325","Sambucus racemosa"
"326","Albizzia julibrissin"
"327","Corydalis incisa"
"328","Prunus jamasakura"
"329","Stellaria uchiyamana"
"330","Euonymus alatus"
"331","Ampelopsis brevipedunculata"
"332","Hypericum pseudopetiolatum"
"333","Rabdosia trichocarpa"
"334","Torilis japonica"
"335","Vicia venosa"
"336","Persicaria pubescens"
"337","Aster ageratoides"
"338","Euptelea polyandra"
"339","Meliosma tenuis"
"340","Eupatorium chinense"
"341","Lonicera gracilipes"
"342","Rhododendron kaempferi"
"343","Ixeris dentata"
"344","Wisteria floribunda"
"345","Osterium sieboldii"
"346","Eriobotrya japonica"
"347","Swertia bimaculata"
"348","Paederia scandens"
"349","Impatiens textori"
"350","Achyranthes bidentata"
"351","Plantago asiatica"
"352","Valeriana flaccidissima"
"353","Rabdosia longituba"
"354","Persicaria conspicua"
"355","Digitaria ciliaris"
"356","Geranium nepalense"
"357","Potentilla sundaica"
"358","Impatiens noli-tangere"
"359","Swida macrophylla"
"360","Stellaria alsine"
"361","Houttuynia cordata"
"362","Dipsacus japonicus"
"363","Clethra barbinervis"
"364","Meehania urticifolia"
"365","Paeonia japonica"
"366","Persicaria yokusaiana"
"367","Actinidia arguta"
"368","Alangium platanifolium"
"369","Aster ageratoides ovatus"
"370","Aster subulatus"
"371","Calamagrostis arundinacea"
"372","Persicaria aestiva"
"373","Akebia quinata"
"374","Patrinia villosa"
"375","Senecio nikoensis"
"376","Clematis apiifolia"
"377","Ligustrum obtusifolium"
"378","Ledum palustre"
"379","Vaccinium uliginosum"
"380","Pyrola grandiflora"
"381","Saxifraga tricuspidata"
"382","Dryas integrifolia"
"383","Campanula gieseckiana"
"384","Salix sp1 M PL 045"
"385","Potentilla rubricaulis"
"386","Viscaria alpina"
"387","Epilobium latifolium"
"388","Saxifraga caespitosa"
"389","Pedicularis flammea"
"390","Draba sp1 M PL 020"
"391","Salix arctica"
"392","Lesquerella arctica"
"393","Potentilla nivea"
"394","Papaver radicatum"
"395","Pedicularis arctica"
"396","Stellaria longipes"
"397","Erigeron compositus"
"398","Saxifraga hirculus"
"399","Arnica alpina"
"400","Taraxacum arctogenum"
"401","Erysimum pallasii"
"402","Erigeron eriocephalus"
"403","Ranumculus sulphureus"
"404","Pedicularis capitata"
"405","Jatropa sp"
"406","Tillandsia didisticha"
"407","Heteropterys glabra"
"408","Borreria eryngioides"
"409","Eupatorium sp"
"410","Mollugo verticillata"
"411","Lepidaploa pseudomuricata"
"412","Prosopis rubriflora"
"413","Mimosa sensibilis"
"414","Stylosanthes hamata"
"415","Cnidoscolus urens"
"416","Tripogandra glandulosa"
"417","Parkinsonia praecox"
"418","Gomphrena elegans"
"419","Microtea scabrida"
"420","Oxalis sp"
"421","Castela coccinea"
"422","Sida sp"
"423","Herissantia nemoralis"
"424","Pectis sp"
"425","Vernonia sp"
"426","Ziziphus oblongifolius"
"427","Portulaca fluvialis"
"428","Waltheria indica"
"429","Cleistocactus cf  baumannii"
"430","Aeschynomene mollicula"
"431","Pavonia sp"
"432","Gomphrena celosioides"
"433","Pavonia sidifolia"
"434","Stachytarpheta elatior"
"435","Cuphea thymoides"
"436","Talinum triangulare"
"437","Lippia alba"
"438","Commelina nudiflora"
"439","Croton sp 2"
"440","Senegalia sp"
"441","Arachis microsperma"
"442","Opuntia bergeriana"
"443","Cereus bicolor"
"444","Myrtaceae sp 1"
"445","Echinopsis rhodotricha"
"446","Harrisia balansae"
"447","Scoparia montevidensis"
"448","Isostigma hoffmannii"
"449","Croton sp 1"
"450","Ruellia tweediana"
"451","Mimosa hexandra"
"452","Malpighiaceae sp 1"
"453","Ayenia cf  tomentosa"
"454","Melochia pyramidata"
"455","Tradescanta sp"
"456","Arrabidaea sp"
"457","Coccoloba guaranitica"
"458","Cleome guianensis"
"459","Sida rhombifolia"
"460","Gymnocalycium sp"
"461","Neptunia cf  plena"
"462","Alternanthera sp"
"463","Piriqueta sp"
"464","Camptosema paraguariense"
"465","Staelia thymoides"
"466","Pereskia sacharosa"
"467","Coffea macrocarpa"
"468","Olea lancea"
"469","Badula platiphylla"
"470","Phyllanthus phillyreifolius"
"471","Sideroxylon puberulum"
"472","Euodia chapelieri"
"473","Grangeria borbonica"
"474","Helichrysum proteoides"
"475","Warneckea trinervis"
"476","Coffea mauritiana"
"477","Gaertnera rotundifolia"
"478","Mimusops erythroxylon"
"479","Faujasiopsis flexuosa"
"480","Agauria salicifolia"
"481","Polyscias mauritiana"
"482","Cordemoya integrifolia"
"483","Ocotea laevigata"
"484","Ochna mauritiana"
"485","Flagellaria indica"
"486","Monimiastrum globosum"
"487","Erythrospermum monticolum"
"488","Lobelia spicata"
"489","Asclepias sullivantii"
"490","Cucurbita melopepo"
"491","Scutellaria versicolor"
"492","Liatris pycnostachya"
"493","Radicula obtusa"
"494","Ranunculus recurvatus"
"495","Strophostyles helvola"
"496","Uvularia grandiflora"
"497","Echinocystis lobata"
"498","Gnaphalium polycephalum"
"499","Lobelia leptostachys"
"500","Rubus canadensis"
"501","Arabis virginica"
"502","Polygonum persicaria"
"503","Solanum carolinense"
"504","Heuchera hispida"
"505","Cephalanthus occidentalis"
"506","Desmodium canadense"
"507","Veronica virginica"
"508","Prunella vulgaris"
"509","Lepachys pinnata"
"510","Tilia americana"
"511","Desmodium marilandicum"
"512","Alisma plantago aquatica"
"513","Hibiscus lasiocarpos"
"514","Viburnum pubescens"
"515","Martynia louisiana"
"516","Helianthus strumosus"
"517","Galium trifidum"
"518","Coreopsis palmata"
"519","Stellaria longifolia"
"520","Lobelia cardinalis"
"521","Phlox divaricata"
"522","Pontederia cordata"
"523","Spiranthes gracilis"
"524","Desmodium paniculatum"
"525","Brauneria purpurea"
"526","Aster lateriflorus"
"527","Tecoma radicans"
"528","Aster paniculatus"
"529","Pycnanthemum pilosum"
"530","Prenanthes crepidinea"
"531","Helianthus scaberrimus"
"532","Frasera carolinensis"
"533","Oxalis corniculata"
"534","Plantago major"
"535","Cercis canadensis"
"536","Sagittaria latifolia"
"537","Lonicera sempervirens"
"538","Ruellia strepens"
"539","Blephilia ciliata"
"540","Eupatorium sessilifolium"
"541","Bidens aristosa"
"542","Asiminia triloba"
"543","Aster ericoides villosus"
"544","Erigeron ramosus"
"545","Aruncus sylvester"
"546","Polytaenia nuttallii"
"547","Stachys palustris"
"548","Baptisia leucantha"
"549","Lithospermum canescens"
"550","Polygonatum commutatum"
"551","Impatiens pallida"
"552","Gymnocladus dioica"
"553","Saponaria officinalis"
"554","Clematis virginiana"
"555","Amelanchier canadensis"
"556","Sium cicutaefolium"
"557","Solidago serotina"
"558","Agastache scrophulariaefolia"
"559","Cornus amomum"
"560","Verbesina helianthoides"
"561","Sicyos angulatus"
"562","Cucurbita pepo"
"563","Houstonia purpurea calycosa"
"564","Rosa setigera"
"565","Strophostyles pauciflora"
"566","Polygonum lapathifolium"
"567","Aster turbinellus"
"568","Staphylea trifolia"
"569","Aster novaeangliae"
"570","Vitis vulpina"
"571","Ruellia ciliosa"
"572","Apocynum cannabinum"
"573","Lobelia inflata"
"574","Collinsia verna"
"575","Hydrophyllum virginianum"
"576","Aster anomalus"
"577","Robinia pseudacacia"
"578","Ludvigia alternifolia"
"579","Penstemon laevigatus"
"580","Geranium maculatum"
"581","Seymeria macrophylla"
"582","Solidago speciosa"
"583","Crataegus coccinea"
"584","Asclepias syriaca"
"585","Thalictrum dasycarpum"
"586","Taenidia integerrima"
"587","Salix cordata"
"588","Podophyllum peltatum"
"589","Hibiscus militaris"
"590","Comandra umbellata"
"591","Rubus villosus"
"592","Panicum virgatum"
"593","Phlox pilosa"
"594","Myosurus minimus"
"595","Cacalia tuberosa"
"596","Viola cucullata"
"597","Eupatorium perfoliatum"
"598","Cirsium pumilum"
"599","Eupatorium coelestinum"
"600","Asclepias verticillata"
"601","Aquilegia canadensis"
"602","Helianthus mollis"
"603","Thaspium aureum trifoliatum"
"604","Bidens laevis"
"605","Actea alba"
"606","Sebatia angularis"
"607","Symphoricarpos orbicularis"
"608","Lilium superbum"
"609","Anemonella thalictroides"
"610","Philadelphus grandiflorus"
"611","Helenium autumnale"
"612","Bidens frondosa"
"613","Senecio aureus"
"614","Eupatorium altissimum"
"615","Hypericum punctatum"
"616","Coreopsis tripteris"
"617","Cacalia atriplicifolia"
"618","Verbena hastata"
"619","Gentiana andrewsii"
"620","Amorpha fruticosa"
"621","Nelumbo lutea"
"622","Silphium laciniatum"
"623","Datura tatula"
"624","Steironema lanceolatum"
"625","Osmorrhiza longistylis"
"626","Salix humilis"
"627","Euphorbia preslii"
"628","Steironema ciliatum"
"629","Pycnanthemum virginianum"
"630","Rosa humilis"
"631","Orobanche uniflora"
"632","Zizia aurea"
"633","Helianthus divaricatus"
"634","Desmodium canescens"
"635","Desmodium illinoense"
"636","Gerardia tenuifolia"
"637","Ipomoea pandurata"
"638","Geranium carolinianum"
"639","Arabis laevigata"
"640","Amaranthus spinosus"
"641","Cardamine bulbosa"
"642","Dicentra cucullaria"
"643","Silphium terebinthinaceum"
"644","Pycnanthemum flexuosum"
"645","Hypericum cistifolium"
"646","Abutilon theophrasti"
"647","Erigeron pulchellus"
"648","Lespedeza procumbens"
"649","Phryma leptostachya"
"650","Helianthus tuberosus"
"651","Physalis virginiana"
"652","Boltonia asteroides"
"653","Tephrosia virginiana"
"654","Cicuta maculata"
"655","Monarda fistulosa"
"656","Arisaema triphyllum"
"657","Erechthites hieracifolia"
"658","Actinomeris alternifolia"
"659","Ulmus fulva"
"660","Physalis lanceolata"
"661","Physostegia virginiana"
"662","Cornus florida"
"663","Isopyrum biternatum"
"664","Agastache nepetoides"
"665","Datura stramonium"
"666","Cryptotaenia canadensis"
"667","Lespedeza virginica"
"668","Helianthus grosse-serratus"
"669","Prunus serotina"
"670","Psedera quinquefolia"
"671","Malva rotundifolia"
"672","Linaria vulgaris"
"673","Mimulus alatus"
"674","Ranunculus septentrionalis"
"675","Veronica arvensis"
"676","Ilysanthes dubia"
"677","Physalis subglabrata"
"678","Fragaria virginiana illinoensis"
"679","Populus tremuloides"
"680","Petalostemum candidum"
"681","Salix nigra"
"682","Parthenium integrifolium"
"683","Gerardia grandiflora"
"684","Lobelia siphilitica"
"685","Tradescantia pilosa"
"686","Helianthus annuus"
"687","Ludvigia polycarpa"
"688","Campanula americana"
"689","Lonicera sullivantii"
"690","Amphicarpa pitcheri"
"691","Scutellaria lateriflora"
"692","Iris versicolor"
"693","Euphorbia corollata"
"694","Sambucus canadensis"
"695","Polygonum hydropiper"
"696","Steironema quadriflorum"
"697","Bidens connata"
"698","Antennaria plantaginifolia"
"699","Aster salicifolius"
"700","Delphinium tricorne"
"701","Castalia tuberosa"
"702","Castilleja coccinea"
"703","Eupatorium urticaefolium"
"704","Geum vernum"
"705","Polygonum hydropiperoides"
"706","Tradescantia brevicaulis"
"707","Aster multiflorus"
"708","Prenanthes aspera"
"709","Erigeron canadensis"
"710","Asclepias purpurascens"
"711","Ammannia coccinea"
"712","Triosteum perfoliatum"
"713","Oenothera fruticosa"
"714","Myosotis virginica"
"715","Cuscuta glomerata"
"716","Celastrus scandens"
"717","Leonurus cardiaca"
"718","Solidago ulmifolia"
"719","Zea mays"
"720","Astragalus canadensis"
"721","Scrophularia marilandica"
"722","Passiflora lutea"
"723","Hypericum ascyron"
"724","Apios tuberosa"
"725","Samolus floribundus"
"726","Achillea millefolium"
"727","Mimulus ringens"
"728","Aster sagittifolius"
"729","Aesculus hippocastanum"
"730","Claytonia virginica"
"731","Orchis spectabilis"
"732","Cirsium lanceolatum"
"733","Dodecatheon meadia"
"734","Lythrum alatum"
"735","Lycopus americanus"
"736","Phytolacca decandra"
"737","Pyrus coronaria"
"738","Cirsium discolor"
"739","Ranunculus fascicularis"
"740","Hydrangea arborescens"
"741","Viola striata"
"742","Melanthium virginicum"
"743","Cornus paniculata"
"744","Anthemis cotula"
"745","Marrubium vulgare"
"746","Amorpha canescens"
"747","Thaspium aureum atropurpurem"
"748","Verbena stricta"
"749","Ptelea trifoliata"
"750","Ceanothus americanus"
"751","Clematis pitcheri"
"752","Prunus americana"
"753","Nothoscordum bivalve"
"754","Polygonum pennsylvanicum"
"755","Polygonum amphibium"
"756","Mertensia virginica"
"757","Krigia amplexicaulis"
"758","Lippia lanceolata"
"759","Aesculus glabra"
"760","Eupatorium serotinum"
"761","Convolvulus sepium"
"762","Apocynum androsaemifolium"
"763","Erigenia bulbosa"
"764","Gaura biennis"
"765","Arabis dentata"
"766","Evonymus atropurpureus"
"767","Bidens bipinnata"
"768","Specularia perfoliata"
"769","Ambrosia trifida"
"770","Vitis cordifolia"
"771","Gonolobus laevis"
"772","Trifolium hybridum"
"773","Pastinaca sativa"
"774","Verbena urticaefolia"
"775","Dirca palustris"
"776","Ascerates floridana"
"777","Brauneria pallida"
"778","Camassia esculenta"
"779","Baptisia bracteata"
"780","Cassia marilandica"
"781","Trifolium reflexum"
"782","Dipsacus sylvestris"
"783","Sisyrinchium gramineum"
"784","Sanicula marilandica"
"785","Silphium integrifolium"
"786","Solidago graminifolia"
"787","Rhus toxicodendron"
"788","Salix amygdaloides"
"789","Mentha arvensis"
"790","Agrimonia striata"
"791","Silphium perfoliatum"
"792","Viola sagittata"
"793","Capsella bursa-pastoris"
"794","Lactuca floridana"
"795","Hedeoma pulegioides"
"796","Habenaria leucophaea"
"797","Silene stellata"
"798","Hepatica acutiloba"
"799","Rhamnus lanceolata"
"800","Circaea lutetiana"
"801","Populus deltoides"
"802","Oxalis stricta"
"803","Impatiens biflora"
"804","Cypripedium parviflorum pubescens"
"805","Nepeta cataria"
"806","Stenanthium angustifolium"
"807","Viola pubescens"
"808","Ribes gracile"
"809","Desmodium bracteosum"
"810","Polygonum scandens"
"811","Rhus canadensis"
"812","Gerardia purpurea"
"813","Acer negundo"
"814","Solidago rigida"
"815","Rudbeckia laciniata"
"816","Cuphea petiolata"
"817","Astragalus mexicanus"
"818","Verbena bracteosa"
"819","Ipomoea purpurea"
"820","Hibiscus trionum"
"821","Chaerophyllum procumbens"
"822","Ulmus americana"
"823","Lespedeza capitata"
"824","Petalostemum purpureum"
"825","Fraxinus americanus"
"826","Polemonium reptans"
"827","Helianthus laetiflorus"
"828","Dentaria laciniata"
"829","Erigeron annuus"
"830","Phlox glaberrima"
"831","Polygonum acre"
"832","Desmodium dillenii"
"833","Geum canadense"
"834","Arctium minus"
"835","Vernonia fasciculata"
"836","Lactuca canadensis"
"837","Liparis liliifolia"
"838","Lappula virginiana"
"839","Oenothera biennis"
"840","Solidago missouriensis"
"841","Cerastium nutans"
"842","Asclepias tuberosa"
"843","Rudbeckia triloba"
"844","Lepidium virginicum"
"845","Nepeta hederacea"
"846","Gleditsia triacanthos"
"847","Melilotus alba"
"848","Solanum nigrum"
"849","Cirsium altissimum"
"850","Trillium sessile"
"851","Ipomoea hederacea"
"852","Teucrium canadense"
"853","Desmodium sessilifolium"
"854","Rudbeckia hirta"
"855","Hypoxis hirsuta"
"856","Asclepias incarnata"
"857","Verbena angustifolia"
"858","Eulophus americanus"
"859","Diospyros virginiana"
"860","Viola pedata"
"861","Eupatorium purpureum"
"862","Rubus occidentalis"
"863","Solidago canadensis"
"864","Smilax hispida"
"865","Zanthoxylum americanum"
"866","Dianthera americana"
"867","Lantana camara"
"868","Crataegus crus-galli"
"869","Sanicula canadensis"
"870","Galium aperine"
"871","Erythronium albidum"
"872","Smilacina racemosa"
"873","Hybanthus concolor"
"874","Crotalaria sagittalis"
"875","Cassia chamaecrista"
"876","Sida spinosa"
"877","Rudbeckia subtomentosa"
"878","Sisymbrium canescens"
"879","Nymphaea advena"
"880","Rhus copallina"
"881","Blephilia hirsuta"
"882","Oxalis violacea"
"883","Asparagus officinalis"
"884","Solanum rostratum"
"885","Desmodium grandiflorum"
"886","Iris hexagona"
"887","Ranunculus abortivus"
"888","Valerianella radiata"
"889","Smilacina stellata"
"890","Chrysanthemum leucanthemum"
"891","Viburnum prunifolium"
"892","Viola pedatifida"
"893","Veronica peregrina"
"894","Trifolium pratense"
"895","Psoralea onobrychis"
"896","Eryngium yuccifolium"
"897","Stylosanthes biflora"
"898","Hydrophyllum appendiculatum"
"899","Potentilla monspeliensis norvegica"
"900","Cacalia reniformis"
"901","Liatris scariosa"
"902","Gentiana puberula"
"903","Cynoglossum officinale"
"904","Penstemon hirsutus"
"905","Oxypolis rigidior"
"906","Cerastium vulgatum"
"907","Ellisia nyctelaea"
"908","Ascerates viridiflora"
"909","Lobelia cardinalis x siphilitica"
"910","Sanguinaria canadensis"
"911","Heliopsis helianthoides"
"912","Gillenia stipulacea"
"913","Rhus glabra"
"914","Gerardia auriculata"
"915","Sassafras variifolium"
"916","Polygala sanguinea"
"917","Sisyrinchium angustifolium"
"918","Cuscuta cephalanthi"
"919","Heracleum lanatum"
"920","Anethum graveolens"
"921","Scutellaria canescans"
"922","Smilax herbacea"
"923","Potentilla canadensis"
"924","Caulophyllum thalictroides"
"925","Poa pratensis"
"926","Gratiola virginiana"
"927","Tradescantia virginiana"
"928","Crataegus mollis"
"929","Stellaria media"
"930","Solidago nemoralis"
"931","Monarda bradburiana"
"932","Acer saccharinum"
"933","Silene nivea"
"934","Radicula palustris"
"935","Salix longifolia"
"936","Aristolochia tomentosa"
"937","Erigeron philadelphicus"
"938","Scutellaria parvula"
"939","Lotus uliginosus"
"940","Pimpinella major"
"941","Filipendula ulmaria"
"942","Veronica serpyllifolia"
"943","Lychnis flos-cuculi"
"944","Angelica sylvestris"
"945","Myosotis palustris"
"946","Silene dioica"
"947","Vicia sepium"
"948","Mentha aquatica"
"949","Valeriana officinalis"
"950","Potentilla erecta"
"951","Veronica beccabunga"
"952","Ranunculus acris"
"953","Lythrum salicaria"
"954","Cirsium vulgare"
"955","Geum rivale"
"956","Cirsium oleraceum"
"957","Centaurea jacea"
"958","Veronica chamaedrys"
"959","Stellaria graminea"
"960","Stellaria palustris"
"961","Anthriscus sylvestris"
"962","Trifolium campestre"
"963","Ranunculus flammula"
"964","Lathyrus montanus"
"965","Crepis paludosa"
"966","Lysimachia vulgaris"
"967","Vicia cracca"
"968","Cerastium fontanum"
"969","Geranium robertianum"
"970","Lathyrus pratensis"
"971","Galium palustre"
"972","Ajuga reptans"
"973","Chamomilla recutita"
"974","Pallenis spinosa"
"975","Erodium cicutarium"
"976","Cistus parviflorus"
"977","Gagea granatelli"
"978","Scandix australis"
"979","Echinops microcephalus"
"980","Thymus capitatus"
"981","Scilla autumnalis"
"982","Helichrysum stoechas"
"983","Heliotropium hirsutissimum"
"984","Reseda alba"
"985","Euphorbia acanthothamnos"
