N,db,query,family,order
32,ncbi,Tachipompillus,Pompilidae,Hymenoptera
33,ncbi,Thygather,Apidae,Hymenoptera
34,ncbi,Thynnidae,Thynnidae,Hymenoptera
36,ncbi,Trichostictia,Crabronidae,Hymenoptera
39,ncbi,Cyphomenes,Vespidae,Hymenoptera
41,ncbi,Bembicini,Crabronidae,Hymenoptera
43,ncbi,remnophilla,Sphecidae,Hymenoptera
44,ncbi,Minixi,Vespidae,Hymenoptera
45,ncbi,Trachypus,Crabronidae,Hymenoptera
46,ncbi,Pompilinae,Pompilidae,Hymenoptera
52,ncbi,Derelomini,Curculionidae,Coleoptera
56,ncbi,Groatus,Curculionidae,Coleoptera
57,ncbi,Gryllacrididae,Gryllacrididae,Orthoptera
58,ncbi,Hoplopyga,Scarabaeidae,Coleoptera
60,ncbi,Larocanthidium,Megachilidae,Hymenoptera
62,ncbi,Madarini,Curculionidae,Coleoptera
63,ncbi,Maronius,Cantharidae,Coleoptera
67,ncbi,Oxaea,Andrenidae,Hymenoptera
70,ncbi,Peloconusus,Curculionidae,Coleoptera
74,ncbi,Sarocolletes,Colletidae,Hymenoptera
76,ncbi,Scutelleridae,Scutelleridae,Hemiptera
78,ncbi,Acentron,Megachilidae,Hymenoptera
82,ncbi,Babiohaltica,Chrysomelidae,Coleoptera
83,ncbi,Bruchini,Chrysomelidae,Coleoptera
84,ncbi,Camptodes,Nitidulidae,Coleoptera
90,ncbi,Eudiagogini,Curculionidae,Coleoptera
91,ncbi,Geraeus,Curculionidae,Coleoptera
94,ncbi,Hesperiinae,Hesperiidae,Lepidoptera
96,ncbi,Pseudocentron,Megachilidae,Hymenoptera
98,ncbi,Pyrginae,Hesperiidae,Lepidoptera
100,ncbi,Riodinidae,Riodinidae,Lepidoptera
101,ncbi,Spintherophyta,Chrysomelidae,Coleoptera
103,ncbi,Tetragonoschema,Buprestidae,Coleoptera
105,ncbi,Auglocloropsis,Halictidae,Hymenoptera
106,ncbi,Mariposa,NA,Lepidoptera
107,ncbi,Augloclorella,Halictidae,Hymenoptera
108,ncbi,Augloclora,Halictidae,Hymenoptera
109,ncbi,Brachygstra,Vespidae,Hymenoptera
114,ncbi,Phaetornis,Trochilidae,Apodiformes
121,ncbi,Parachartegus,Vespidae,Hymenoptera
123,ncbi,Tmemophlebia,Bombyliidae,Diptera
124,ncbi,Cryptochetidae,Cryptochetidae,Diptera
125,ncbi,Ephydridae,Ephydridae,Diptera
126,ncbi,Exoristinae,Tachinidae,Diptera
127,ncbi,Fanniidae,Fanniidae,Diptera
128,ncbi,Lygistorrhinidae,Lygistorrhinidae,Diptera
129,ncbi,Oestridae,Oestridae,Diptera
131,ncbi,Quichuana,Syrphidae,Diptera
132,ncbi,Goniini,Tachinidae,Diptera
138,ncbi,Metallactus,Chrysomelidae,Coleoptera
139,ncbi,Nicentrus,Curculionidae,Coleoptera
18,ncbi,Hirmoneura,Nemestrinidae,Diptera
51,ncbi,Colopterus,Nitidulidae,Coleoptera
61,ncbi,Lobiopa,Nitidulidae,Coleoptera
13,ncbi,Cosmosatyrus,Nymphalidae,Lepidoptera
80,ncbi,Anthanassa,Nymphalidae,Lepidoptera
95,ncbi,Phystis,Nymphalidae,Lepidoptera
104,ncbi,Yphthimoides,Nymphalidae,Lepidoptera
26,ncbi,Nezara,Pentatomidae,Hemiptera
92,ncbi,Glutophrissa,Pieridae,Lepidoptera
99,ncbi,Pyrisitia,Pieridae,Lepidoptera
110,ncbi,Aratinga,Psittacidae,Psittaciformes
54,ncbi,Dysdercus,Pyrrhocoridae,Hemiptera
48,ncbi,Apodemia,Riodinidae,Lepidoptera
81,ncbi,Aricoris,Riodinidae,Lepidoptera
119,ncbi,Emesis,Riodinidae,Lepidoptera
53,ncbi,Dexosarcophaga,Sarcophagidae,Diptera
130,ncbi,Pseudodoros,Syrphidae,Diptera
118,ncbi,Myzinum,Thynnidae,Hymenoptera
87,ncbi,Chlorostilbon,Trochilidae,Apodiformes
112,ncbi,Eupetomena,Trochilidae,Apodiformes
113,ncbi,Hylocharis,Trochilidae,Apodiformes
38,ncbi,Zeta,Vespidae,Hymenoptera
40,ncbi,Ancistroceroides,Vespidae,Hymenoptera
120,ncbi,Chartergellus,Vespidae,Hymenoptera
122,ncbi,Synoeca,Vespidae,Hymenoptera
