,db,query,family,order,Genus,note
1671,ncbi,1608,Pyralidae,Lepidoptera,Penthesilea,
1672,ncbi,2157,Crabronidae,Hymenoptera,Trpocylon,Trypoxylon
1673,ncbi,250,Syrphidae,Diptera,Betasorrphus,Betasyrphus
1674,ncbi,746,Syrphidae,Diptera,Epistorophe,Epistrophe
1675,ncbi,1067,Cerambycidae,Coleoptera,Idiostrangaiia,Idiostrangalia
1677,ncbi,1607,Syrphidae,Diptera,Penthesiiea,Penthesilea
1679,ncbi,1995,Chrysomelidae,Coleoptera,Stenbluperus,Stenoluperus
1683,ncbi,785,Geometridae,Lepidoptera,Euctenurapteryx,Ourapteryx
1684,ncbi,873,Formicidae,Hymenoptera,Formicidae,
1686,ncbi,1112,Halictidae,Hymenoptera,Lasiogtossum,Lasioglossum
1687,ncbi,1601,Hesperiidae,Lepidoptera,Pelopides,
1690,ncbi,1982,Sphecidae,Hymenoptera,Sphecoid,
1691,ncbi,2101,Chrysomelidae,Coleoptera,Thlaspida,
1693,ncbi,52,Pieridae,Lepidoptera,Ahlber,
1695,ncbi,111,Chrysomelidae,Coleoptera,Angelasa,Agelasa
1698,ncbi,241,Pompilidae,Hymenoptera,Batozenellus,
1699,ncbi,428,Syrphidae,Diptera,Cheliosia,
1700,ncbi,504,Coreidae,Hemiptera,Colpura,
1706,ncbi,687,Sphecidae,Hymenoptera,Ectemnuis,
1707,ncbi,688,Sphecidae,Hymenoptera,Ectemunis,Ectemnuis
1710,ncbi,747,Syrphidae,Diptera,Epistoropheaino,
1711,ncbi,766,Syrphidae,Diptera,Eristatis,Eristalis
1712,ncbi,858,Pentatomidae,Hemiptera,Eyzarcoris,
1713,ncbi,893,Gelechiidae,Lepidoptera,GELECHIIDAE,
1715,ncbi,955,Saturniidae,Lepidoptera,Harima,
1720,ncbi,1069,Vespidae,Hymenoptera,Ilespinae,Vespinae
1722,ncbi,1093,Syrphidae,Diptera,Jmatisma,Imatisma
1723,ncbi,1095,Carabidae,Coleoptera,Jujiroa,
1724,ncbi,1104,Cerambycidae,Coleoptera,Languriomorpha,
1725,ncbi,1108,Halictidae,Hymenoptera,Lasio,Lasioglossum
1731,ncbi,1380,Syrphidae,Hymenoptera,Narumyia,
1735,ncbi,1514,Staphylinidae,Coleoptera,Oxyporus,
1737,ncbi,1572,Cerambycidae,Coleoptera,Parastrangatis,Parastrangalis
1742,ncbi,1881,Coccinellidae,Coleoptera,Rodolial,
1743,ncbi,1978,Syrphidae,Diptera,Sphaerophia,Sphaerophoria
1744,ncbi,2007,Chrysomelidae,Coleoptera,Stermophagus,Spermophagus
1745,ncbi,2078,Tenthredinidae,Hymenoptera,Tenthredinidae,
1747,ncbi,1368,Meloidae,Coleoptera,Myrabilis,Mylabris
1748,ncbi,555,Chrysomelidae,Coleoptera,Criptocephalus,Cryptocephalus
1749,ncbi,1691,Formicidae,Hymenoptera,Plagiolepsis,Plagiolepis
1750,ncbi,949,Halictidae,Hymenoptera,Halyctus,Halictus
1751,ncbi,2177,Nymphalidae,Lepidoptera,Vanesa,Vanessa
1753,ncbi,1119,Asilidae,Diptera,Lassiopogon,Lasiopogon
1754,ncbi,1548,Papilionidae,Lepidoptera,Papilion,Papilio
1761,ncbi,982,Nymphalidae,Lepidoptera,Henotesia,
1762,ncbi,1331,Miridae,Hemiptera,Miridae,
1764,ncbi,1493,Muscidae,Diptera,Orthellia,Neomyia
1768,ncbi,477,Cicadellidae,Hemiptera,Cicadellidae,
1771,ncbi,1596,Melyridae,Coleoptera,Pelecophora,
1772,ncbi,1821,Psyllidae,Hemiptera,Psyllidae,
1773,ncbi,1927,Scirtidae,Coleoptera,Scirtidae,
1774,ncbi,2069,Cicadellidae,Hemiptera,Tarundia,
1775,ncbi,2089,Tettigoniidae,Orthoptera,Tettigoniidae,
1778,ncbi,14,Cicadellidae,Hemiptera,Acopsis,
1780,ncbi,609,Melyridae,Coleoptera,Dasytinae,
1781,ncbi,1202,Lygaeidae,Coleoptera,Lygaeidae,
1782,ncbi,1,NA,Diptera,Acalyptrate,
1783,ncbi,429,Braconidae,Hymenoptera,Cheloninae,
1785,ncbi,1242,Cerambycidae,Coleoptera,Mauritiborium,
1787,ncbi,1829,Pterophoridae,Lepidoptera,Pterophoridae,
1789,ncbi,1125,Lecithoceridae,Lepidoptera,Lecithoceridae,
1790,ncbi,558,Ichneumonidae,Hymenoptera,Cryptinae,
1792,ncbi,1850,Erebidae,Lepidoptera,Remigia,Mocis
1793,ncbi,1913,Scatopsidae,Diptera,Scatopsidae,
1799,ncbi,309,Chalcidoidea,Hymenoptera,Calcidoidae,
1801,ncbi,804,Chrysomelidae,Coleoptera,Eumolpinae,
1802,ncbi,1161,Tipulidae,Diptera,Limoniidae,
1805,ncbi,1343,Mordellidae,Coleoptera,Mordellidae,
1806,ncbi,894,Gelechiidae,Lepidoptera,Gelechioidea,
1807,ncbi,1930,Crambidae,Lepidoptera,Scopariinae,
1811,ncbi,331,Ichneumonidae,Hymenoptera,Campopleginae,
1812,ncbi,382,Cerambycidae,Coleoptera,Cerambycidae,
1815,ncbi,1160,Tipulidae,Diptera,Limonia,
1819,ncbi,1414,Cicadellidae,Hemiptera,Nogodinidae,
1820,ncbi,1899,Nolidae,Lepidoptera,Sarrothripinae,
1822,ncbi,1551,Papilionidae,Lepidoptera,Papillio,
1823,ncbi,664,Dolichopodidae,Diptera,Dolichopodidae,
1825,ncbi,2024,Noctuidae,Lepidoptera,Strictopterinae,
1826,ncbi,2096,Tachinidae,Diptera,Thelairodrino,
1827,ncbi,1529,Colletidae,Hymenoptera,Paleorhiza,
1829,ncbi,480,Cicadellidae,Hemiptera,Cixiidae,
1830,ncbi,1531,Tachinidae,Diptera,Palexorista,
1831,ncbi,32,Braconidae,Hymenoptera,Agathidinae,
1832,ncbi,325,Pieridae,Lepidoptera,Calopsilia,Catopsilia
1834,ncbi,559,Chrysomelidae,Coleoptera,Cryptocephalinae,
1835,ncbi,1410,Nitidulidae,Coleoptera,Nitidulidae,
1837,ncbi,1863,Chrysomelidae,Coleoptera,Rhiparida,
1839,ncbi,1569,Sarcophagidae,Diptera,Parasarcophaga,
1841,ncbi,410,Megachilidae,Hymenoptera,Chalcidoma,Megachile
1844,ncbi,1693,Platystomatidae,Diptera,Plagiostenopterina,
1845,ncbi,1671,Ulidiidae,Diptera,Physiphoa,Physiphora
1852,ncbi,1384,Tabanidae,Diptera,Neavella,
1853,ncbi,1623,Perissommatidae,Diptera,Perissoma,
1855,ncbi,1506,Chloropidae,Diptera,Oscinis,Apallates
1860,ncbi,805,Tachinidae,Diptera,Eumyotheria,
1861,ncbi,811,Braconidae,Hymenoptera,Euphorus,
1863,ncbi,1212,Halictidae,Hymenoptera,Machaeris,
1864,ncbi,907,Nomadidae,Hymenoptera,Gnathias,
1866,ncbi,1310,Braconidae,Hymenoptera,Microbracon,
1868,ncbi,1652,Nomadidae,Hymenoptera,Phor,
1870,ncbi,2126,Andrenidae,Hymenoptera,Trachandrena,
1872,ncbi,1472,Andrenidae,Hymenoptera,Opandrena,
1873,ncbi,341,Philanthidae,Hymenoptera,Carceris,
1875,ncbi,1525,Tachinidae,Diptera,Pachyophthalmus,
1876,ncbi,445,Halictidae,Hymenoptera,Chloralictus,
1877,ncbi,1981,Halictidae,Hymenoptera,Sphecodium,
1878,ncbi,1559,Andrenidae,Hymenoptera,Parandrena,
1881,ncbi,707,Tiphiidae,Hymenoptera,Elis,
1884,ncbi,1889,Bombyliidae,Diptera,Saparnopolius,
1886,ncbi,2146,Phoridae,Diptera,Trineura,
1887,ncbi,633,Megachilidae,Hymenoptera,Diceratosmia,
1888,ncbi,1423,Crabronidae,Hymenoptera,Notoglossa,
1889,ncbi,780,Pentatomidae,Hemiptera,Euchistus,
1890,ncbi,1103,Ichneumonidae,Hymenoptera,Lampronota,
1891,ncbi,1443,Halictidae,Hymenoptera,Odontalictus,
