"","db","query","family","order","Genus"
"965","ncbi","552",NA,NA,"Cricket"
"966","ncbi","598",NA,NA,"Darwinysius"
"970","ncbi","1047",NA,NA,"Hypasclera"
"973","ncbi","1371",NA,NA,"Mythenteles"
"974","ncbi","1382",NA,NA,"Naucles"
"978","ncbi","1617",NA,NA,"Perepitragus"
"981","ncbi","226",NA,NA,"Avibrissina"
"982","ncbi","173",NA,NA,"Argirophenga"
"983","ncbi","1616",NA,NA,"Peremptor"
"984","ncbi","2181",NA,NA,"Veluta"
"985","ncbi","26",NA,NA,"Adoxia"
"986","ncbi","166",NA,NA,"Apsonia"
"987","ncbi","772",NA,NA,"Erythronychia"
"988","ncbi","990",NA,NA,"Heteria"
"989","ncbi","1433",NA,NA,"Occisor"
"990","ncbi","1683",NA,NA,"Pilinasica"
"991","ncbi","1751",NA,NA,"Procissio"
"992","ncbi","1756",NA,NA,"Proscissio"
"993","ncbi","2231",NA,NA,"Zealandotachina"
"995","ncbi","191",NA,NA,"Asilis"
"998","ncbi","797",NA,NA,"Eulalia"
"999","ncbi","919",NA,NA,"Gracilicera"
"1000","ncbi","1017",NA,NA,"Hoplocneme"
"1002","ncbi","1226",NA,NA,"Mallochomacquartia"
"1003","ncbi","1246",NA,NA,"Medinella"
"1004","ncbi","1402",NA,NA,"Neotachina"
"1006","ncbi","1768",NA,NA,"Protohystricia"
"1009","ncbi","165",NA,NA,"Appis"
"1010","ncbi","1026",NA,NA,"Hybopygia"
"1011","ncbi","1767",NA,NA,"Protohystirica"
"1012","ncbi","1929",NA,NA,"Scoparia"
"1013","ncbi","1487",NA,NA,"Orocrambus"
"1015","ncbi","1878",NA,NA,"Rictonis"
"1016","ncbi","180",NA,NA,"Arthracanthus"
"1017","ncbi","427",NA,NA,"Chelaner"
"1019","ncbi","786",NA,NA,"Eucymatoge"
"1021","ncbi","1009",NA,NA,"Homodotis"
"1023","ncbi","1580",NA,NA,"Pareromene"
"1024","ncbi","1645",NA,NA,"Philia"
"1028","ncbi","336",NA,NA,"Campylia"
"1029","ncbi","735",NA,NA,"Ephiphyrne"
"1030","ncbi","744",NA,NA,"Epiphryne"
"1031","ncbi","845",NA,NA,"Evibrissa"
"1033","ncbi","923",NA,NA,"Graphania"
"1036","ncbi","1351",NA,NA,"Musc"
"1038","ncbi","1480",NA,NA,"Oreocalus"
