"","PGenus","family"
"12243","Trema","Cannabaceae"
"12260","Alocasia","Araceae"
"12262","Bredia","Melastomataceae"
"12264","Melastoma","Melastomataceae"
"12265","Pollia","Commelinaceae"
"12271","PittosPorum","Pittosporaceae"
"12275","Euscaphis","Staphyleaceae"
"12276","Maesa","Primulaceae"
"12289","Ajuga","Lamiaceae"
"12293","Rhaphiolepis","Rosaceae"
"12299","VVedelia","Asteraceae"
"12307","Litsea","Lauraceae"
"12323","Piper","Piperaceae"
"12335","Machitus","Lauraceae"
"12343","Musa","Musaceae"
"12372","Alpinia","Zingiberaceae"
"12381","Farfugium","Asteraceae"
"12382","Aeginetia","Orobanchaceae"
"12398","Scleria","Cyperaceae"
"12428","Barringtonia","Lecythidaceae"
"12459","Mosla","Lamiaceae"
"12483","Securinega","Phyllanthaceae"
"12548","Blastus","Melastomataceae"
"12552","Rhynchotechum","Gesneriaceae"
"12576","Stauntonia","Lardizabalaceae"
"12580","Antidesma","Phyllanthaceae"
"12594","Salsola","Chenopodiaceae"
"12613","Pandanus","Pandanaceae"
"12616","Metothria","Cucurbitaceae"
"12632","Croomia","Stemonaceae"
"12830","Ormocaipum","Fabaceae"
"12870","Belamcanda","Iridaceae"
"12898","Myrsine","Primulaceae"
"12952","Pinus","Pinaceae"
"13001","Eurya","Pentaphylacaceae"
"13087","Lasianthus","Rubiaceae"
"13286","Viscaria","Caryophyllaceae"
"13355","Trfolium","Fabaceae"
"13371","Umbellifer","Apiaceae"
"13635","Empetrum","Ericaceae"
"13640","Scorzonea","Asteraceae"
"13682","Genista","Fabaceae"
"14050","Succisa","Caprifoliaceae"
"14078","Sorbus","Rosaceae"
"14087","Galeopsis","Lamiaceae"
"14747","Lythrum","Lythraceae"
"15307","Parolinea","Unresolved"
"15343","Noechamaelea","Rutaceae"
"15344","Periploca","Apocynaceae"
"15393","Schinus","Anacardiaceae"
"15402","Tristerix","Loranthaceae"
"15405","Aristotelia","Elaeocarpaceae"
"15423","Ribes","Grossulariaceae"
"15438","Cynanchum","Apocynaceae"
"15494","Gavilea","Orchidaceae"
"15594","Tofieldia","Tofieldiaceae"
"15649","Anaphalis","Asteraceae"
"15650","Benthamidia","Cornaceae"
"15652","Hemerocallis","Asphodelaceae"
"15654","Ligularia","Asteraceae"
"15659","Saussurea","Asteraceae"
"15668","Abelia","Caprifoliaceae"
"15670","Cimicifuga","Ranunculaceae"
"15675","Isodon","Lamiaceae"
"15686","Inula","Asteraceae"
"15687","Lilium","Liliaceae"
"15689","Hydrocotyle","Araliaceae"
"15690","Heteropappus","Asteraceae"
"15695","Moehringia","Caryophyllaceae"
"15715","Clethra","Clethraceae"
"15721","Lyonia","Ericaceae"
"15735","Pieris","Ericaceae"
"15740","Sophora","Fabaceae"
"15752","Swertia","Gentianaceae"
"15770","Pseudostellaria","Caryophyllaceae"
"15785","Chionographis","Melanthiaceae"
"15786","Dianthus","Caryophyllaceae"
"15801","Adenophora","Campanulaceae"
"15823","Quercus","Fagaceae"
"15866","Synurus","Asteraceae"
"15889","Paederia","Rubiaceae"
"15924","Lindera","Lauraceae"
"15938","Veratrum","Melanthiaceae"
"15969","Aletris","Nartheciaceae"
"15973","Cephalantera","Orchidaceae"
"16002","Codonopsis","Campanulaceae"
"16049","Schizophragma","Hydrangeaceae"
"16062","Dioscorea","Dioscoreaceae"
"16101","Sanguisorba","Rosaceae"
"16142","Luzula","Juncaceae"
"16145","Staphylea","Staphyleaceae"
"16157","Arisaema","Araceae"
"16238","Enkianthus","Ericaceae"
"16239","Malus","Rosaceae"
"16246","Cayratia","Vitaceae"
"16247","Elaeagnus","Elaeagnaceae"
"16257","Tilia","Malvaceae"
"16259","Pyracantha","Rosaceae"
"16262","Besella","Basellaceae"
"16264","Kerria","Rosaceae"
"16267","Philadelphus","Hydrangeaceae"
"16276","Citrus","Rutaceae"
"16280","Itea","Iteaceae"
"16281","Photinia","Rosaceae"
"16290","Syringa","Oleaceae"
"16292","Campsis","Bignoniaceae"
"16301","Spiranthes","Orchidaceae"
"16308","Cladrastis","Fabaceae"
"16317","Mahonia","Berberidaceae"
"16334","Stewartia","Theaceae"
"16345","Coreopsis","Asteraceae"
"16386","Liriope","Asparagaceae"
"16388","Nandina","Berberidaceae"
"16416","Veronicastrum","Plantaginaceae"
"16418","Edgeworthia","Thymelaeaceae"
"16426","Ulmus","Ulmaceae"
"16436","Camellia","Theaceae"
"16497","Rorippa","Brassicaceae"
"16522","Phytolacca","Phytolaccaceae"
"16560","Serissa","Rubiaceae"
"16570","Clerodendron","Lamiaceae"
"16597","Buddleia","Scrophulariaceae"
"16598","Cercis","Fabaceae"
"16604","Fraxinus","Oleaceae"
"16619","Wisteria","Fabaceae"
"16625","Idesia","Salicaceae"
"16723","Phlox","Polemoniaceae"
"16807","Fatsia","Araliaceae"
"16832","Forsythia","Oleaceae"
"17015","Chelidonium","Papaveraceae"
"17017","Hosta","Asparagaceae"
"17018","Houttuynia","Saururaceae"
"17019","Leesia","Poaceae"
"17020","Mosta","Unresolved"
"17021","Sagittaria","Alismataceae"
"17023","Isachne","Poaceae"
"17025","Murdannia","Commelinaceae"
"17028","Prenanthes","Asteraceae"
"17031","Eusteratis","Lamiaceae"
"17058","Lycopus","Lamiaceae"
"17059","Monochoria","Pontederiaceae"
"17068","Alisma","Alismataceae"
"17071","Limophila","Plantaginaceae"
"17079","Ptantago","Plantaginaceae"
"17082","Scirpus","Cyperaceae"
"17113","Oenanthe","Apiaceae"
"17146","Alium","Amaryllidaceae"
"17156","Lindernia","Linderniaceae"
"17199","Hydrocharis","Hydrocharitaceae"
"17236","Phragmites","Poaceae"
"17245","Nymphaea","Nymphaeaceae"
"17322","Typha","Typhaceae"
"17342","Lactuca","Asteraceae"
"17451","Libanotis","Apiaceae"
"17460","Serratula","Asteraceae"
"17483","Agrostis","Poaceae"
"17489","Poa","Poaceae"
"17497","Polemonium","Polemoniaceae"
"17522","Chamaenerion","Onagraceae"
"17586","Rodgersia","Saxifragaceae"
"17685","Meehania","Lamiaceae"
"17708","Menziesia","Ericaceae"
"17745","Picris","Asteraceae"
"17948","Gymnadenia","Orchidaceae"
"18314","Omphalodes","Boraginaceae"
"18338","Macleaya","Papaveraceae"
"18349","Glechoma","Lamiaceae"
"18359","Euptelea","Eupteleaceae"
"18377","Calamagrostis","Poaceae"
"18379","Carex","Cyperaceae"
"18384","Digitaria","Poaceae"
"18385","Duchesnea","Rosaceae"
"18390","Orixa","Rutaceae"
"18396","Stephanandra","Rosaceae"
"18411","Albizzia","Fabaceae"
"18412","Amphicarpaea","Fabaceae"
"18422","Dipsacus","Caprifoliaceae"
"18428","Leucosceptrum","Lamiaceae"
"18483","Osterium","Apiaceae"
"18531","Aralta","Araliaceae"
"18566","Eriobotrya","Rosaceae"
"18575","Achyranthes","Amaranthaceae"
"18761","Trigonotis","Boraginaceae"
"19016","Paeonia","Paeoniaceae"
"19474","Akebia","Lardizabalaceae"
"20233","Carpobrotus","Aizoaceae"
"20258","Urospermum","Asteraceae"
"20267","Aetheorrina","Unresolved"
"20275","Alyssum","Brassicaceae"
"20292","Equium","Boraginaceae"
"20329","Vicea","Fabaceae"
"20417","Dorychnium","Fabaceae"
"20552","Banisteriopsis","Malpighiaceae"
"20554","Diplopterys","Malpighiaceae"
"20555","Heteropterys","Malpighiaceae"
"20560","Carolus","Malpighiaceae"
"20561","Dicella","Malpighiaceae"
"20565","Janusia","Malpighiaceae"
"20623","Agauria","Ericaceae"
"20624","Antirhea","Rubiaceae"
"20625","Aphloia","Aphloiaceae"
"20626","Badula","Primulaceae"
"20627","Bakerella","Loranthaceae"
"20628","Bertiera","Rubiaceae"
"20629","Calophyllum","Calophyllaceae"
"20630","Casearia","Salicaceae"
"20631","Chassalia","Rubiaceae"
"20634","Cordemoya","Euphorbiaceae"
"20636","Diospyros","Ebenaceae"
"20638","Erythroxylum","Erythroxylaceae"
"20639","Eugenia","Myrtaceae"
"20642","Faujasiopsis","Asteraceae"
"20643","Flagellaria","Flagellariaceae"
"20644","Gaertnera","Rubiaceae"
"20653","Geniostoma","Loganiaceae"
"20654","Grangeria","Chrysobalanaceae"
"20656","Labourdonnaisia","Sapotaceae"
"20657","Memecylon","Melastomataceae"
"20658","Mimusops","Sapotaceae"
"20659","Molinaea","Sapindaceae"
"20660","Monimiastrum","Myrtaceae"
"20661","Myonima","Rubiaceae"
"20662","Ochna","Ochnaceae"
"20663","Olea","Oleaceae"
"20666","Pittosporum","Pittosporaceae"
"20667","Psiadia","Asteraceae"
"20669","Pyrostria","Rubiaceae"
"20670","Roussea","Rousseaceae"
"20672","Sideroxylon","Sapotaceae"
"20675","Stillingia","Euphorbiaceae"
"20676","Syzygium","Myrtaceae"
"20679","Trochetia","Malvaceae"
"20680","Turraea","Meliaceae"
"20681","Warneckea","Melastomataceae"
"20695","Dodonaea","Sapindaceae"
"20696","Doratoxylon","Sapindaceae"
"20698","Embelia","Primulaceae"
"20699","Erythrospermum","Achariaceae"
"20707","Homalanthus","Euphorbiaceae"
"20716","Pleurostylia","Celastraceae"
"20717","Polyscias","Araliaceae"
"20727","Toddalia","Rutaceae"
"20760","Claoxylon","Euphorbiaceae"
"20776","Ocotea","Lauraceae"
"20777","Phyllanthus","Phyllanthaceae"
"20824","Harungana","Hypericaceae"
"20844","Tristhema","Melastomataceae"
"20847","Xylopia","Annonaceae"
"21066","Psathura","Rubiaceae"
"21552","Tabernaemontana","Apocynaceae"
"21786","Wikstroemia","Thymelaeaceae"
"21882","Alstonia","Apocynaceae"
"21884","Canthium","Rubiaceae"
"21885","Chrysobalanus","Chrysobalanaceae"
"21887","Colea","Bignoniaceae"
"21888","Craterispermum","Rubiaceae"
"21889","Deckenia","Arecaceae"
"21890","Dillenia","Dilleniaceae"
"21895","Excoecaria","Euphorbiaceae"
"21897","Medusagyne","Ochnaceae"
"21900","Nepenthes","Nepenthaceae"
"21901","Nephrosperma","Arecaceae"
"21902","Northea","Sapotaceae"
"21904","Paragenipa","Rubiaceae"
"21905","Paraserianthes","Fabaceae"
"21906","Phoenicophorium","Arecaceae"
"21911","Roscheria","Arecaceae"
"21938","Timonius","Rubiaceae"
"21949","Campnosperma","Anacardiaceae"
"21958","Soulamea","Simaroubaceae"
"22331","Glionnetia","Rubiaceae"
"22525","Ixora","Rubiaceae"
"22612","Ambrosia","Asteraceae"
"22616","Blephilia","Lamiaceae"
"22617","Crataegus","Rosaceae"
"22620","Gaura","Onagraceae"
"22623","Ilysanthes","Linderniaceae"
"22630","Steironema","Primulaceae"
"22632","Stenanthium","Melanthiaceae"
"22634","Ammannia","Lythraceae"
"22635","Amorpha","Fabaceae"
"22637","Comandra","Comandraceae"
"22644","Orobanche","Orobanchaceae"
"22648","Anthemis","Asteraceae"
"22649","Apios","Fabaceae"
"22655","Boltonia","Asteraceae"
"22656","Cephalanthus","Rubiaceae"
"22662","Hypoxis","Hypoxidaceae"
"22672","Krigia","Asteraceae"
"22677","Leonurus","Lamiaceae"
"22678","Lepachys","Asteraceae"
"22680","Celastrus","Celastraceae"
"22686","Dianthera","Acanthaceae"
"22687","Dirca","Thymelaeaceae"
"22693","Zanthoxylum","Rutaceae"
"22698","Arctium","Asteraceae"
"22702","Baptisia","Fabaceae"
"22704","Brauneria","Asteraceae"
"22710","Datura","Solanaceae"
"22714","Erechthites","Asteraceae"
"22716","Gymnocladus","Fabaceae"
"22718","Heuchera","Saxifragaceae"
"22720","Lobelia","Campanulaceae"
"22722","Ludvigia","Onagraceae"
"22723","Panicum","Poaceae"
"22726","Thaspium","Apiaceae"
"22734","Pycnanthemum","Lamiaceae"
"22735","Radicula","Brassicaceae"
"22742","Robinia","Fabaceae"
"22747","Rudbeckia","Asteraceae"
"22748","Ruellia","Acanthaceae"
"22762","Specularia","Campanulaceae"
"22766","Strophostyles","Fabaceae"
"22768","Taenidia","Apiaceae"
"22773","Valerianella","Caprifoliaceae"
"22778","Amaranthus","Amaranthaceae"
"22785","Collinsia","Plantaginaceae"
"22814","Vitis","Vitaceae"
"22831","Eulophus","Eulophidae"
"22836","Gerardia","Orobanchaceae"
"22839","Hedeoma","Lamiaceae"
"22840","Helenium","Asteraceae"
"22841","Heliopsis","Asteraceae"
"22843","Houstonia","Rubiaceae"
"22849","Pastinaca","Apiaceae"
"22853","Pontederia","Pontederiaceae"
"22869","Hydrophyllum","Hydrophyllaceae"
"22882","Amelanchier","Rosaceae"
"22885","Actinomeris","Asteraceae"
"22888","Castilleja","Orobanchaceae"
"22889","Circaea","Onagraceae"
"22897","Amphicarpa","Fabaceae"
"22921","Evonymus","Celastraceae"
"22932","Martynia","Martyniaceae"
"22933","Nelumbo","Nelumbonaceae"
"22944","Zizia","Apiaceae"
"22949","Agastache","Lamiaceae"
"22955","Anethum","Apiaceae"
"22965","Castalia","Hyriidae"
"22967","Caulophyllum","Berberidaceae"
"22968","Ceanothus","Rhamnaceae"
"22976","Cicuta","Apiaceae"
"22992","Liatris","Asteraceae"
"22995","Liparis","Orchidaceae"
"23013","Gnaphalium","Asteraceae"
"23024","Polytaenia","Apiaceae"
"23025","Populus","Salicaceae"
"23027","Symphoricarpos","Caprifoliaceae"
"23028","Psedera","Vitaceae"
"23033","Tecoma","Bignoniaceae"
"23057","Zea","Poaceae"
"23063","Actea","Ranunculaceae"
"23092","Habenaria","Orchidaceae"
"23099","Melanthium","Melanthiaceae"
"23101","Mollugo","Molluginaceae"
"23114","Sebatia","Gentianaceae"
"23120","Triosteum","Caprifoliaceae"
"23131","Verbesina","Asteraceae"
"23166","Oxypolis","Apiaceae"
"23198","Sicyos","Cucurbitaceae"
"23203","Aristolochia","Aristolochiaceae"
"23219","Cuscuta","Convolvulaceae"
"23260","Echinocystis","Cucurbitaceae"
"23274","Sium","Apiaceae"
"23292","Anemonella","Ranunculaceae"
"23304","Ascerates","Apocynaceae"
"23368","Gleditsia","Fabaceae"
"23370","Gonolobus","Apocynaceae"
"23371","Gratiola","Plantaginaceae"
"23389","Phryma","Phrymaceae"
"23392","Physostegia","Lamiaceae"
"23453","Camassia","Asparagaceae"
"23487","Erigenia","Apiaceae"
"23508","Hybanthus","Violaceae"
"23540","Parthenium","Asteraceae"
"23548","Seymeria","Orobanchaceae"
"23552","Silphium","Asteraceae"
"23573","Tephrosia","Fabaceae"
"23631","Asiminia","Annonaceae"
"23982","Osmorrhiza","Apiaceae"
"24005","Samolus","Primulaceae"
"24055","Gillenia","Rosaceae"
"24096","Petalostemum","Fabaceae"
"24108","Pyrus","Rosaceae"
"24220","Sassafras","Lauraceae"
"24284","Myosurus","Ranunculaceae"
"24292","Ptelea","Rutaceae"
"24417","Saponaria","Caryophyllaceae"
"24478","Ellisia","Hydrophyllaceae"
"37866","Geissomeria","Acanthaceae"
"37869","Mendoncia","Acanthaceae"
"37870","Corymborkis","Orchidaceae"
"37871","Fridericia","Bignoniaceae"
"37900","Billbergia","Bromeliaceae"
"37902","Bomarea","Alstroemeriaceae"
"37903","Fuchsia","Onagraceae"
"37905","Manettia","Rubiaceae"
"37906","Nematanthus","Gesneriaceae"
"37909","Pitcaimia","Bromeliaceae"
"37910","Pyrostegia","Bignoniaceae"
"37914","Staurogyne","Acanthaceae"
"37915","Stromanthe","Marantaceae"
"37916","Tillandsia","Bromeliaceae"
"37931","Nidularium","Bromeliaceae"
"37934","Psittacanthus","Loranthaceae"
"37936","Quesnelia","Bromeliaceae"
"37940","Siphocampylus","Campanulaceae"
"37944","Velloziela","Orobanchaceae"
"37945","Vriesea","Bromeliaceae"
"38002","Barnadesia","Asteraceae"
"38003","Bejaria","Ericaceae"
"38006","Brachyotum","Melastomataceae"
"38009","Centropogon","Campanulaceae"
"38010","Desfontainea","Columelliaceae"
"38011","Diplostephium","Asteraceae"
"38012","Disterigma","Ericaceae"
"38014","Elleanthus","Orchidaceae"
"38016","Guzmania","Bromeliaceae"
"38018","Macleania","Ericaceae"
"38020","Puya","Bromeliaceae"
"38021","Racinaea","Bromeliaceae"
"38045","Espeletia","Asteraceae"
"38046","Gaiadendron","Loranthaceae"
"38051","Pernettya","Ericaceae"
"38085","Ipomea","Convolvulaceae"
"38088","Aegiphila","Lamiaceae"
"38109","Spirotheca","Malvaceae"
"38122","Hedychium","Zingiberaceae"
"38132","Ischnosiphon","Marantaceae"
"38133","Monotagma","Marantaceae"
"38134","Payparola","Violaceae"
"38135","Pslicourea","Rubiaceae"
"38137","Renealmia","Zingiberaceae"
"38138","Amasonia","Lamiaceae"
"38143","Alloplectus","Gesneriaceae"
"38145","Aphelandra","Acanthaceae"
"38147","Bromelia","Bromeliaceae"
"38148","Calathea","Marantaceae"
"38149","Columnea","Gesneriaceae"
"38150","Costus","Costaceae"
"38151","Drymonia","Gesneriaceae"
"38152","Ferdinandusa","Rubiaceae"
"38153","Gurania","Cucurbitaceae"
"38157","Isertia","Rubiaceae"
"38159","Markea","Solanaceae"
"38166","Pepinia","Bromeliaceae"
"38171","Retiniphyllum","Rubiaceae"
"38172","Ryania","Salicaceae"
"38173","Satyria","Ericaceae"
"38174","Symphonia","Clusiaceae"
"38175","Tabernamontana","Loganiaceae"
"38176","Tachia","Gentianaceae"
"38178","Zygia","Fabaceae"
"38180","Decagonocarpus","Rutaceae"
"38219","Echinodorus","Alismataceae"
"38220","Gomphrena","Amaranthaceae"
"38221","Agapanthus","Amaryllidaceae"
"38222","Anacardium","Anacardiaceae"
"38223","Laserpitium","Apiaceae"
"38224","Carum","Apiaceae"
"38225","Ligusticum","Apiaceae"
"38226","lomatium","Apiaceae"
"38227","pseudocymopterus","Apiaceae"
"38228","Pleurospermum","Apiaceae"
"38229","Lomatium","Apiaceae"
"38230","Bupleurum","Apiaceae"
"38231","Vincetoxicum","Apocynaceae"
"38232","Parsonsia","Apocynaceae"
"38233","Ceropegia","Apocynaceae"
"38234","Syagrus","Arecaceae"
"38235","Anthericum","Asparagaceae"
"38236","Cordyline","Asparagaceae"
"38237","Phormium","Asphodelaceae"
"38238","Buphthalmum","Asteraceae"
"38239","Adenostyles","Asteraceae"
"38240","Tussilago","Asteraceae"
"38241","Homogyne","Asteraceae"
"38242","Carlina","Asteraceae"
"38243","Leontopodium","Asteraceae"
"38244","heliomeris","Asteraceae"
"38245","heterotheca","Asteraceae"
"38246","taraxacum","Asteraceae"
"38247","senecio","Asteraceae"
"38248","erigeron","Asteraceae"
"38249","achillea","Asteraceae"
"38250","solidago","Asteraceae"
"38251","helianthella","Asteraceae"
"38252","Dubyaea","Asteraceae"
"38253","Ixeridium","Asteraceae"
"38254","Jurinea","Asteraceae"
"38255","Leucanthemopsis","Asteraceae"
"38256","Ozothamnus","Asteraceae"
"38257","Symphyotrichum","Asteraceae"
"38258","Melanthera","Asteraceae"
"38259","Artemisia","Asteraceae"
"38260","Blainvillea","Asteraceae"
"38261","Launaea","Asteraceae"
"38262","Schizogyne","Asteraceae"
"38263","Nauplius","Asteraceae"
"38264","mahonia","Berberidaceae"
"38265","Incarvillea","Bignoniaceae"
"38266","Tabebuia","Bignoniaceae"
"38267","Microula","Boraginaceae"
"38268","Onosma","Boraginaceae"
"38269","draba","Brassicaceae"
"38270","boechera","Brassicaceae"
"38271","Thlaspi","Brassicaceae"
"38272","Parolinia","Brassicaceae"
"38273","Jasminocereus","Cactaceae"
"38274","Phyteuma","Campanulaceae"
"38275","campanula","Campanulaceae"
"38276","Cyananthus","Campanulaceae"
"38277","Jasione","Campanulaceae"
"38278","Morina","Caprifoliaceae"
"38279","Leycesteria","Caprifoliaceae"
"38280","Gypsophila","Caryophyllaceae"
"38281","Maytenus","Celastraceae"
"38282","Jacquemontia","Convolvulaceae"
"38283","sedum","Crassulaceae"
"38284","Herpetospermum","Cucurbitaceae"
"38285","Gahnia","Cyperaceae"
"38286","Tiquilia","Ehretiaceae"
"38287","Jatropha","Euphorbiaceae"
"38288","Hippocrepis","Fabaceae"
"38289","vicia","Fabaceae"
"38290","lathyrus","Fabaceae"
"38291","Tibetia","Fabaceae"
"38292","Dalea","Fabaceae"
"38293","Pediomelum","Fabaceae"
"38294","Chaetocalyx","Fabaceae"
"38295","Senna","Fabaceae"
"38296","Peltogyne","Fabaceae"
"38297","Poeppigia","Fabaceae"
"38298","Sesbania","Fabaceae"
"38299","Galactia","Fabaceae"
"38300","Tamarindus","Fabaceae"
"38301","Frankenia","Frankeniaceae"
"38302","gentiana","Gentianaceae"
"38303","Halenia","Gentianaceae"
"38304","Argusia","Heliotropiaceae"
"38305","hydrophyllum","Hydrophyllaceae"
"38306","phacelia","Hydrophyllaceae"
"38307","Betonica","Lamiaceae"
"38308","Origanum","Lamiaceae"
"38309","Elsholtzia","Lamiaceae"
"38310","Dracocephalum","Lamiaceae"
"38311","erythronium","Liliaceae"
"38312","linum","Linaceae"
"38313","Sidastrum","Malvaceae"
"38314","Herissantia","Malvaceae"
"38315","Nymphoides","Menyanthaceae"
"38316","claytonia","Montiaceae"
"38317","Metrosideros","Myrtaceae"
"38318","Lathirus","Fabaceae"
"38319","Euphorbea","Euphorbiaceae"
"38320","Dorichnium","Fabaceae"
"38321","Helichrisum","Asteraceae"
"38322","Acinos","Lamiaceae"
"38323","Asteraceae","Asteraceae"
"38324","mertensia","Boraginaceae"
"38325","arenaria","Caryophyllaceae"
"38326","viola","Violaceae"
"38327","agoceris","Asteraceae"
"38328","Hemistepta","Asteraceae"
"38329","hiesp","Asteraceae"
"38330","hiebla","Asteraceae"
"38331","hiease","Asteraceae"
"38332","Conzya","Asteraceae"
"38333","Dipogon","Fabaceae"
"38334","Heterothe","Asteraceae"
"38335","Erythroxylon","Erythroxylaceae"
"38336","Hydrocleis","Alismataceae"
"38337","Rhaphiodon","Lamiaceae"
"38338","Chlorophora","Moraceae"
"38339","Cereus","Cactaceae"
"38340","Helitropium","Boraginaceae"
"38341",NA,NA
"38342","Desmanthus","Fabaceae"
"38343","Boerhaavia","Nyctaginaceae"
"38344","Lavendula","Lamiaceae"
"38345","Asphaltklee","Fabaceae"
"38346","Neochamaelea","Rutaceae"
"38347","Zilla","Brassicaceae"
"38348","Boerhavia","Nyctaginaceae"
"38349","Dactylorhiza","Orchidaceae"
"38350","Rhinanthus","Orobanchaceae"
"38351","Melampyrum","Orobanchaceae"
"38352","castilleja","Orobanchaceae"
"38353","Kickxia","Plantaginaceae"
"38354","ipomopsis","Polemoniaceae"
"38355","eriogonum","Polygonaceae"
"38356","Soldanella","Primulaceae"
"38357","Androsace","Primulaceae"
"38358","androsace","Primulaceae"
"38359","delphinium","Ranunculaceae"
"38360","Ziziphus","Rhamnaceae"
"38361","Scutia","Rhamnaceae"
"38362","potentilla","Rosaceae"
"38363","rosa","Rosaceae"
"38364","amelanchier","Rosaceae"
"38365","fragaria","Rosaceae"
"38366","Spenceria","Rosaceae"
"38367","galium","Rubiaceae"
"38368","Chiococca","Rubiaceae"
"38369","Rubia","Rubiaceae"
"38370","Santalum","Santalaceae"
"38371","Myoporum","Scrophulariaceae"
"38372","Lycium","Solanaceae"
"38373","Stellera","Thymelaeaceae"
"38374","Melicytus","Violaceae"
