,db,query,family,order,Genus,note
2235,ncbi,1750,Muscidae,Diptera,Proboscimyia,
2053,ncbi,1770,NA,Lepidoptera,Protoparee,
1984,ncbi,1779,Pompilidae,Hymenoptera,Psammochares,now Arachnospila
2041,ncbi,1787,Pompilidae,Hymenoptera,Pseudagenia,
2162,ncbi,1794,Crabronidae,Hymenoptera,Pseudocrabro,now Ectemnius
1956,ncbi,1810,Tenthredinidae,Hymenoptera,Pseudosiobla,
2236,ncbi,1813,Eucoilidae,Hymenoptera,Psilodora,
2087,ncbi,1822,Conopidae,Diptera,Physocephala,listed as Psysocephala
1934,ncbi,1824,Andrenidae,Hymenoptera,Pterandrena,now Andrena
2163,ncbi,1825,Vespidae,Hymenoptera,Pterochilus,now Leptochilus
1976,ncbi,1830,Andrenidae,Hymenoptera,Ptilandrena,subgenus of Andrena
2014,ncbi,1880,Conopidae,Diptera,Robertsonomyia,
2238,ncbi,1898,Megachilidae,Hymenoptera,Sarogaster,
1953,ncbi,1903,Megachilidae,Hymenoptera,Sayapis,subgenus  
2022,ncbi,1917,Tabanidae,Diptera,Scepsis,
2126,ncbi,1932,Tachinidae,Diptera,Scotiptera,
2240,ncbi,1940,NA,NA,Seoptera,
2089,ncbi,1944,Elateridae,Coleoptera,Selatosomus,listed as Seracosomus
2166,ncbi,1951,Coccinellidae,Coleoptera,Seymnus,
2241,ncbi,1954,NA,NA,Silaon,
2090,ncbi,1961,Tachinidae,Diptera,Siphoplagia,now Plagiomima
1935,ncbi,1966,Chalcididae,Hymenoptera,Smicra,
2091,ncbi,1970,Pompilidae,Hymenoptera,Sophropompilus,
2144,ncbi,1993,Megachilidae,Hymenoptera,Stelidium,now Stelis
1985,ncbi,2010,Crabronidae,Hymenoptera,Stictiella,
2127,ncbi,2022,Calliphoridae,Diptera,Stratiomyia,now Lucilia
2092,ncbi,2049,NA,NA,Systogaster,
2030,ncbi,2075,Lampyridae,Coleoptera,Telephorus,
2128,ncbi,2090,Syrphidae,Diptera,Teuchocnemis,
1993,ncbi,2099,Tabanidae,Diptera,Therioplectes,
2093,ncbi,2102,Bombyliidae,Diptera,Thlipsogaster,now Bombylius
2068,ncbi,2135,NA,Hemiptera,Trichophora,
2060,ncbi,2150,Figitidae,Hymenoptera,Trirhoptrasema,Kleidotoma
2145,ncbi,2169,Lycaenidae,Lepidoptera,Uranotes,
2193,ncbi,2182,Andrenidae,Hymenoptera,Verbenapis,subgenus  
2247,ncbi,2198,Pieridae,Lepidoptera,Xanthidia,now Eurema
1966,ncbi,2203,Megachilidae,Hymenoptera,Xanthomelana,Osmia
2146,ncbi,2205,Megachilidae,Hymenoptera,Xanthosarus,subgenus  
1923,ncbi,2207,Apidae,Hymenoptera,Xenoglossa,
2015,ncbi,2208,Anthophoridae,Hymenoptera,Xenoglossodes,
2003,ncbi,2213,Crabronidae,Hymenoptera,Xestocrabro,now Ectemnius
2194,ncbi,2216,Figitidae,Hymenoptera,Xyalosema,
2109,ncbi,2226,Apidae,Hymenoptera,Zaodontomerus,subgenus of Ceratina
2110,ncbi,2227,Andrenidae,Hymenoptera,Zaperdita,
1994,ncbi,2232,Eumenidae,Hymenoptera,Zendalia,
