"","family","X","PGenus","order"
"139","Araliaceae",12191,"Schefflera","Apiales"
"140","Arecaceae",38234,"Syagrus","Arecales"
"141","Arecaceae",21911,"Roscheria","Arecales"
"142","Arecaceae",21889,"Deckenia","Arecales"
"143","Arecaceae",6332,"Chamaerops","Arecales"
"144","Arecaceae",21901,"Nephrosperma","Arecales"
"145","Arecaceae",21906,"Phoenicophorium","Arecales"
"146","Argophyllaceae",9639,"Corokia","Asterales"
"147","Aristolochiaceae",23203,"Aristolochia","Piperales"
"148","Asparagaceae",642,"Maianthemum","Asparagales"
"149","Asparagaceae",17017,"Hosta","Asparagales"
"150","Asparagaceae",10688,"Smilacina","Asparagales"
"151","Asparagaceae",2776,"Dracaena","Asparagales"
"152","Asparagaceae",38235,"Anthericum","Asparagales"
"153","Asparagaceae",7790,"Polygonatum","Asparagales"
"154","Asparagaceae",16386,"Liriope","Asparagales"
"155","Asparagaceae",23453,"Camassia","Asparagales"
"156","Asparagaceae",38236,"Cordyline","Asparagales"
"157","Asparagaceae",3265,"Asparagus","Asparagales"
"158","Asphodelaceae",38237,"Phormium","Asparagales"
"159","Asphodelaceae",15652,"Hemerocallis","Asparagales"
"160","Asphodelaceae",3302,"Asphodelus","Asparagales"
"161","Asteraceae",15690,"Heteropappus","Asterales"
"162","Asteraceae",953,"Taraxacum","Asterales"
"163","Asteraceae",2816,"Ageretina","Asterales"
"164","Asteraceae",38250,"solidago","Asterales"
"165","Asteraceae",16,"Haplopappus","Asterales"
"166","Asteraceae",19,"Leuceria","Asterales"
"167","Asteraceae",15866,"Synurus","Asterales"
"168","Asteraceae",1749,"Centaurea","Asterales"
"169","Asteraceae",9417,"Ageratum","Asterales"
"170","Asteraceae",23540,"Parthenium","Asterales"
"171","Asteraceae",22747,"Rudbeckia","Asterales"
"172","Asteraceae",3243,"Chamomilla","Asterales"
"173","Asteraceae",20258,"Urospermum","Asterales"
"174","Asteraceae",38261,"Launaea","Asterales"
"175","Asteraceae",15686,"Inula","Asterales"
"176","Asteraceae",7372,"Olearia","Asterales"
"177","Asteraceae",9420,"Jaegeria","Asterales"
"178","Asteraceae",38330,"hiebla","Asterales"
"179","Asteraceae",7773,"Ainsliaea","Asterales"
"180","Asteraceae",13640,"Scorzonea","Asterales"
"181","Asteraceae",20642,"Faujasiopsis","Asterales"
"182","Asteraceae",20667,"Psiadia","Asterales"
"183","Asteraceae",1729,"Leucanthemum","Asterales"
"184","Asteraceae",38328,"Hemistepta","Asterales"
"185","Asteraceae",69,"Nardophyllum","Asterales"
"186","Asteraceae",815,"Carduus","Asterales"
"187","Asteraceae",3501,"Crupina","Asterales"
"188","Asteraceae",38247,"senecio","Asterales"
"189","Asteraceae",6889,"Tripleurospermum","Asterales"
"190","Asteraceae",12381,"Farfugium","Asterales"
"191","Asteraceae",7755,"Adenocaulon","Asterales"
"192","Asteraceae",6590,"Eupatorium","Asterales"
"193","Asteraceae",9008,"Hysterionica","Asterales"
"194","Asteraceae",7277,"Microseris","Asterales"
"195","Asteraceae",3312,"Chondrilla","Asterales"
"196","Asteraceae",3259,"Scorzonera","Asterales"
"197","Asteraceae",38255,"Leucanthemopsis","Asterales"
"198","Asteraceae",2103,"Antennaria","Asterales"
"199","Asteraceae",9014,"Thelesperma","Asterales"
"200","Asteraceae",9333,"Darwiniothamnus","Asterales"
"201","Asteraceae",3985,"Pallenis","Asterales"
"202","Asteraceae",23013,"Gnaphalium","Asterales"
"203","Asteraceae",7799,"Cacalia","Asterales"
"204","Asteraceae",38246,"taraxacum","Asterales"
"205","Asteraceae",38329,"hiesp","Asterales"
"206","Asteraceae",38248,"erigeron","Asterales"
"207","Asteraceae",18,"Hypochoeris","Asterales"
"208","Asteraceae",38327,"agoceris","Asterales"
"209","Asteraceae",38256,"Ozothamnus","Asterales"
"210","Asteraceae",38253,"Ixeridium","Asterales"
"211","Asteraceae",369,"Mutisia","Asterales"
"212","Asteraceae",817,"Chrysopsis","Asterales"
"213","Asteraceae",3306,"Calendula","Asterales"
"214","Asteraceae",17460,"Serratula","Asterales"
"215","Asteraceae",7295,"Leptorhynchos","Asterales"
"216","Asteraceae",12299,"VVedelia","Asterales"
"217","Asteraceae",38260,"Blainvillea","Asterales"
"218","Asteraceae",1329,"Achillea","Asterales"
"219","Asteraceae",10016,"Hypochaeris","Asterales"
"220","Asteraceae",23552,"Silphium","Asterales"
"221","Asteraceae",2874,"Sonchus","Asterales"
"222","Asteraceae",8168,"Petasites","Asterales"
"223","Asteraceae",38239,"Adenostyles","Asterales"
"224","Asteraceae",3276,"Helichrysum","Asterales"
"225","Asteraceae",38002,"Barnadesia","Asterales"
"226","Asteraceae",100,"Madia","Asterales"
"227","Asteraceae",3399,"Bellis","Asterales"
"228","Asteraceae",841,"Rydbergia","Asterales"
"229","Asteraceae",15659,"Saussurea","Asterales"
"230","Asteraceae",844,"Solidago","Asterales"
"231","Asteraceae",9001,"Grindelia","Asterales"
"232","Asteraceae",3324,"Echinops","Asterales"
"233","Asteraceae",3244,"Chrysanthemum","Asterales"
"234","Asteraceae",1965,"Argyranthemum","Asterales"
"235","Asteraceae",38249,"achillea","Asterales"
"236","Asteraceae",16345,"Coreopsis","Asterales"
"237","Asteraceae",22612,"Ambrosia","Asterales"
"238","Asteraceae",7754,"Ixeris","Asterales"
"239","Asteraceae",22672,"Krigia","Asterales"
"240","Asteraceae",22992,"Liatris","Asterales"
"241","Asteraceae",3255,"Phagnalon","Asterales"
"242","Asteraceae",11149,"Spilanthes","Asterales"
"243","Asteraceae",13,"Chuquiraga","Asterales"
"244","Asteraceae",38244,"heliomeris","Asterales"
"245","Asteraceae",7346,"Helipterum","Asterales"
"246","Asteraceae",3366,"Reichardia","Asterales"
"247","Asteraceae",38263,"Nauplius","Asterales"
"248","Asteraceae",38262,"Schizogyne","Asterales"
"249","Asteraceae",38251,"helianthella","Asterales"
"250","Asteraceae",38254,"Jurinea","Asterales"
"251","Asteraceae",38321,"Helichrisum","Asterales"
"252","Asteraceae",38334,"Heterothe","Asterales"
"253","Asteraceae",9510,"Cassinia","Asterales"
"254","Asteraceae",2838,"Leontodon","Asterales"
"255","Asteraceae",7879,"Siegesbeckia","Asterales"
"256","Asteraceae",9368,"Scalesia","Asterales"
"257","Asteraceae",443,"Werneria","Asterales"
"258","Asteraceae",28,"Senecio","Asterales"
"259","Asteraceae",10021,"Cotula","Asterales"
"260","Asteraceae",22840,"Helenium","Asterales"
"261","Asteraceae",22841,"Heliopsis","Asterales"
"262","Asteraceae",3581,"Scolymus","Asterales"
"263","Asteraceae",1451,"Oreochrysum","Asterales"
"264","Asteraceae",7838,"Stenactis","Asterales"
"265","Asteraceae",8312,"Carpesium","Asterales"
"266","Asteraceae",38242,"Carlina","Asterales"
"267","Asteraceae",15654,"Ligularia","Asterales"
"268","Asteraceae",2310,"Arnica","Asterales"
"269","Asteraceae",3692,"Tragopogon","Asterales"
"270","Asteraceae",38245,"heterotheca","Asterales"
"271","Asteraceae",11,"Chaetanthera","Asterales"
"272","Asteraceae",811,"Aster","Asterales"
"273","Asteraceae",38259,"Artemisia","Asterales"
"274","Asteraceae",38011,"Diplostephium","Asterales"
"275","Asteraceae",1964,"Tolpis","Asterales"
"276","Asteraceae",1785,"Cirsium","Asterales"
"277","Asteraceae",9015,"Baccharis","Asterales"
"278","Asteraceae",2818,"Andryala","Asterales"
"279","Asteraceae",3271,"Dittrichia","Asterales"
"280","Asteraceae",38323,"Asteraceae","Asterales"
"281","Asteraceae",9488,"Encelia","Asterales"
"282","Asteraceae",38241,"Homogyne","Asterales"
"283","Asteraceae",9312,"Bidens","Asterales"
"284","Asteraceae",10473,"Vernonia","Asterales"
"285","Asteraceae",10005,"Hieracium","Asterales"
"286","Asteraceae",9347,"Macraea","Asterales"
"287","Asteraceae",23131,"Verbesina","Asterales"
"288","Asteraceae",10479,"Calea","Asterales"
"289","Asteraceae",7830,"Kalimeris","Asterales"
"290","Asteraceae",2819,"Galactites","Asterales"
"291","Asteraceae",38045,"Espeletia","Asterales"
"292","Asteraceae",17028,"Prenanthes","Asterales"
"293","Asteraceae",47,"Perezia","Asterales"
"294","Asteraceae",9762,"Brachyome","Asterales"
"295","Asteraceae",22885,"Actinomeris","Asterales"
"296","Asteraceae",12168,"Youngia","Asterales"
"297","Asteraceae",38243,"Leontopodium","Asterales"
"298","Asteraceae",10571,"Mikania","Asterales"
"299","Asteraceae",6655,"Crepis","Asterales"
"300","Asteraceae",38238,"Buphthalmum","Asterales"
"301","Asteraceae",169,"Nassauvia","Asterales"
"302","Asteraceae",507,"Erigeron","Asterales"
"303","Asteraceae",10042,"Leucogenes","Asterales"
"304","Asteraceae",7270,"Craspedia","Asterales"
"305","Asteraceae",22,"Mustisia","Asterales"
"306","Asteraceae",17342,"Lactuca","Asterales"
"307","Asteraceae",10510,"Chromolanea","Asterales"
"308","Asteraceae",22678,"Lepachys","Asterales"
"309","Asteraceae",38240,"Tussilago","Asterales"
"310","Asteraceae",38257,"Symphyotrichum","Asterales"
"311","Asteraceae",38258,"Melanthera","Asterales"
"312","Asteraceae",2817,"Anacyclus","Asterales"
"313","Asteraceae",9645,"Raoulia","Asterales"
"314","Asteraceae",22704,"Brauneria","Asterales"
"315","Asteraceae",22655,"Boltonia","Asterales"
"316","Asteraceae",7288,"Celmisia","Asterales"
"317","Asteraceae",889,"Helianthus","Asterales"
"318","Asteraceae",11744,"Wedelia","Asterales"
"319","Asteraceae",38331,"hiease","Asterales"
"320","Asteraceae",15649,"Anaphalis","Asterales"
"321","Asteraceae",22714,"Erechthites","Asterales"
"322","Asteraceae",11888,"Pectis","Asterales"
"323","Asteraceae",7286,"Brachycome","Asterales"
"324","Asteraceae",22698,"Arctium","Asterales"
"325","Asteraceae",17745,"Picris","Asterales"
"326","Asteraceae",6963,"Lapsana","Asterales"
"327","Asteraceae",12160,"Crepidiastrum","Asterales"
"328","Asteraceae",22648,"Anthemis","Asterales"
"329","Asteraceae",38252,"Dubyaea","Asterales"
"330","Asteraceae",38332,"Conzya","Asterales"
"331","Asteraceae",6917,"Tanacetum","Asterales"
"332","Balsaminaceae",7784,"Impatiens","Ericales"
"333","Basellaceae",16262,"Besella","Caryophyllales"
"334","Berberidaceae",8046,"Epimedium","Ranunculales"
"335","Berberidaceae",9208,"Podophyllum","Ranunculales"
"336","Berberidaceae",38264,"mahonia","Ranunculales"
"337","Berberidaceae",16317,"Mahonia","Ranunculales"
"338","Berberidaceae",22967,"Caulophyllum","Ranunculales"
"339","Berberidaceae",16388,"Nandina","Ranunculales"
"340","Berberidaceae",6,"Berberis","Ranunculales"
"341","Bignoniaceae",16292,"Campsis","Lamiales"
"342","Bignoniaceae",38265,"Incarvillea","Lamiales"
"343","Bignoniaceae",10462,"Digomphia","Lamiales"
"344","Bignoniaceae",38266,"Tabebuia","Lamiales"
"345","Bignoniaceae",37871,"Fridericia","Lamiales"
"346","Bignoniaceae",23033,"Tecoma","Lamiales"
"347","Bignoniaceae",37910,"Pyrostegia","Lamiales"
"348","Bignoniaceae",21887,"Colea","Lamiales"
"349","Bonnetiaceae",10459,"Bonnetia","Malpighiales"
"350","Boraginaceae",18314,"Omphalodes","Boraginales"
"351","Boraginaceae",1266,"Lappula","Boraginales"
"352","Boraginaceae",2774,"Tourneortia","Boraginales"
"353","Boraginaceae",38324,"mertensia","Boraginales"
"354","Boraginaceae",20292,"Equium","Boraginales"
"355","Boraginaceae",829,"Mertensia","Boraginales"
"356","Boraginaceae",1960,"Echium","Boraginales"
"357","Boraginaceae",3293,"Alkanna","Boraginales"
"358","Boraginaceae",18761,"Trigonotis","Boraginales"
"359","Boraginaceae",38340,"Helitropium","Boraginales"
"360","Boraginaceae",109,"Cynoglossum","Boraginales"
"361","Boraginaceae",6896,"Myosotis","Boraginales"
"362","Boraginaceae",3296,"Anchusa","Boraginales"
"363","Boraginaceae",38267,"Microula","Boraginales"
"364","Boraginaceae",38268,"Onosma","Boraginales"
"365","Boraginaceae",1119,"Lithospermum","Boraginales"
"366","Brassicaceae",9010,"Rapistrum","Brassicales"
"367","Brassicaceae",64,"Cardamine","Brassicales"
"368","Brassicaceae",2076,"Arabis","Brassicales"
"369","Brassicaceae",2392,"Lesquerella","Brassicales"
"370","Brassicaceae",20275,"Alyssum","Brassicales"
"371","Brassicaceae",8947,"Menonvillea","Brassicales"
"372","Brassicaceae",10617,"Dentaria","Brassicales"
"373","Brassicaceae",3138,"Braya","Brassicales"
"374","Brassicaceae",3329,"Eruca","Brassicales"
"375","Brassicaceae",38271,"Thlaspi","Brassicales"
"376","Brassicaceae",3261,"Sisymbrium","Brassicales"
"377","Brassicaceae",457,"Stenodraba","Brassicales"
"378","Brassicaceae",854,"Erysimum","Brassicales"
"379","Brassicaceae",16497,"Rorippa","Brassicales"
"380","Brassicaceae",1130,"Physaria","Brassicales"
"381","Brassicaceae",3442,"Capsella","Brassicales"
"382","Brassicaceae",22735,"Radicula","Brassicales"
"383","Brassicaceae",38272,"Parolinia","Brassicales"
"384","Brassicaceae",904,"Stanleya","Brassicales"
"385","Brassicaceae",2356,"Cochlearia","Brassicales"
"386","Brassicaceae",9313,"Brassica","Brassicales"
"387","Brassicaceae",6205,"Smilax","Brassicales"
"388","Brassicaceae",3308,"Cardaria","Brassicales"
"389","Brassicaceae",2839,"Raphanus","Brassicales"
"390","Brassicaceae",263,"Lepidium","Brassicales"
"391","Brassicaceae",3252,"Hirschfeldia","Brassicales"
"392","Brassicaceae",3349,"Malcolmia","Brassicales"
"393","Brassicaceae",38347,"Zilla","Brassicales"
"394","Brassicaceae",561,"Draba","Brassicales"
"395","Brassicaceae",3305,"Biscutella","Brassicales"
"396","Brassicaceae",38269,"draba","Brassicales"
"397","Brassicaceae",38270,"boechera","Brassicales"
"398","Bromeliaceae",10476,"Brocchinia","Poales"
"399","Bromeliaceae",38016,"Guzmania","Poales"
"400","Bromeliaceae",38020,"Puya","Poales"
"401","Bromeliaceae",37916,"Tillandsia","Poales"
"402","Bromeliaceae",11651,"Aechmea","Poales"
"403","Bromeliaceae",38147,"Bromelia","Poales"
"404","Bromeliaceae",37945,"Vriesea","Poales"
"405","Bromeliaceae",37900,"Billbergia","Poales"
"406","Bromeliaceae",38021,"Racinaea","Poales"
"407","Bromeliaceae",37909,"Pitcaimia","Poales"
"408","Bromeliaceae",37936,"Quesnelia","Poales"
"409","Bromeliaceae",38166,"Pepinia","Poales"
"410","Bromeliaceae",37931,"Nidularium","Poales"
"411","Burseraceae",9314,"Bursera","Sapindales"
"412","Cactaceae",38339,"Cereus","Caryophyllales"
"413","Cactaceae",38273,"Jasminocereus","Caryophyllales"
"414","Cactaceae",336,"Trichocereus","Caryophyllales"
"415","Cactaceae",9027,"Opuntia","Caryophyllales"
"416","Cactaceae",11884,"Jasminoserius","Caryophyllales"
"417","Cactaceae",9028,"Pyrrhocactus","Caryophyllales"
"418","Calceolariaceae",38,"Calceolaria","Lamiales"
"419","Calophyllaceae",20629,"Calophyllum","Malpighiales"
"420","Campanulaceae",38277,"Jasione","Asterales"
"421","Campanulaceae",11311,"Azorina","Asterales"
"422","Campanulaceae",38009,"Centropogon","Asterales"
"423","Campanulaceae",22720,"Lobelia","Asterales"
"424","Campanulaceae",38274,"Phyteuma","Asterales"
"425","Campanulaceae",38276,"Cyananthus","Asterales"
"426","Campanulaceae",814,"Campanula","Asterales"
"427","Campanulaceae",16002,"Codonopsis","Asterales"
"428","Campanulaceae",9523,"Pratia","Asterales"
"429","Campanulaceae",9658,"Isotoma","Asterales"
"430","Campanulaceae",38275,"campanula","Asterales"
"431","Campanulaceae",15801,"Adenophora","Asterales"
"432","Campanulaceae",7283,"Wahlenbergia","Asterales"
"433","Campanulaceae",22762,"Specularia","Asterales"
"434","Campanulaceae",37940,"Siphocampylus","Asterales"
"435","Cannabaceae",12243,"Trema","Rosales"
"436","Cannaceae",9316,"Canna","Zingiberales"
"437","Capparaceae",3307,"Capparis","Brassicales"
"438","Caprifoliaceae",34,"Valeriana","Dipsacales"
"439","Caprifoliaceae",1963,"Pterocephalus","Dipsacales"
"440","Caprifoliaceae",7731,"Weigela","Dipsacales"
"441","Caprifoliaceae",8076,"Patrinia","Dipsacales"
"442","Caprifoliaceae",38279,"Leycesteria","Dipsacales"
"443","Caprifoliaceae",38278,"Morina","Dipsacales"
"444","Caprifoliaceae",641,"Linnaea","Dipsacales"
"445","Caprifoliaceae",6210,"Lonicera","Dipsacales"
"446","Caprifoliaceae",15668,"Abelia","Dipsacales"
"447","Caprifoliaceae",22773,"Valerianella","Dipsacales"
"448","Caprifoliaceae",3256,"Scabiosa","Dipsacales"
"449","Caprifoliaceae",23027,"Symphoricarpos","Dipsacales"
"450","Caprifoliaceae",6591,"Knautia","Dipsacales"
"451","Caprifoliaceae",23120,"Triosteum","Dipsacales"
"452","Caprifoliaceae",18422,"Dipsacus","Dipsacales"
"453","Caprifoliaceae",14050,"Succisa","Dipsacales"
"454","Caprifoliaceae",3389,"Tremastelma","Dipsacales"
"455","Caricaceae",9439,"Carica","Brassicales"
"456","Caryophyllaceae",15770,"Pseudostellaria","Caryophyllales"
"457","Caryophyllaceae",13286,"Viscaria","Caryophyllales"
"458","Caryophyllaceae",15786,"Dianthus","Caryophyllales"
"459","Caryophyllaceae",2315,"Melandrium","Caryophyllales"
"460","Caryophyllaceae",2368,"Stellaria","Caryophyllales"
"461","Caryophyllaceae",15695,"Moehringia","Caryophyllales"
"462","Caryophyllaceae",24417,"Saponaria","Caryophyllales"
"463","Caryophyllaceae",3359,"Petrorhagia","Caryophyllales"
"464","Caryophyllaceae",1775,"Lychnis","Caryophyllales"
"465","Caryophyllaceae",38280,"Gypsophila","Caryophyllales"
"466","Caryophyllaceae",38325,"arenaria","Caryophyllales"
"467","Caryophyllaceae",10,"Cerastium","Caryophyllales"
"468","Caryophyllaceae",2308,"Arenaria","Caryophyllales"
"469","Caryophyllaceae",1484,"Silene","Caryophyllales"
"470","Celastraceae",2080,"Parnassia","Celastrales"
"471","Celastraceae",7377,"Stackhousia","Celastrales"
"472","Celastraceae",20716,"Pleurostylia","Celastrales"
"473","Celastraceae",22921,"Evonymus","Celastrales"
"474","Celastraceae",22680,"Celastrus","Celastrales"
"475","Celastraceae",38281,"Maytenus","Celastrales"
"476","Celastraceae",7734,"Euonymus","Celastrales"
"477","Chenopodiaceae",12594,"Salsola","Caryophyllales"
"478","Chloropidae",1528,"Pachylophus","Diptera"
"479","Chrysobalanaceae",21885,"Chrysobalanus","Malpighiales"
"480","Chrysobalanaceae",20654,"Grangeria","Malpighiales"
"481","Cistaceae",6180,"Halimium","Malvales"
"482","Cistaceae",6294,"Helianthemum","Malvales"
"483","Cistaceae",2863,"Cistus","Malvales"
"484","Cistaceae",3250,"Fumana","Malvales"
"485","Cleomaceae",818,"Cleome","Brassicales"
"486","Clethraceae",15715,"Clethra","Ericales"
"487","Clusiaceae",38174,"Symphonia","Malpighiales"
"488","Clusiaceae",10460,"Clusia","Malpighiales"
"489","Colchicaceae",7780,"Disporum","Liliales"
"490","Colchicaceae",9193,"Uvularia","Liliales"
"491","Columelliaceae",38010,"Desfontainea","Bruniales"
"492","Comandraceae",22637,"Comandra","Santalales"
"493","Combretaceae",11172,"Conocarpus","Myrtales"
"494","Commelinaceae",17025,"Murdannia","Commelinales"
"495","Commelinaceae",7804,"Commelina","Commelinales"
"496","Commelinaceae",12265,"Pollia","Commelinales"
"497","Commelinaceae",955,"Tradescantia","Commelinales"
"498","Convolvulaceae",38085,"Ipomea","Solanales"
"499","Convolvulaceae",10484,"Meriana","Solanales"
"500","Convolvulaceae",11153,"Merremia","Solanales"
"501","Convolvulaceae",6890,"Calystegia","Solanales"
"502","Convolvulaceae",38282,"Jacquemontia","Solanales"
"503","Convolvulaceae",3266,"Convolvulus","Solanales"
"504","Convolvulaceae",11143,"Evolvulus","Solanales"
"505","Convolvulaceae",23219,"Cuscuta","Solanales"
"506","Convolvulaceae",2766,"Ipomoea","Solanales"
"507","Cordiaceae",9327,"Cordia","Boraginales"
"508","Cornaceae",15650,"Benthamidia","Cornales"
