,db,query,order,family,Genus,note
1440,ncbi,454,Lepidoptera,Noctuidae,Chloropis,
1302,ncbi,460,Lepidoptera,Arctiidae,Chrisaeglia,
1128,ncbi,482,Coleoptera,Chrysomelidae,Clamirius,
1436,ncbi,546,NA,NA,Craspedochoeata,
1092,ncbi,579,Diptera,Tachinidae,Cylindromia,
1219,ncbi,585,Coleoptera,Curculionidae,Cyphicerus,
1120,ncbi,602,Coleoptera,Curculionidae,Dasydema,
1048,ncbi,610,Lepidoptera,Geometridae,Dasyuris,
1305,ncbi,618,Coleoptera,Chrysomelidae,Demotina,
1508,ncbi,639,Diptera,Syrphidae,Dideaides,Dideoides
1141,ncbi,640,Hymenoptera,Scoliidae,Dielis,
1167,ncbi,648,Lepidoptera,Heliconidae,Dione,
1156,ncbi,675,Lepidoptera,Pieridae,Dryas,
1307,ncbi,680,Hemiptera,Pyrrhocoridae,Dysderus,Dysdercus
1121,ncbi,681,Coleoptera,Cantharidae,Dysmorphocellus,
1308,ncbi,700,Diptera,Tabanidae,Elaphromyia,
1313,ncbi,728,Hemiptera,Pentatomidae,Eocanthecoma,
1314,ncbi,731,Coleoptera,Cerambycidae,Epania,
1420,ncbi,745,Lepidoptera,Geometridae,Epirrhoetristata,Epirrhoe tristata
1400,ncbi,768,Lepidoptera,Pterophoridae,Ernestia,
1102,ncbi,770,Hymenoptera,Halictidae,Erylaeus,
1071,ncbi,794,Diptera,Hybotidae,Euhibus,Euhybus
1318,ncbi,803,Neuroptera,Hemerobiidae,Eumicromus,
1477,ncbi,813,Lepidoptera,Geometridae,Eupithesia,
1319,ncbi,814,Hemiptera,Cicadellidae,Eupoasca,Empoasca
1131,ncbi,827,Coleoptera,Cleridae,Eurymetopun,
1220,ncbi,831,Hemiptera,Cercopidae,Euscartopsis,
1263,ncbi,856,Hemiptera,Rhyparochromidae,Exptochiomera,
1074,ncbi,857,Hymenoptera,Crabronidae,Extemnius,Ectemnius
1264,ncbi,874,Coleoptera,Cerambycidae,Formosopyrrhona,
1513,ncbi,882,Coleoptera,Elateridae,Gambrinus,
1443,ncbi,888,Coleoptera,Chrysomelidae,Gastroidea,
1051,ncbi,895,Lepidoptera,Tortricidae,Gelophaula,
1444,ncbi,922,Coleoptera,Cerambycidae,Grammoptra,Grammoptera
1196,ncbi,924,Lepidoptera,Papilionidae,Graphium,
1324,ncbi,948,Hemiptera,Miridae,Halticiellus,
1221,ncbi,953,Coleoptera,Nitidulidae,Haptoncurina,
1222,ncbi,954,Coleoptera,Nitidulidae,Haptoncus,
1449,ncbi,992,Diptera,Sarcophagidae,Heteronychia,
1476,ncbi,993,Hymenoptera,Andrenidae,Heterosarus,
1428,ncbi,1005,Diptera,Empididae,Holoclera,
1326,ncbi,1032,Trichoptera,Hydropsychidae,Hydropsychoides,
1132,ncbi,1041,Coleoptera,Melyridae,Hylodanacea,
1454,ncbi,1043,Hymenoptera,Argidae,Hylotoma,
1327,ncbi,1049,Diptera,Bombyliidae,Hyperalonia,
1112,ncbi,1055,Coleoptera,Cantharidae,Hyponotum,
1328,ncbi,1081,Diptera,Syrphidae,Ischirosyrphus,Ischyrosyrphus
1455,ncbi,1084,Diptera,Syrphidae,Ischyrosyrphys,
1173,ncbi,1090,Lepidoptera,Nymphalidae,Janonia,
1329,ncbi,1097,Coleoptera,Cantharidae,Kandyosilis,
1456,ncbi,1105,Lepidoptera,Erebidae,Laria,
1331,ncbi,1124,Coleoptera,Carabidae,Lebidia,
1269,ncbi,1169,Hemiptera,Rhopalidae,Liorhyssum,Liorhyssus
1231,ncbi,1215,Coleoptera,Curculionidae,Macrocorynus,
1106,ncbi,1216,Coleoptera,Scarabaeidae,Macrodactlyus,Macrodactylus
1134,ncbi,1220,Diptera,Syrphidae,Macrometopia,
1270,ncbi,1228,Coleoptera,Cantharidae,Malthinellus,
1122,ncbi,1243,Coleoptera,Oedemeridae,Mecopselaphus,
1244,ncbi,1247,NA,NA,Mediza,
1414,ncbi,1264,Diptera,Syrphidae,Melanotoma,Melanostoma
1336,ncbi,1281,Diptera,Coccinellidae,Menochitus,Menochilus
1206,ncbi,1289,Hemiptera,Tropiduchidae,Mesepora,
1103,ncbi,1292,Diptera,Syrphidae,Mesograpta,
1493,ncbi,1324,Coleoptera,Cantharidae,Mikadocantharis,
1093,ncbi,1340,Lepidoptera,Sesiidae,Montezumia,
1459,ncbi,1347,NA,NA,Morellis,
1136,ncbi,1348,Diptera,Tachinidae,Morphodexia,
1154,ncbi,1350,Lepidoptera,NA,Moth,
1245,ncbi,1378,NA,NA,Nanohyes,
1182,ncbi,1405,Hemiptera,Carsidaridae,Nesiope,
1341,ncbi,1412,Coleoptera,Chrysomelidae,Nodena,Nodina
1271,ncbi,1413,Coleoptera,Chrysomelidae,Nodina,
1248,ncbi,1434,Hymenoptera,Formicidae,Ochetelus,Ochetellus
1481,ncbi,1448,Diptera,Oestridae,Oedemagena,
1342,ncbi,1451,NA,NA,Oiphinus,
1272,ncbi,1452,Hymenoptera,Eumenidae,Okinawepipona,
1076,ncbi,1463,NA,NA,Omicrom,
1224,ncbi,1470,Blattodea,Ectobiidae,Onychostylus,
1461,ncbi,1492,Diptera,Muscidae,Orthelia,Orthellia
1409,ncbi,1499,Diptera,Syrphidae,Orthonerva,
1067,ncbi,1515,Diptera,Sarcophagidae,Oxyssarcodexia,Oxysarcodexia
1077,ncbi,1519,Hymenoptera,Vespidae,Pachodunerus,Pachodunerus
1169,ncbi,1555,Coleoptera,Cetoniidae,Paragymnetis,
1201,ncbi,1562,Diptera,Tephritidae,Paraoxyna,
1346,ncbi,1563,Hemiptera,Miridae,Parapantitius,
1164,ncbi,1565,Diptera,Sarcophagidae,Paraphrissopoda,
1273,ncbi,1606,Coleoptera,Elateridae,Penthelater,
1094,ncbi,1615,NA,NA,Pereirapsis,
1052,ncbi,1624,Coleoptera,Curculionidae,Peristoreus,
1039,ncbi,1625,Diptera,Tachinidae,Perrissina,
1080,ncbi,1629,Diptera,Calliphoridae,Phaenica,
1350,ncbi,1647,Lepidoptera,Noctuidae,Philophyla,Phyllophyla
1351,ncbi,1651,NA,NA,Pholo,
1040,ncbi,1692,Diptera,Tachinidae,Plagiomyia,
1465,ncbi,1698,Diptera,Syrphidae,Platycherius,
1124,ncbi,1700,Coleoptera,Chrysomelidae,Platynocera,
1466,ncbi,1719,Hymenoptera,Eumenidae,Poletes,Polistes
1474,ncbi,1721,Hymenoptera,Colletidae,Policana,
1084,ncbi,1724,Apodiformes,Trochilidae,Politmus,
1274,ncbi,1737,Coleoptera,Scarabaeidae,Popilitia,Popillia
1411,ncbi,1741,Coleoptera,Scarabaeidae,Potosia,
1041,ncbi,1757,Diptera,Tachinidae,Proscission,Proscissio
1138,ncbi,1772,Megaloptera,Sialidae,Protosialis,
1352,ncbi,1781,Coleoptera,Silvanidae,Psamoecus,Psammoecus
1089,ncbi,1783,NA,NA,Psedagochloropsis,
1275,ncbi,1791,Coleoptera,Cerambycidae,Pseudiphra,
1353,ncbi,1800,Coleoptera,Aderidae,Pseudoloterus,
1355,ncbi,1823,Hemiptera,Achilidae,Ptectoderoides,Plectoderoides
1104,ncbi,1837,Hymenoptera,Apidae,Pyrobombus,
1044,ncbi,1839,Coleoptera,Scarabaeidae,Pyronola,
1095,ncbi,1844,NA,NA,Pyrrhogige,
1382,ncbi,1876,Coleoptera,Cantharidae,Rhynconycha,Rhagonycha
1082,ncbi,1895,Diptera,Sarcophagidae,Sarcophagula,
1045,ncbi,1902,NA,NA,Sawpogon,
1359,ncbi,1914,Diptera,Tephritidae,Scedella,
1139,ncbi,1919,Coleoptera,Melolonthidae,Schizochelus,
1046,ncbi,1936,Coleoptera,Oedemeridae,Selenopalpus,
1105,ncbi,1945,Diptera,Syrphidae,Sercomyia,Sericomyia
1047,ncbi,1950,Lepidoptera,Geometridae,Sestra,
1107,ncbi,1952,Diptera,Syrphidae,Shaerophoria,Sphaerophoria
1184,ncbi,1962,Diptera,Chloropidae,Siphunculina,
1363,ncbi,1968,Hymenoptera,Formicidae,Smoragdina,smaragdina
1364,ncbi,1996,NA,NA,Stenocallinerus,
1250,ncbi,1998,Coleoptera,Cerambycidae,Stenodryas,
1438,ncbi,2005,Hemiptera,Miridae,Stenotus,
1097,ncbi,2009,NA,NA,Sticia,
1367,ncbi,2011,Diptera,Ulidiidae,Stictomyia,
1113,ncbi,2013,Diptera,Syrphidae,Stilbosona,
1368,ncbi,2018,Geophilomorpha,Linotaeniidae,Stragamia,Strigamia
1471,ncbi,2021,Diptera,Stratiomyidae,Stratiomya,
1378,ncbi,2039,Lepidoptera,Noctuidae,Sympsitis,Sympistis
1098,ncbi,2056,Hymenoptera,Crabronidae,Tachites,Tachytes
1369,ncbi,2060,Hymenoptera,Crabronidae,Tachytessp,Tachytes
1371,ncbi,2085,Hymenoptera,Formicidae,Tetramonium,Tetramorium
1276,ncbi,2113,Hemiptera,Miridae,Tinginotum,
1277,ncbi,2118,Coleoptera,Mordellidae,Tolidopalpus,
1373,ncbi,2119,Coleoptera,Mordellidae,Tolidostena,
1198,ncbi,2180,Hemiptera,Derbidae,Vekunta,
1472,ncbi,2194,Diptera,Muscidae,Wahlgrenia,
1053,ncbi,2209,Diptera,Tachinidae,Xenorhynchia,
1376,ncbi,2217,Hymenoptera,Apidae,Xyiocopa,Xylocopa
1486,ncbi,2247,Coleoptera,Chrysomelidae,Zypangia,
