intera,.value,.lower,.upper,.width,.point,.interval
Diptera.A - Coleoptera.A,0.107527772,-0.029048584,0.268371661,0.95,mode,hdi
Diptera.A - Coleoptera.B,0.08704722,-0.349730811,0.593466241,0.95,mode,hdi
Diptera.A - Coleoptera.C,-0.083458362,-0.40659773,0.216220779,0.95,mode,hdi
Diptera.A - Coleoptera.D,-0.047867191,-0.429927968,0.449735219,0.95,mode,hdi
Diptera.A - Coleoptera.E,-0.037558692,-0.782232621,0.710557394,0.95,mode,hdi
Diptera.B - Bee.A,-0.815339356,-1.297771265,-0.41933175,0.95,mode,hdi
Diptera.B - Bee.B,-0.761978361,-0.976246604,-0.570557155,0.95,mode,hdi
Diptera.B - Bee.C,-0.548585176,-0.854637735,-0.085233493,0.95,mode,hdi
Diptera.B - Bee.D,-0.511461938,-0.972480685,-0.091134597,0.95,mode,hdi
Diptera.B - Bee.E,-0.382275254,-0.845239771,0.03928305,0.95,mode,hdi
Diptera.B - Coleoptera.A,0.049729154,-0.396458227,0.501853303,0.95,mode,hdi
Diptera.B - Coleoptera.B,0.045060186,-0.1740451,0.279841179,0.95,mode,hdi
Diptera.B - Coleoptera.C,-0.202917221,-0.516240984,0.25706204,0.95,mode,hdi
Diptera.B - Coleoptera.D,-0.016214315,-0.534327856,0.448995861,0.95,mode,hdi
Diptera.B - Coleoptera.E,-0.068135483,-0.839133334,0.651925019,0.95,mode,hdi
Diptera.C - Bee.A,-0.782126151,-1.060532603,-0.434690425,0.95,mode,hdi
Diptera.C - Bee.B,-0.665797189,-1.082256659,-0.292881989,0.95,mode,hdi
Diptera.C - Bee.C,-0.41610441,-0.519388796,-0.306415992,0.95,mode,hdi
Diptera.C - Bee.D,-0.415685353,-0.677656918,-0.159402409,0.95,mode,hdi
Diptera.C - Bee.E,-0.285240381,-0.710978078,0.040648608,0.95,mode,hdi
Diptera.C - Coleoptera.A,0.134524567,-0.177926364,0.464427135,0.95,mode,hdi
Diptera.C - Coleoptera.B,0.155915298,-0.276916158,0.54092869,0.95,mode,hdi
Diptera.C - Coleoptera.C,-0.046147067,-0.165611482,0.045322668,0.95,mode,hdi
Diptera.C - Coleoptera.D,0.026416977,-0.300643273,0.404485245,0.95,mode,hdi
Diptera.C - Coleoptera.E,-0.049166852,-0.726762517,0.710527113,0.95,mode,hdi
Diptera.D - Bee.A,-0.868906163,-1.258565195,-0.498686482,0.95,mode,hdi
Diptera.D - Bee.B,-0.75036871,-1.231476657,-0.362218682,0.95,mode,hdi
Diptera.D - Bee.C,-0.515097697,-0.776942592,-0.271230283,0.95,mode,hdi
Diptera.D - Bee.D,-0.513460508,-0.755180924,-0.306224591,0.95,mode,hdi
Diptera.D - Bee.E,-0.431243065,-0.879713564,-0.043389992,0.95,mode,hdi
Diptera.D - Coleoptera.A,0.041957749,-0.347224233,0.407457549,0.95,mode,hdi
Diptera.D - Coleoptera.B,0.017048796,-0.4384031,0.465067132,0.95,mode,hdi
Diptera.D - Coleoptera.C,-0.148083811,-0.410642761,0.099815729,0.95,mode,hdi
Diptera.D - Coleoptera.D,-0.042721063,-0.394569999,0.24470386,0.95,mode,hdi
Diptera.D - Coleoptera.E,-0.135104133,-0.813143328,0.68587788,0.95,mode,hdi
Diptera.E - Bee.A,-0.812600581,-1.155327154,-0.335765325,0.95,mode,hdi
Diptera.E - Bee.B,-0.685808296,-1.124985754,-0.292882656,0.95,mode,hdi
Diptera.E - Bee.C,-0.388394518,-0.76065461,-0.100712114,0.95,mode,hdi
Diptera.E - Bee.D,-0.459953145,-0.820130692,-0.030181866,0.95,mode,hdi
Diptera.E - Bee.E,-0.354587248,-0.620565279,-0.047360825,0.95,mode,hdi
Diptera.E - Coleoptera.A,0.120748129,-0.306314504,0.524140767,0.95,mode,hdi
Diptera.E - Coleoptera.B,0.080894375,-0.341373955,0.551680381,0.95,mode,hdi
Diptera.E - Coleoptera.C,-0.062416965,-0.405434291,0.243074515,0.95,mode,hdi
Diptera.E - Coleoptera.D,-0.030485711,-0.444726506,0.454740154,0.95,mode,hdi
Diptera.E - Coleoptera.E,-0.139665443,-0.671335824,0.629765249,0.95,mode,hdi
Hymenoptera.A - Bee.A,-0.766129621,-0.918643582,-0.600270679,0.95,mode,hdi
Hymenoptera.A - Bee.B,-0.720620747,-1.140225025,-0.236447651,0.95,mode,hdi
Hymenoptera.A - Bee.C,-0.406206245,-0.743269627,-0.111526969,0.95,mode,hdi
Hymenoptera.A - Bee.D,-0.473274925,-0.822815588,-0.053438436,0.95,mode,hdi
Hymenoptera.A - Bee.E,-0.307098664,-0.807209244,0.102577032,0.95,mode,hdi
Hymenoptera.A - Coleoptera.A,0.13104816,-0.063432841,0.310498699,0.95,mode,hdi
Hymenoptera.A - Coleoptera.B,0.137966478,-0.33617737,0.613670348,0.95,mode,hdi
Hymenoptera.A - Coleoptera.C,-0.061435853,-0.382606676,0.252368142,0.95,mode,hdi
Hymenoptera.A - Coleoptera.D,-0.00883106,-0.415595936,0.487439224,0.95,mode,hdi
Hymenoptera.A - Coleoptera.E,-0.038360318,-0.76755707,0.725613375,0.95,mode,hdi
Hymenoptera.A - Diptera.A,0.005724328,-0.147096371,0.158634614,0.95,mode,hdi
Hymenoptera.A - Diptera.B,0.138051068,-0.362377862,0.530158629,0.95,mode,hdi
Hymenoptera.A - Diptera.C,-0.033258477,-0.324691962,0.302804094,0.95,mode,hdi
Hymenoptera.A - Diptera.D,0.114041834,-0.282242376,0.470335115,0.95,mode,hdi
Hymenoptera.A - Diptera.E,0.00094079,-0.417507915,0.393688534,0.95,mode,hdi
Hymenoptera.B - Bee.A,-0.470979546,-0.940262595,-0.043850278,0.95,mode,hdi
Hymenoptera.B - Bee.B,-0.406027678,-0.628689024,-0.190415973,0.95,mode,hdi
Hymenoptera.B - Bee.C,-0.158737277,-0.528008249,0.252907613,0.95,mode,hdi
Hymenoptera.B - Bee.D,-0.144531591,-0.582511942,0.310717182,0.95,mode,hdi
Hymenoptera.B - Bee.E,-0.10420889,-0.516160928,0.399054892,0.95,mode,hdi
Hymenoptera.B - Coleoptera.A,0.417148078,-0.079130612,0.834590577,0.95,mode,hdi
Hymenoptera.B - Coleoptera.B,0.421819106,0.152010954,0.6540374,0.95,mode,hdi
Hymenoptera.B - Coleoptera.C,0.14653824,-0.181212733,0.599930302,0.95,mode,hdi
Hymenoptera.B - Coleoptera.D,0.329949923,-0.197198569,0.80928762,0.95,mode,hdi
Hymenoptera.B - Coleoptera.E,0.311473046,-0.472923199,1.003190611,0.95,mode,hdi
Hymenoptera.B - Diptera.A,0.250149737,-0.169352228,0.730043793,0.95,mode,hdi
Hymenoptera.B - Diptera.B,0.340742467,0.157308203,0.545299482,0.95,mode,hdi
Hymenoptera.B - Diptera.C,0.257936015,-0.098146933,0.686566734,0.95,mode,hdi
Hymenoptera.B - Diptera.D,0.36773683,-0.066614866,0.810230777,0.95,mode,hdi
Hymenoptera.B - Diptera.E,0.290536311,-0.144090434,0.713878986,0.95,mode,hdi
Hymenoptera.C - Bee.A,-0.856733399,-1.179425829,-0.536701038,0.95,mode,hdi
Hymenoptera.C - Bee.B,-0.777729063,-1.173740102,-0.379890124,0.95,mode,hdi
Hymenoptera.C - Bee.C,-0.503185224,-0.633901111,-0.379780293,0.95,mode,hdi
Hymenoptera.C - Bee.D,-0.524841147,-0.782143345,-0.239182038,0.95,mode,hdi
Hymenoptera.C - Bee.E,-0.374965889,-0.827807943,-0.062426785,0.95,mode,hdi
Hymenoptera.C - Coleoptera.A,0.03146516,-0.296481079,0.34948066,0.95,mode,hdi
Hymenoptera.C - Coleoptera.B,0.077629328,-0.37301668,0.460275209,0.95,mode,hdi
Hymenoptera.C - Coleoptera.C,-0.174686312,-0.280134321,-0.035473318,0.95,mode,hdi
Hymenoptera.C - Coleoptera.D,-0.061171117,-0.409053612,0.306469051,0.95,mode,hdi
Hymenoptera.C - Coleoptera.E,-0.146361226,-0.81578382,0.63044035,0.95,mode,hdi
Hymenoptera.C - Diptera.A,-0.091992581,-0.402991602,0.237289839,0.95,mode,hdi
Hymenoptera.C - Diptera.B,0.019594164,-0.389362444,0.387940936,0.95,mode,hdi
Hymenoptera.C - Diptera.C,-0.103200242,-0.215723547,0.014716569,0.95,mode,hdi
Hymenoptera.C - Diptera.D,0.015207737,-0.239359357,0.271900553,0.95,mode,hdi
Hymenoptera.C - Diptera.E,-0.119788859,-0.415478981,0.268705275,0.95,mode,hdi
Hymenoptera.D - Bee.A,-1.139559487,-1.588513631,-0.63728021,0.95,mode,hdi
Hymenoptera.D - Bee.B,-1.044329977,-1.623417535,-0.585663326,0.95,mode,hdi
Hymenoptera.D - Bee.C,-0.725532266,-1.171323397,-0.394115801,0.95,mode,hdi
Hymenoptera.D - Bee.D,-0.777826473,-1.140056707,-0.446030217,0.95,mode,hdi
Hymenoptera.D - Bee.E,-0.651875902,-1.198342711,-0.171968762,0.95,mode,hdi
Hymenoptera.D - Coleoptera.A,-0.195036038,-0.694431226,0.251248091,0.95,mode,hdi
Hymenoptera.D - Coleoptera.B,-0.288185912,-0.798132501,0.273452614,0.95,mode,hdi
Hymenoptera.D - Coleoptera.C,-0.428538425,-0.852640415,-0.077008434,0.95,mode,hdi
Hymenoptera.D - Coleoptera.D,-0.364211245,-0.742524499,0.03385274,0.95,mode,hdi
Hymenoptera.D - Coleoptera.E,-0.317888449,-1.191158537,0.409201635,0.95,mode,hdi
Hymenoptera.D - Diptera.A,-0.33343871,-0.818202516,0.119937821,0.95,mode,hdi
Hymenoptera.D - Diptera.B,-0.326513526,-0.800405695,0.221519044,0.95,mode,hdi
Hymenoptera.D - Diptera.C,-0.38333028,-0.761400305,0.00106165,0.95,mode,hdi
Hymenoptera.D - Diptera.D,-0.306547601,-0.609668227,0.092870241,0.95,mode,hdi
Hymenoptera.D - Diptera.E,-0.337195596,-0.835665712,0.139082754,0.95,mode,hdi
Hymenoptera.E - Bee.A,-1.051481575,-1.505192434,-0.546489927,0.95,mode,hdi
Hymenoptera.E - Bee.B,-0.998538882,-1.447338752,-0.475072096,0.95,mode,hdi
Hymenoptera.E - Bee.C,-0.746918212,-1.096563006,-0.275247438,0.95,mode,hdi
Hymenoptera.E - Bee.D,-0.721268692,-1.148949277,-0.227249168,0.95,mode,hdi
Hymenoptera.E - Bee.E,-0.61004898,-1.006288126,-0.247545483,0.95,mode,hdi
Hymenoptera.E - Coleoptera.A,-0.151563825,-0.64635383,0.31531991,0.95,mode,hdi
Hymenoptera.E - Coleoptera.B,-0.142051505,-0.670519369,0.351457457,0.95,mode,hdi
Hymenoptera.E - Coleoptera.C,-0.362339397,-0.773751022,0.050850061,0.95,mode,hdi
Hymenoptera.E - Coleoptera.D,-0.303238607,-0.80845934,0.227378041,0.95,mode,hdi
Hymenoptera.E - Coleoptera.E,-0.347308644,-0.999810005,0.390468731,0.95,mode,hdi
Hymenoptera.E - Diptera.A,-0.246107679,-0.734449026,0.21966792,0.95,mode,hdi
Hymenoptera.E - Diptera.B,-0.232179315,-0.671709753,0.298570624,0.95,mode,hdi
Hymenoptera.E - Diptera.C,-0.286944287,-0.692095641,0.133847551,0.95,mode,hdi
Hymenoptera.E - Diptera.D,-0.200113369,-0.660365997,0.265840792,0.95,mode,hdi
Hymenoptera.E - Diptera.E,-0.299735233,-0.612944306,0.036488239,0.95,mode,hdi
Lepidoptera.A - Bee.A,-0.970540177,-1.141468387,-0.818831068,0.95,mode,hdi
Lepidoptera.A - Bee.B,-0.888982503,-1.330570632,-0.425908465,0.95,mode,hdi
Lepidoptera.A - Bee.C,-0.678905335,-0.967747987,-0.336409212,0.95,mode,hdi
Lepidoptera.A - Bee.D,-0.622486004,-1.033394391,-0.270912246,0.95,mode,hdi
Lepidoptera.A - Bee.E,-0.575359143,-1.013972845,-0.094748271,0.95,mode,hdi
Lepidoptera.A - Coleoptera.A,-0.090071419,-0.273709293,0.085567148,0.95,mode,hdi
Lepidoptera.A - Coleoptera.B,-0.123413132,-0.54684064,0.395669608,0.95,mode,hdi
Lepidoptera.A - Coleoptera.C,-0.286637675,-0.601406104,0.028254253,0.95,mode,hdi
Lepidoptera.A - Coleoptera.D,-0.242341789,-0.65361235,0.253327226,0.95,mode,hdi
Lepidoptera.A - Coleoptera.E,-0.223983426,-1.003947177,0.494912908,0.95,mode,hdi
Lepidoptera.A - Diptera.A,-0.222077172,-0.362528396,-0.060494568,0.95,mode,hdi
Lepidoptera.A - Diptera.B,-0.165307209,-0.570356387,0.319287169,0.95,mode,hdi
Lepidoptera.A - Diptera.C,-0.23210627,-0.557113754,0.081974318,0.95,mode,hdi
Lepidoptera.A - Diptera.D,-0.129414878,-0.499813575,0.269967035,0.95,mode,hdi
Lepidoptera.A - Diptera.E,-0.190471334,-0.642883728,0.18815644,0.95,mode,hdi
Lepidoptera.A - Hymenoptera.A,-0.207376957,-0.383592122,-0.026611449,0.95,mode,hdi
Lepidoptera.A - Hymenoptera.B,-0.439179556,-0.958733891,-0.055913269,0.95,mode,hdi
Lepidoptera.A - Hymenoptera.C,-0.14532057,-0.455410927,0.183018304,0.95,mode,hdi
Lepidoptera.A - Hymenoptera.D,0.16466966,-0.318655472,0.628671992,0.95,mode,hdi
Lepidoptera.A - Hymenoptera.E,0.048717245,-0.455392747,0.528113271,0.95,mode,hdi
Lepidoptera.B - Bee.A,-0.192017379,-0.657787088,0.267692517,0.95,mode,hdi
Lepidoptera.B - Bee.B,-0.142302879,-0.376744332,0.125014132,0.95,mode,hdi
Lepidoptera.B - Bee.C,0.108473966,-0.297630854,0.534720809,0.95,mode,hdi
Lepidoptera.B - Bee.D,0.115504241,-0.312546032,0.610548888,0.95,mode,hdi
Lepidoptera.B - Bee.E,0.19878915,-0.283822183,0.65738821,0.95,mode,hdi
Lepidoptera.B - Coleoptera.A,0.632793976,0.223090562,1.170531535,0.95,mode,hdi
Lepidoptera.B - Coleoptera.B,0.693884059,0.420419551,0.96972911,0.95,mode,hdi
Lepidoptera.B - Coleoptera.C,0.455603774,0.108158289,0.928183217,0.95,mode,hdi
Lepidoptera.B - Coleoptera.D,0.596002672,0.064007706,1.106878843,0.95,mode,hdi
Lepidoptera.B - Coleoptera.E,0.562375579,-0.193265554,1.330729203,0.95,mode,hdi
Lepidoptera.B - Diptera.A,0.569898944,0.122399819,1.039140664,0.95,mode,hdi
Lepidoptera.B - Diptera.B,0.638802782,0.406930659,0.87552531,0.95,mode,hdi
Lepidoptera.B - Diptera.C,0.538162104,0.148439137,0.968383385,0.95,mode,hdi
Lepidoptera.B - Diptera.D,0.689738395,0.237067019,1.134152903,0.95,mode,hdi
Lepidoptera.B - Diptera.E,0.555291208,0.110768209,1.008825561,0.95,mode,hdi
Lepidoptera.B - Hymenoptera.A,0.533702312,0.103948465,1.039645429,0.95,mode,hdi
Lepidoptera.B - Hymenoptera.B,0.289471566,0.027448032,0.532039026,0.95,mode,hdi
Lepidoptera.B - Hymenoptera.C,0.653465501,0.230782337,1.069094897,0.95,mode,hdi
Lepidoptera.B - Hymenoptera.D,0.9720064,0.415245228,1.477484646,0.95,mode,hdi
Lepidoptera.B - Hymenoptera.E,0.87649112,0.330838458,1.350949811,0.95,mode,hdi
Lepidoptera.C - Bee.A,-0.874907835,-1.124382448,-0.494673625,0.95,mode,hdi
Lepidoptera.C - Bee.B,-0.766846022,-1.147118653,-0.366034213,0.95,mode,hdi
Lepidoptera.C - Bee.C,-0.48410696,-0.596677168,-0.359631217,0.95,mode,hdi
Lepidoptera.C - Bee.D,-0.489249633,-0.771952587,-0.239408169,0.95,mode,hdi
Lepidoptera.C - Bee.E,-0.374258463,-0.786238481,-0.021430505,0.95,mode,hdi
Lepidoptera.C - Coleoptera.A,0.077105058,-0.241042879,0.407386169,0.95,mode,hdi
Lepidoptera.C - Coleoptera.B,0.077878748,-0.320699513,0.500880588,0.95,mode,hdi
Lepidoptera.C - Coleoptera.C,-0.139292972,-0.242404559,-0.01164904,0.95,mode,hdi
Lepidoptera.C - Coleoptera.D,-0.030809629,-0.410760502,0.292586257,0.95,mode,hdi
Lepidoptera.C - Coleoptera.E,-0.155801138,-0.787975293,0.646238618,0.95,mode,hdi
Lepidoptera.C - Diptera.A,-0.043330324,-0.37581798,0.252536607,0.95,mode,hdi
Lepidoptera.C - Diptera.B,0.044056461,-0.374529728,0.394467748,0.95,mode,hdi
Lepidoptera.C - Diptera.C,-0.0716163,-0.182986225,0.03480444,0.95,mode,hdi
Lepidoptera.C - Diptera.D,0.024574904,-0.208864227,0.299114355,0.95,mode,hdi
Lepidoptera.C - Diptera.E,-0.062994784,-0.400053513,0.263804673,0.95,mode,hdi
Lepidoptera.C - Hymenoptera.A,-0.035378241,-0.400690678,0.245885355,0.95,mode,hdi
Lepidoptera.C - Hymenoptera.B,-0.345227086,-0.747652432,0.03856977,0.95,mode,hdi
Lepidoptera.C - Hymenoptera.C,0.027828334,-0.114984202,0.149021972,0.95,mode,hdi
Lepidoptera.C - Hymenoptera.D,0.291341606,-0.065526609,0.717128233,0.95,mode,hdi
Lepidoptera.C - Hymenoptera.E,0.236659693,-0.174264861,0.656708145,0.95,mode,hdi
Lepidoptera.D - Bee.A,-0.964133136,-1.332029731,-0.541287797,0.95,mode,hdi
Lepidoptera.D - Bee.B,-0.873609507,-1.319960732,-0.421631898,0.95,mode,hdi
Lepidoptera.D - Bee.C,-0.610524529,-0.888818666,-0.317972344,0.95,mode,hdi
Lepidoptera.D - Bee.D,-0.633701565,-0.86826436,-0.37713209,0.95,mode,hdi
Lepidoptera.D - Bee.E,-0.482910603,-0.977411588,-0.097958958,0.95,mode,hdi
Lepidoptera.D - Coleoptera.A,-0.02891431,-0.462990883,0.335391356,0.95,mode,hdi
Lepidoptera.D - Coleoptera.B,-0.042692817,-0.521521725,0.403031198,0.95,mode,hdi
Lepidoptera.D - Coleoptera.C,-0.251116575,-0.543889512,0.018238913,0.95,mode,hdi
Lepidoptera.D - Coleoptera.D,-0.168944582,-0.466463123,0.156158269,0.95,mode,hdi
Lepidoptera.D - Coleoptera.E,-0.185780663,-1.003949991,0.507989847,0.95,mode,hdi
Lepidoptera.D - Diptera.A,-0.180179998,-0.585322031,0.203513729,0.95,mode,hdi
Lepidoptera.D - Diptera.B,-0.112242835,-0.5591621,0.333062323,0.95,mode,hdi
Lepidoptera.D - Diptera.C,-0.216997728,-0.485240196,0.066544364,0.95,mode,hdi
Lepidoptera.D - Diptera.D,-0.097292353,-0.315127521,0.174550863,0.95,mode,hdi
Lepidoptera.D - Diptera.E,-0.19323478,-0.581964171,0.236593515,0.95,mode,hdi
Lepidoptera.D - Hymenoptera.A,-0.174716275,-0.582314615,0.202989882,0.95,mode,hdi
Lepidoptera.D - Hymenoptera.B,-0.439379592,-0.926188522,-0.002350592,0.95,mode,hdi
Lepidoptera.D - Hymenoptera.C,-0.0923132,-0.376756047,0.195826689,0.95,mode,hdi
Lepidoptera.D - Hymenoptera.D,0.194645935,-0.175909348,0.533526026,0.95,mode,hdi
Lepidoptera.D - Hymenoptera.E,0.126525808,-0.375124356,0.581212293,0.95,mode,hdi
Lepidoptera.E - Bee.A,-0.811131345,-1.284536917,-0.399318379,0.95,mode,hdi
Lepidoptera.E - Bee.B,-0.804181371,-1.205562524,-0.289637292,0.95,mode,hdi
Lepidoptera.E - Bee.C,-0.502909206,-0.856628546,-0.113499645,0.95,mode,hdi
Lepidoptera.E - Bee.D,-0.551532726,-0.940647349,-0.077625641,0.95,mode,hdi
Lepidoptera.E - Bee.E,-0.419794933,-0.72063428,-0.0795292,0.95,mode,hdi
Lepidoptera.E - Coleoptera.A,0.119968842,-0.393526325,0.500902731,0.95,mode,hdi
Lepidoptera.E - Coleoptera.B,0.057126816,-0.409136296,0.559831902,0.95,mode,hdi
Lepidoptera.E - Coleoptera.C,-0.14284135,-0.49477635,0.245245531,0.95,mode,hdi
Lepidoptera.E - Coleoptera.D,-0.017500507,-0.526046717,0.452771218,0.95,mode,hdi
Lepidoptera.E - Coleoptera.E,-0.123909928,-0.79290509,0.576248449,0.95,mode,hdi
Lepidoptera.E - Diptera.A,-0.074390495,-0.492597678,0.389494633,0.95,mode,hdi
Lepidoptera.E - Diptera.B,0.007225801,-0.445132515,0.447218917,0.95,mode,hdi
Lepidoptera.E - Diptera.C,-0.077112276,-0.427686462,0.309354063,0.95,mode,hdi
Lepidoptera.E - Diptera.D,0.007180538,-0.391126805,0.455476999,0.95,mode,hdi
Lepidoptera.E - Diptera.E,-0.045838391,-0.300916129,0.206666057,0.95,mode,hdi
Lepidoptera.E - Hymenoptera.A,-0.10653437,-0.486130972,0.408563667,0.95,mode,hdi
Lepidoptera.E - Hymenoptera.B,-0.337342496,-0.834582605,0.088743108,0.95,mode,hdi
Lepidoptera.E - Hymenoptera.C,0.038828419,-0.352960592,0.402680635,0.95,mode,hdi
Lepidoptera.E - Hymenoptera.D,0.323631099,-0.263716183,0.773087851,0.95,mode,hdi
Lepidoptera.E - Hymenoptera.E,0.230489979,-0.11693842,0.58257025,0.95,mode,hdi
Syrphidae.A - Bee.A,-0.774970842,-0.975062747,-0.612004748,0.95,mode,hdi
Syrphidae.A - Bee.B,-0.735732456,-1.172545507,-0.260296044,0.95,mode,hdi
Syrphidae.A - Bee.C,-0.496733467,-0.806743635,-0.131557772,0.95,mode,hdi
Syrphidae.A - Bee.D,-0.448017412,-0.863984899,-0.071383693,0.95,mode,hdi
Syrphidae.A - Bee.E,-0.379092655,-0.857067292,0.104441486,0.95,mode,hdi
Syrphidae.A - Coleoptera.A,0.091539434,-0.098897413,0.29695041,0.95,mode,hdi
Syrphidae.A - Coleoptera.B,0.108936768,-0.405600664,0.548628104,0.95,mode,hdi
Syrphidae.A - Coleoptera.C,-0.097560457,-0.431001907,0.244134432,0.95,mode,hdi
Syrphidae.A - Coleoptera.D,-0.038191036,-0.455699249,0.470006335,0.95,mode,hdi
Syrphidae.A - Coleoptera.E,-0.105765207,-0.841468109,0.670699406,0.95,mode,hdi
Syrphidae.A - Diptera.A,-0.008373326,-0.192705858,0.152279196,0.95,mode,hdi
Syrphidae.A - Diptera.B,0.078340954,-0.434235137,0.477859395,0.95,mode,hdi
Syrphidae.A - Diptera.C,-0.028472505,-0.386867569,0.283254565,0.95,mode,hdi
Syrphidae.A - Diptera.D,0.064813143,-0.320761218,0.466674635,0.95,mode,hdi
Syrphidae.A - Diptera.E,-9.77E-05,-0.461024771,0.40030181,0.95,mode,hdi
Syrphidae.A - Hymenoptera.A,-0.006046843,-0.224301307,0.176010873,0.95,mode,hdi
Syrphidae.A - Hymenoptera.B,-0.33746608,-0.785628719,0.146443635,0.95,mode,hdi
Syrphidae.A - Hymenoptera.C,0.078029357,-0.281700724,0.404703471,0.95,mode,hdi
Syrphidae.A - Hymenoptera.D,0.347998902,-0.140761188,0.827116535,0.95,mode,hdi
Syrphidae.A - Hymenoptera.E,0.2632808,-0.221593885,0.764114123,0.95,mode,hdi
Syrphidae.A - Lepidoptera.A,0.171583066,-0.01425576,0.382019281,0.95,mode,hdi
Syrphidae.A - Lepidoptera.B,-0.555718105,-1.06458633,-0.115404283,0.95,mode,hdi
Syrphidae.A - Lepidoptera.C,0.005141528,-0.288876051,0.387310339,0.95,mode,hdi
Syrphidae.A - Lepidoptera.D,0.130202602,-0.268013885,0.561709193,0.95,mode,hdi
Syrphidae.A - Lepidoptera.E,0.030155832,-0.418913289,0.502614346,0.95,mode,hdi
Syrphidae.B - Bee.A,-0.570182831,-1.070849556,-0.037400067,0.95,mode,hdi
Syrphidae.B - Bee.B,-0.413717627,-0.803285483,-0.107849169,0.95,mode,hdi
Syrphidae.B - Bee.C,-0.226317127,-0.648795182,0.295559666,0.95,mode,hdi
Syrphidae.B - Bee.D,-0.251083834,-0.709151873,0.320419584,0.95,mode,hdi
Syrphidae.B - Bee.E,-0.158917099,-0.597066614,0.429850707,0.95,mode,hdi
Syrphidae.B - Coleoptera.A,0.330364951,-0.15655866,0.894047579,0.95,mode,hdi
Syrphidae.B - Coleoptera.B,0.311880517,0.00449952,0.72142687,0.95,mode,hdi
Syrphidae.B - Coleoptera.C,0.131433594,-0.301023511,0.631326886,0.95,mode,hdi
Syrphidae.B - Coleoptera.D,0.215271673,-0.283621707,0.834518064,0.95,mode,hdi
Syrphidae.B - Coleoptera.E,0.142628522,-0.649143667,0.944052799,0.95,mode,hdi
Syrphidae.B - Diptera.A,0.166210015,-0.288966827,0.742237033,0.95,mode,hdi
Syrphidae.B - Diptera.B,0.286168933,-0.030261756,0.635302312,0.95,mode,hdi
Syrphidae.B - Diptera.C,0.186927643,-0.235204588,0.691734688,0.95,mode,hdi
Syrphidae.B - Diptera.D,0.281729993,-0.167314268,0.845000135,0.95,mode,hdi
Syrphidae.B - Diptera.E,0.258731464,-0.302431876,0.682023446,0.95,mode,hdi
Syrphidae.B - Hymenoptera.A,0.192213572,-0.295723594,0.739969695,0.95,mode,hdi
