Date,Site,Tree.spp,Time,Ochetellus.glaber,Nylanderia.sp,Iridomyrmex.sulcheri,Monomorium.antarcticum,Apis.melifera,Colletidae,Hylaeus,Leioproctus,Bombus,Cerembycidae,Aranae,Lycaena.salustius,Clitarchus,Prosthemadera.novaeseelandiae
4/12/15,Whatipu,Leptospermum scoparium,17:00:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0
15/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0
15/11/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,0,0,2,0,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0
22/12/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,0,1,1,0,0,0,0,0,0
22/12/15,Whatipu,Phormium tenax,12:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0
22/12/15,Whatipu,Phormium tenax,12:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,10:00:00,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,0,0,2,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,13:00:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,15:00:00,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15/11/15,Whatipu,Leptospermum scoparium,10:00:00,0,0,0,0,0,0,0,3,0,0,0,0,0,0
20/11/15,Whatipu,Leptospermum scoparium,11:00:00,0,0,0,0,0,2,0,0,0,1,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,10:00:00,0,0,0,0,1,2,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,0,3,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,0,3,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,14:00:00,0,0,0,0,0,0,2,1,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,15:00:00,0,0,0,0,0,0,0,3,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,17:00:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Leptospermum scoparium,14:00:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0
15/01/16,Whatipu,Phormium tenax,14:00:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,12:00:00,0,0,0,0,0,0,3,0,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,3,0,0,0,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,15:00:00,0,0,0,0,1,2,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,10:00:00,0,0,0,0,0,0,0,3,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,0,1,2,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,0,0,2,1,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,12:00:00,0,0,0,0,0,0,0,3,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,14:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,0,0,0,3,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,15:00:00,0,0,0,0,0,2,0,0,1,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,15:00:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0
20/11/15,Whatipu,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,0,0,0,0,0,4,0,0
27/11/15,Whatipu,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,0,4,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,16:00:00,0,0,0,0,0,0,2,2,0,0,0,0,0,0
4/12/15,Whatipu,Leptospermum scoparium,15:00:00,0,0,0,0,1,1,0,0,0,0,0,2,0,0
15/11/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,0,4,0,0,0,0,0,0,0,0
15/11/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,0,0,2,2,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,12:00:00,0,0,0,0,0,4,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,0,0,4,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,0,0,4,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,15:00:00,0,0,0,0,3,1,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,16:00:00,0,0,0,0,0,4,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,10:00:00,0,0,0,0,3,2,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,11:00:00,0,0,0,0,0,1,0,4,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,11:00:00,0,0,0,0,0,0,0,5,0,0,0,0,0,0
15/11/15,Whatipu,Phormium tenax,11:00:00,4,0,0,0,1,0,0,0,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,16:00:00,0,0,0,0,2,1,2,0,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,10:00:00,0,0,0,0,0,0,2,3,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,13:00:00,0,0,0,0,0,5,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,13:00:00,0,0,0,0,0,5,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,15:00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0
15/11/15,Whatipu,Leptospermum scoparium,9:00:00,0,0,0,0,0,2,2,0,2,0,0,0,0,0
20/11/15,Whatipu,Leptospermum scoparium,12:00:00,0,0,0,0,2,3,0,0,0,0,0,1,0,0
27/11/15,Whatipu,Leptospermum scoparium,10:00:00,0,0,0,0,0,6,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,0,6,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,17:00:00,0,6,0,0,0,0,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,17:00:00,0,0,0,0,0,0,4,0,0,0,0,2,0,0
4/12/15,Whatipu,Leptospermum scoparium,15:00:00,0,0,0,0,4,2,0,0,0,0,0,0,0,0
22/12/15,Whatipu,Metrosideros,11:00:00,0,0,0,0,3,0,0,1,2,0,0,0,0,0
15/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,3,2,1,0,0,0,0,0,0,0
20/11/15,Whatipu,Leptospermum scoparium,14:00:00,7,0,0,0,0,0,0,0,0,0,0,0,0,0
22/12/15,Whatipu,Metrosideros,14:00:00,0,0,0,0,5,0,0,0,2,0,0,0,0,0
15/11/15,Whatipu,Phormium tenax,10:00:00,0,0,0,0,0,4,2,1,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,9:00:00,4,0,0,0,0,0,0,0,3,0,0,0,0,0
22/12/15,Whatipu,Phormium tenax,12:00:00,0,0,0,0,0,6,1,0,0,0,0,0,0,0
20/11/15,Whatipu,Leptospermum scoparium,15:00:00,0,0,0,0,0,8,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,10:00:00,0,0,0,0,0,8,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,14:00:00,0,0,0,0,0,8,0,0,0,0,0,0,0,0
22/12/15,Whatipu,Metrosideros,11:00:00,0,0,6,0,1,0,0,0,0,1,0,0,0,0
27/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,0,1,5,1,0,1,0,0,0
27/11/15,Whatipu,Phormium tenax,11:00:00,0,2,0,0,0,0,1,5,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,12:00:00,0,0,0,0,0,0,0,8,0,0,0,0,0,0
15/11/15,Whatipu,Cordyline australisTree,14:00:00,9,0,0,0,0,0,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,14:00:00,7,0,0,0,2,0,0,0,0,0,0,0,0,0
15/01/16,Whatipu,Phormium tenax,11:00:00,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15/11/15,Whatipu,Phormium tenax,9:00:00,0,0,0,0,2,4,0,2,1,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,1,6,1,1,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,0,0,9,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,13:00:00,0,0,0,0,0,9,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,15:00:00,0,0,0,0,2,7,0,0,0,0,0,0,0,0
22/12/15,Whatipu,Metrosideros,11:00:00,0,0,0,0,6,2,2,0,0,0,0,0,0,0
4/12/15,Whatipu,Leptospermum scoparium,16:00:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0
22/12/15,Whatipu,Metrosideros,14:00:00,0,0,0,0,0,0,0,1,10,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,12:00:00,6,0,0,0,0,0,0,5,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,14:00:00,10,0,0,0,0,1,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,0,11,0,0,0,0,0,0,0,0
15/11/15,Whatipu,Phormium tenax,9:00:00,0,0,0,0,4,8,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,14:00:00,0,9,0,0,0,0,3,0,0,0,0,0,0,0
4/12/15,Whatipu,Leptospermum scoparium,13:00:00,6,0,0,0,4,3,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,13:00:00,0,0,0,0,0,12,0,0,1,0,0,0,0,0
15/11/15,Whatipu,Cordyline australisTree,10:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0
15/01/16,Whatipu,Phormium tenax,15:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,17:00:00,7,7,0,0,0,0,0,0,0,0,0,0,0,0
22/12/15,Whatipu,Metrosideros,11:00:00,0,0,13,0,1,0,0,1,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,14:00:00,10,0,0,0,6,0,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,0,16,0,0,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,16:00:00,11,4,0,0,0,1,0,0,0,0,0,0,0,1
15/11/15,Whatipu,Phormium tenax,9:00:00,15,0,0,0,2,3,0,0,1,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,17:00:00,21,0,0,0,0,0,0,0,1,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,14:00:00,21,7,0,0,1,0,0,1,0,0,0,0,0,0
22/12/15,Whatipu,Metrosideros,13:00:00,0,0,11,0,0,0,0,1,18,1,0,0,0,0
22/12/15,Whatipu,Metrosideros,13:00:00,0,0,18,0,10,0,0,0,4,0,0,0,0,0
