,comparison,difference,.lower,.upper,.width,.point,.interval,group1,group2,id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Syrphidae.B - Bee.A,-0.066846856,-0.087308855,-0.043819423,0.95,mode,hdi,Syrphidae.B,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Syrphidae.C - Bee.A,-0.073239601,-0.086001206,-0.058256272,0.95,mode,hdi,Syrphidae.C,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Syrphidae.D - Bee.A,-0.071883185,-0.091957116,-0.055888703,0.95,mode,hdi,Syrphidae.D,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Syrphidae.E - Bee.A,-0.049778625,-0.069016794,-0.026686465,0.95,mode,hdi,Syrphidae.E,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Bee.C - Bee.B,-0.019400829,-0.035456899,-0.000518503,0.95,mode,hdi,Bee.C,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Bee.D - Bee.B,-0.019170915,-0.03831717,0.002003545,0.95,mode,hdi,Bee.D,Bee.B,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bee.E - Bee.B,-0.013334746,-0.035301979,0.006176177,0.95,mode,hdi,Bee.E,Bee.B,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Coleoptera.A - Bee.B,-0.024124532,-0.044851544,-0.003438142,0.95,mode,hdi,Coleoptera.A,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Coleoptera.C - Bee.B,-0.024400962,-0.038960785,-0.003754911,0.95,mode,hdi,Coleoptera.C,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coleoptera.D - Bee.B,-0.022759684,-0.046646579,-0.002995794,0.95,mode,hdi,Coleoptera.D,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Coleoptera.E - Bee.B,-0.028268639,-0.064240525,0.007746833,0.95,mode,hdi,Coleoptera.E,Bee.B,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Diptera.A - Bee.B,-0.027304052,-0.049234376,-0.008740772,0.95,mode,hdi,Diptera.A,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Diptera.C - Bee.B,-0.026059168,-0.0423637,-0.006750286,0.95,mode,hdi,Diptera.C,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Diptera.D - Bee.B,-0.022941747,-0.041756971,-0.00131506,0.95,mode,hdi,Diptera.D,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Diptera.E - Bee.B,-0.019925452,-0.041212837,-0.001714856,0.95,mode,hdi,Diptera.E,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Hymenoptera.A - Bee.B,-0.014607334,-0.038565782,0.003215422,0.95,mode,hdi,Hymenoptera.A,Bee.B,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Hymenoptera.B - Bee.B,0.003557277,-0.004503991,0.011271693,0.95,mode,hdi,Hymenoptera.B,Bee.B,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Hymenoptera.C - Bee.B,-0.02505805,-0.041965057,-0.00718106,0.95,mode,hdi,Hymenoptera.C,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Hymenoptera.D - Bee.B,-0.027515074,-0.048169159,-0.003193601,0.95,mode,hdi,Hymenoptera.D,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hymenoptera.E - Bee.B,-0.023808717,-0.049122482,-0.005320413,0.95,mode,hdi,Hymenoptera.E,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Lepidoptera.A - Bee.B,-0.030216964,-0.05361084,-0.012318784,0.95,mode,hdi,Lepidoptera.A,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Lepidoptera.C - Bee.B,-0.027942404,-0.043794015,-0.008662204,0.95,mode,hdi,Lepidoptera.C,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Lepidoptera.D - Bee.B,-0.025017593,-0.046068653,-0.005411057,0.95,mode,hdi,Lepidoptera.D,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Lepidoptera.E - Bee.B,-0.025334501,-0.044858193,-0.003596866,0.95,mode,hdi,Lepidoptera.E,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Syrphidae.A - Bee.B,-0.03399886,-0.056068858,-0.0144959,0.95,mode,hdi,Syrphidae.A,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Syrphidae.C - Bee.B,-0.021901394,-0.038120465,-0.002781494,0.95,mode,hdi,Syrphidae.C,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Syrphidae.D - Bee.B,-0.019641145,-0.041390766,-0.001201805,0.95,mode,hdi,Syrphidae.D,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Syrphidae.E - Bee.B,0.004697578,-0.017548193,0.027739273,0.95,mode,hdi,Syrphidae.E,Bee.B,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Bee.D - Bee.C,3.52E-05,-0.013143018,0.012553506,0.95,mode,hdi,Bee.D,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Bee.E - Bee.C,0.003303414,-0.012346925,0.01954275,0.95,mode,hdi,Bee.E,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Coleoptera.A - Bee.C,-0.007589936,-0.022695315,0.00706005,0.95,mode,hdi,Coleoptera.A,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Coleoptera.B - Bee.C,0.003735236,-0.015682699,0.020367568,0.95,mode,hdi,Coleoptera.B,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Coleoptera.D - Bee.C,-0.006064465,-0.022651719,0.00804156,0.95,mode,hdi,Coleoptera.D,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Coleoptera.E - Bee.C,-0.008262957,-0.042001121,0.025774923,0.95,mode,hdi,Coleoptera.E,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Diptera.A - Bee.C,-0.010759928,-0.026275652,0.001636939,0.95,mode,hdi,Diptera.A,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Diptera.B - Bee.C,0.000330541,-0.018172322,0.016102825,0.95,mode,hdi,Diptera.B,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Diptera.D - Bee.C,-0.00482426,-0.017952284,0.007704302,0.95,mode,hdi,Diptera.D,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Diptera.E - Bee.C,-0.002653617,-0.017124045,0.011060903,0.95,mode,hdi,Diptera.E,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Hymenoptera.A - Bee.C,0.000553401,-0.013611242,0.014893271,0.95,mode,hdi,Hymenoptera.A,Bee.C,n.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Hymenoptera.B - Bee.C,0.019515477,0.003804965,0.038917281,0.95,mode,hdi,Hymenoptera.B,Bee.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
