"","reference$Reference"
"42","Philipp M, Böcher J, Siegismund HR, Nielsen LR (2006) Ecography 29:531-540. (Philipp, M., Böcher, J., Siegismund, H. R. and Nielsen, L. R. 2006. Structure of a plant-pollinator network on a pahoehoe lava desert of the Galápagos Islands. – Ecography 29: 531– 40.)"
"44","Kato M (2000).Anthophilous insect community and plant-pollinator interactions on Amami Islands in the Ryukyu Archipelago, Japan. Contr Biol Lab Kyoto Univ 29:157-252."
"45","Lundgren R, Olesen JM (2005). The Dense and Highly Connected World of Greenland's Plants and Their Pollinators. Arc Antarc Alp Res 37:514-520."
"46","Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark."
"47","Dupont & Olesen(2009). J. Animal Ecology, 78:346-353."
"49","Bek S (2006). A pollination network from a Danish forest meadow. MSc thesis (Univ of Aarhus, Aarhus, Denmark)."
"50","Stald, L., Valido, A. & Olesen, J. M. 2003. Struktur og dynamik i rum og tid at et bestøvningsnetværk på Tenerife, De Kanariske Øer. MSc-thesis, Univ. of Aarhus, Denmark."
"51","Vázquez DP. 2002. Interactions among Introduced Ungulates, Plants, and Pollinators: A Field Study in the Temperate Forest of the Southern Andes. Ph.D. Dissertation. Department of Ecology and Evolutionary Biology, University of Tennessee, Knoxville."
"52","Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark."
"53","Yamazaki, K. & Kato, M. 2003. Flowering phenology and anthophilous insect community in a grassland ecosystem at Mt. Yufu, Western Japan. Contributions from the Biological Laboratory, Kyoto University 29: 255-318."
"54","Kakutani, T., T. Inoue, M. Kato and H. Ichihashi (1990) Insect-flower relationship in the campus of Kyoto University, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contribution from the Biological Laboratory, Kyoto University, 27: 465-521."
"55","Kato & Miura (1996). Flowering phenology and anthophilous insect community at a threatened natural lowland marsh at Nakaikemi in Tsuruga, Japan. Kyoto University, Vol. 29: 1-48"
"56","Kato et al. 1993. Flowering Phenology and Anthophilous Insect Community in the Cool-Temperate Subalpine Forests and Meadows at Mt. Kushigata in the Central Part of Japan. Contributions from the Biological Laboratory, Kyoto University 28: 119-172"
"57","Inoue et al 1990. Insect-flower Relationship in the Temperate Deciduous Forest of Kibune, Kyoto : An Overview of the Flowering Phenology and the Seasonal Pattern of Insect Visits."
"58","Bartomeus, I., Vilà, M. & Santamaria, L., 2008. Contrasting effects of invasive plants in plant-pollinator networks. Oecologia 155: 761-770."
"59","Bezerra ELS, Machado ICS, Mello MAR. 2009. Pollination networks of oil-flowers: a tiny world within the smallest of all worlds. Journal of Animal Ecology 78:1096–1101."
"60","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
"61","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
"62","Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
"63","Vizentin-Bugoni, J., P. K. Maruyama, V. J. Debastiani, L. S. Duarte, B. Dalsgaard & M. Sazima (2016). Influences of sampling effort on detected patterns and structuring processes of a Neotropical plant-hummingbird network. Journal of Animal Ecology 85: 262-272."
"64","Abreu, C.R.M. & Vieira, M.F. (2004) Os beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana, 5, 129–134."
"65","Arizmendi, M.C. & Ornelas, J.F. (1990) Hummingbirds and their floral resources in a tropical dry forest inforest, in Mexico. Biotropica, 22, 172–180."
"66","Canela, M.B.F. (2006) Interações entre plantas e beija-flores numa comunidade de floresta atlântica montana em Itatiaia, RJ. Ph.D thesis. Universidade Estadual de Campinas, Brazil."
"67","Las Casas, F.M.G., Azevedo Júnior, S.M. & Dias Filho, M.M. (2012) The community of hummingbirds
(Aves: Trochilidae) and the assemblage of flowers in a Caatinga vegetation. Brazilian Journal of Biology,
72, 51–58."
"68","Gutierrez Zamora, E.A. & Rojas Nossa, S.V. (2001) Dinámica anual de la interacción colibrí-flor en ecosistemas altoandinos del volcán Galeras, Sur de Colombia. BSc. Thesis. Universidad Nacional de Colombia, Colombia."
"69","Kohler, G. (2011) Redes de interação planta-beija-flor em um gradiente altitudinal de Floresta Atlântica no Sul do Brasil. MSc. Thesis. Universidade Federal do Paraná, Brazil."
"70","Lara, C. (2006) Temporal dynamics of flower use by hummingbirds in a highland temperate forest in México. Ecoscience, 13, 23–29."
"71","Rosero, L. (2003) Interações planta/beija-flor em três comunidades vegetais da parte sul do Parque Nacional Natural Chiribiquete, Amazonas (Colombia). Ph.D. Thesis. Universidade Estadual de Campinas, Brazil"
