IGenus,PGenus,Plant,Pollinator,Int,Network,PFamily,POrder,PolFamily,PolOrder
Homoptera,Centranthus,Centranthus ruber (L.) DC. * ¥,Homoptera sp3,1,carvalheiro 2008,Valerianaceae,Dipsacales,NA,Homoptera
Cteniopus,Centranthus,Centranthus ruber (L.) DC. * ¥,Cteniopus sulphurous L.,1,carvalheiro 2008,Valerianaceae,Dipsacales,Tenebrionidae,Coleoptera
Oedemera,Centranthus,Centranthus ruber (L.) DC. * ¥,Oedemera lurida Marsham,1,carvalheiro 2008,Valerianaceae,Dipsacales,Oedemeridae,Coleoptera
Episyrphus,Centranthus,Centranthus ruber (L.) DC. * ¥,Episyrphus balteatus DeGeer,1,carvalheiro 2008,Valerianaceae,Dipsacales,Syrphidae,Diptera
Bombylius,Centranthus,Centranthus ruber (L.) DC. * ¥,Bombylius major L.,1,carvalheiro 2008,Valerianaceae,Dipsacales,Bombyliidae,Diptera
Meligethes,Centranthus,Centranthus ruber (L.) DC. * ¥,Meligethes obscurus Erichson,1,carvalheiro 2008,Valerianaceae,Dipsacales,Nitidulidae,Coleoptera
Homoptera,Centranthus,Centranthus ruber (L.) DC. * ¥,Homoptera sp2,1,carvalheiro 2008,Valerianaceae,Dipsacales,NA,Homoptera
Bombus,Centranthus,Centranthus ruber (L.) DC. * ¥,Bombus hortorum L.,1,carvalheiro 2008,Valerianaceae,Dipsacales,Apidae,Hymenoptera
Formica,Centranthus,Centranthus ruber (L.) DC. * ¥,Formica fusca L. _,1,carvalheiro 2008,Valerianaceae,Dipsacales,Formicidae,Hymenoptera
Epistrophe,Centranthus,Centranthus ruber (L.) DC. * ¥,Epistrophe grossularia Meigen,1,carvalheiro 2008,Valerianaceae,Dipsacales,Syrphidae,Diptera
Bombus,Centranthus,Centranthus ruber (L.) DC. * ¥,Bombus pascuorum Scopoli,1,carvalheiro 2008,Valerianaceae,Dipsacales,Apidae,Hymenoptera
Bombus,Centranthus,Centranthus ruber (L.) DC. * ¥,Bombus terrestris L.,1,carvalheiro 2008,Valerianaceae,Dipsacales,Apidae,Hymenoptera
Myathropa,Centranthus,Centranthus ruber (L.) DC. * ¥,Myathropa florea L.,1,carvalheiro 2008,Valerianaceae,Dipsacales,Syrphidae,Diptera
Myrmecoris,Centranthus,Centranthus ruber (L.) DC. * ¥,Myrmecoris gracilis R.F.Sahlberg  _,1,carvalheiro 2008,Valerianaceae,Dipsacales,Miridae,Heteroptera
Pyronia,Centranthus,Centranthus ruber (L.) DC. * ¥,Pyronia tithonus L.,1,carvalheiro 2008,Valerianaceae,Dipsacales,Satyridae,Lepidoptera
Homoptera,Centranthus,Centranthus ruber (L.) DC. * ¥,Homoptera sp1,1,carvalheiro 2008,Valerianaceae,Dipsacales,NA,Homoptera
Pieris,Centranthus,Centranthus ruber (L.) DC. * ¥,Pieris napi L.,1,carvalheiro 2008,Valerianaceae,Dipsacales,Pieridae,Lepidoptera
Lasioglossum,Centranthus,Centranthus ruber (L.) DC. * ¥,Lasioglossum fulvicorne Kirby,1,carvalheiro 2008,Valerianaceae,Dipsacales,Halictidae,Hymenoptera
Meliscaeva,Centranthus,Centranthus ruber (L.) DC. * ¥,Meliscaeva auricollis Meigen,1,carvalheiro 2008,Valerianaceae,Dipsacales,Syrphidae,Diptera
Syrphus,Centranthus,Centranthus ruber (L.) DC. * ¥,Syrphus ribesii L.,1,carvalheiro 2008,Valerianaceae,Dipsacales,Syrphidae,Diptera
Aglais,Centranthus,Centranthus ruber (L.) DC. * ¥,Aglais urticae L.,1,carvalheiro 2008,Valerianaceae,Dipsacales,Nymphalidae,Lepidoptera
Melanargia,Centranthus,Centranthus ruber (L.) DC. * ¥,Melanargia galathea L.,1,carvalheiro 2008,Valerianaceae,Dipsacales,Nymphalidae,Lepidoptera
Paragus,Centranthus,Centranthus ruber (L.) DC. * ¥,Paragus haemorrhous Meigen,1,carvalheiro 2008,Valerianaceae,Dipsacales,Syrphidae,Diptera
Lasioglossum,Centranthus,Centranthus ruber (L.) DC. * ¥,Lasioglossum villosulum Kirby,1,carvalheiro 2008,Valerianaceae,Dipsacales,Halictidae,Hymenoptera
